family	calls	audit_bytes	r94_MB	us_split1	us_nat
T2c routed gate+up qmv	39	368050176	368.1	1497.7	1446.3
T0b(a) qkv h64	30	353894400	353.9	1340.1	1300.6
T3b oproj h64	30	283115520	283.1	1117.7	1078.2
T2d routed+shared down+residual	39	207028224	207.0	858.9	807.5
T3a sliding fused attn	30	62914560	62.9	636.0	596.5
T1c lmhead int5 base coarse delta	1	128500000	128.5	420.3	419.0
T0b(b) qkv h48	10	94371840	94.4	362.8	349.6
T1a residual rms router	39	40894464	40.9	312.8	261.4
T3c oproj h48	10	70778880	70.8	301.8	288.6
T2a shared gate+up qmv	39	46006272	46.0	287.1	235.7
dense gate_up (layer 0)	1	67108864	67.1	269.4	268.1
T2b gate_sp h64	30	7864320	4.4	248.0	208.5
T3a' full fused attn	10	23592960	23.6	229.7	216.5
dense_down (layer 0)	1	33554432	33.6	133.8	132.5
T2b' gate_sp h48	10	1966080	1.1	80.2	67.0
