family,calls,head_bytes,m4_us_split1,regime,m5_us,m5_gbs,pct_m5_peak,headroom_us,headroom_score_pct,pct_of_best_achieved,headroom_vs_best_us,headroom_vs_best_score_pct
T2c routed gate+up qmv,39,347602944,1497.7,bytes,654.4159187684245,531.1651719202828,86.99069307570959,85.13497543399934,1.296435405908942,89.34352401573568,69.73767522075981,1.0619653182617304
T0b(a) qkv h64,30,324710400,1340.1,bytes,585.5530298067474,554.5362818926333,90.81825776164973,53.763969865705846,0.8187177331149686,93.27461256497226,39.380709892047236,0.5996894502360953
T3b oproj h64,30,259584000,1117.7,bytes,488.37595807402556,531.5249362882305,87.04961288703414,63.246577137242134,0.9631188766459232,89.40403742690596,51.7481337335132,0.788020580493939
T2d routed+shared down+residual,39,195526656,858.9,bytes,375.29400589584014,520.9959469863393,85.32524516644926,55.073475270226005,0.8386588814150017,87.63303085816932,46.41249390027875,0.7067694571134447
T3a sliding fused attn,30,62914560,636.0,latency,318.0,197.8445283018868,32.40165874580524,214.9627251883393,3.273452379168031,33.278024050067714,212.17588352078468,3.2310143542545093
T1c lmhead int5 base coarse delta,1,109182976,420.3,bytes,183.64893547330493,594.5200592565959,97.36653443442448,4.836331477235494,0.07364765573534211,100.0,0.0,0.0
T0b(b) qkv h48,10,86589440,362.8,bytes,158.52446773665247,546.2212946448495,89.45648454714208,16.714051752374722,0.2545215800851623,91.8760075695107,12.878515759399084,0.19611403798412927
T1a residual rms router,39,40894464,312.8,latency,156.4,261.47355498721225,42.822396820702956,89.42577137242058,1.3617756464592208,43.98061106872759,87.61432428851005,1.3341909302654311
T2a shared gate+up qmv,39,43450368,287.1,latency,143.55,302.6845559038663,49.57165999080679,72.38988208319685,1.1023531243629217,50.9124210682397,70.46521955654191,1.0730443634070201
T3c oproj h48,10,64901120,301.8,bytes,131.8706845725516,492.15729948147197,80.60224360980543,25.57995414346546,0.389531541696692,82.78228662240242,22.70511649877772,0.3457535140433871
T2b gate_sp h64,30,7864320,248.0,latency,124.0,63.42193548387096,10.38682205762708,111.12034064854242,1.692140547396004,10.667753677340253,110.77198544009809,1.6868357942818137
dense gate_up (layer 0),1,67108864,269.4,bytes,117.71359318702913,570.1029267994068,93.36765915483241,7.807166721257752,0.11888753483131305,95.89296743196168,4.834535609199419,0.07362030825688876
T3a' full fused attn,10,23592960,229.7,latency,114.85,205.42411841532436,33.64299351708554,76.21102194562724,1.1605414421880116,34.55293311249956,75.16595632029424,1.1446271828454406
dense_down (layer 0),1,33554432,133.8,bytes,58.463544055027846,573.9376998496267,93.99569273659132,3.5103308221421714,0.053455317759580984,96.53798739226629,2.0240152661130164,0.030821704472369014
T2b' gate_sp h48,10,1966080,80.2,latency,40.1,49.02942643391521,8.029712812629414,36.88008516213561,0.5616099368490011,8.246891870263038,36.792996360024524,0.5602837485704535
