gate,polarity,declarations,symbols,n_read_sites,overall_class,site,site_class,reason
DARKBLOOM_AFFINE_GATE_SOFTPLUS,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4464,lagunaGateSoftplusEnabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:4528,LIVE,no default-ON gate dominates this site
DARKBLOOM_AFFINE_GATE_SOFTPLUS,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4464,lagunaGateSoftplusEnabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:4615,LIVE,no default-ON gate dominates this site
DARKBLOOM_AFFINE_GATE_SOFTPLUS,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4464,lagunaGateSoftplusEnabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:4633,LIVE,no default-ON gate dominates this site
DARKBLOOM_AFFINE_METADATA_INDEXED,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:2971,lagunaAffineMetadataIndexedEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:2977,LIVE,no default-ON gate dominates this site
DARKBLOOM_ATTN_PROJECTION_ASYNC,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:784,lagunaAttentionProjectionAsyncEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6014,LIVE,no default-ON gate dominates this site
DARKBLOOM_ATTN_SCALE_LANEMAJOR,default-ON,Sources/MLXFastModel/LagunaRuntimeWeights.swift:694,lagunaAttnScaleLaneMajorEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeWeights.swift:889,LIVE,no default-ON gate dominates this site
DARKBLOOM_ATTN_SCALE_NARROW,default-ON,Sources/MLXFastModel/LagunaRuntimeWeights.swift:674,lagunaAttnScaleNarrowEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeWeights.swift:776,LIVE,no default-ON gate dominates this site
DARKBLOOM_ATTN_SCALE_NARROW_LOG,default-OFF,Sources/MLXFastModel/LagunaRuntimeWeights.swift:728,lagunaNarrowScaleDispatchLog,1,LIVE,Sources/MLXFastModel/LagunaRuntimeWeights.swift:748,LIVE,no default-ON gate dominates this site
DARKBLOOM_ATTN_SCALE_NARROW_OPROJ,default-ON,Sources/MLXFastModel/LagunaRuntimeWeights.swift:681,lagunaAttnScaleNarrowOProjEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:5675,LIVE,no default-ON gate dominates this site
DARKBLOOM_ATTN_SCALE_NARROW_QKV,default-ON,Sources/MLXFastModel/LagunaRuntimeWeights.swift:678,lagunaAttnScaleNarrowQKVEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:5752,LIVE,no default-ON gate dominates this site
