row_type,ordinal,family,pipeline,kind,grid_threads,threads_per_tg,threadgroups,simdgroups_per_tg,tg_launches,tg_per_core_C20,tg_per_core_C40,waves_dispatch_C20,waves_dispatch_C40,waves_resident_C40_R96simd,waves_resident_C40_Rcap24,residency_tg_per_core_simd_model,residency_tg_per_core_cap24_model,occupancy_class_C40,pr196_us_C40,calls_per_step,rule65_add_us_per_step,ordinal_list
family,,nvfp4_qkv_h64_r1_v1_lm1_pw1_se1_sd1_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t,custom_kernel_laguna_decode_nvfp4_qkv_h64_r1_v1_lm1_pw1_se1_sd1_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t,threads,327680,64,5120,2,153600,256.0,128.0,256,128,3,6,48,24,SATURATING,28496.55,30,70.209,"10,20,30,...,380,390"
family,,routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2_bfloat16_t_uint32_t_uint8_t_uint32_t_bfloat16_t,custom_kernel_laguna_routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2_bfloat16_t_uint32_t_uint8_t_uint32_t_bfloat16_t,threads,131072,64,2048,2,79872,102.4,51.2,103,52,2,3,48,24,SATURATING,15088.203,39,91.2717,"17,27,37,...,387,397"
family,,nvfp4_qkv_h48_r1_v1_lm1_pw1_se1_sd1_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t,custom_kernel_laguna_decode_nvfp4_qkv_h48_r1_v1_lm1_pw1_se1_sd1_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t,threads,262144,64,4096,2,40960,204.8,102.4,205,103,3,5,48,24,SATURATING,7646.85,10,23.403,"3,40,80,...,320,360"
family,,routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6_bfloat16_t_uint32_t_uint8_t_uint32_t_float_bfloat16_t_uint32_t_uint8_t_bfloat16_t_bfloat16_t,custom_kernel_laguna_routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6_bfloat16_t_uint32_t_uint8_t_uint32_t_float_bfloat16_t_uint32_t_uint8_t_bfloat16_t_bfloat16_t,threads,147456,288,512,9,19968,25.6,12.8,26,13,2,2,10,10,SATURATING,3820.635,39,91.2717,"18,28,38,...,388,398"
family,,shared_nvfp4_swiglu_qmv_rows1_halved_bf16_v1_bfloat16_t_uint32_t_uint8_t_bfloat16_t,custom_kernel_laguna_shared_nvfp4_swiglu_qmv_rows1_halved_bf16_v1_bfloat16_t_uint32_t_uint8_t_bfloat16_t,threads,16384,64,256,2,9984,12.8,6.4,13,7,1,1,48,24,SATURATING,2087.163,39,91.2717,"15,25,35,...,385,395"
family,,oproj_act_h64_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t,custom_kernel_laguna_oproj_act_h64_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t,threads,16384,64,256,2,7680,12.8,6.4,13,7,1,1,48,24,SATURATING,1605.51,30,70.209,"13,23,33,...,383,393"
family,,lmhead_int5_base_coarse_delta_bf16_v1_bfloat16_t_uint8_t_uint8_t_float_bfloat16_t,custom_kernel_laguna_lmhead_int5_base_coarse_delta_bf16_v1_bfloat16_t_uint8_t_uint8_t_float_bfloat16_t,threads,3211264,512,6272,16,6272,313.6,156.8,314,157,27,27,6,6,SATURATING,1164.717,1,2.3403,400
family,,lmhead_exact_fused_int5_sparse_refine_v1_float_bfloat16_t_floatc_bfloat16_t_bfloat16_t_uint8_t_uint8_t_bfloat16_t,custom_kernel_laguna_lmhead_exact_fused_int5_sparse_refine_v1_float_bfloat16_t_floatc_bfloat16_t_bfloat16_t_uint8_t_uint8_t_bfloat16_t,threads,802816,256,3136,8,3136,156.8,78.4,157,79,7,7,12,12,SATURATING,586.893,1,2.3403,403
family,,oproj_act_h48_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t,custom_kernel_laguna_oproj_act_h48_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t,threads,16384,64,256,2,2560,12.8,6.4,13,7,1,1,48,24,SATURATING,535.17,10,23.403,"5,43,83,...,323,363"
family,,residual_rms_router_bf16_2048_rpg8_keys_v1_pf1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t,custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_pf1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t,threads,16384,512,32,16,1248,1.6,0.8,2,1,1,1,6,6,SUB_C_UNDERFILL,353.691,39,91.2717,"14,24,34,...,384,394"
