family,n_dispatches,bytes_unique,pct_of_step_bytes,grid_threads_per_dispatch,threads_per_tg,regime,label_us_m4,achieved_gbs_m4,pct_of_266_3,pattern_ceiling_gbs,pct_of_pattern_ceiling,floor_us_at_pattern_ceiling,floor_us_at_saturated_peak,surplus_us_m4,m5_occupancy_frac,m5_floor_us_saturated,m5_occupancy_penalty_us,m5_occupancy_penalty_pct_of_cs
sliding_fused_attn_ring,30,62914560,3.7642,32768,1024,BANDWIDTH,636.0,98.922,37.147,256.462,38.572,245.318,241.082,390.682,0.9931,104.385,0.725,0.011
prefill_router_tournament,39,62400,0.0037,256,256,LATENCY,185.5,0.336,0.126,13.091,2.57,4.767,0.239,180.733,0.0251,0.104,4.024,0.0613
residual_rms_router,39,40894464,2.4467,16384,512,BANDWIDTH,312.8,130.737,49.094,259.166,50.445,157.792,156.703,155.008,0.9535,67.85,3.307,0.0504
full_fused_attn_grow,10,23592960,1.4116,24576,1024,BANDWIDTH,229.7,102.712,38.57,257.594,39.874,91.59,90.406,138.11,0.9973,39.144,0.105,0.0016
rmsbfloat16,41,503808,0.0301,512,512,LATENCY,141.9,3.55,1.333,26.181,13.561,19.243,1.931,122.657,0.0502,0.836,15.828,0.241
shared_nvfp4_swiglu_qmv_rows1_halved,39,43450368,2.5996,16384,64,BANDWIDTH,287.1,151.342,56.831,259.166,58.396,167.654,166.497,119.446,0.9535,72.091,3.513,0.0535
oproj_act_h64,30,259584000,15.5309,16384,64,BANDWIDTH,1117.7,232.248,87.213,259.166,89.614,1001.612,994.7,116.088,0.9535,430.689,20.989,0.3196
routed_nvfp4_swiglu_qmv_packed_top8keys,39,347602944,20.7971,131072,64,BANDWIDTH,1497.7,232.091,87.154,250.769,92.552,1386.145,1331.979,111.555,0.975,576.726,14.81,0.2255
routed_shared_nvfp4_down_residual,39,195526656,11.6984,147456,288,BANDWIDTH,858.9,227.648,85.485,249.988,91.063,782.144,749.238,76.756,0.9739,324.408,8.708,0.1326
lmhead_exact_fused_int5_sparse_refine,1,526848,0.0315,802816,256,LATENCY,77.0,6.842,2.569,249.289,2.745,2.113,2.019,74.887,0.9553,0.874,0.041,0.0006
oproj_act_h48,10,64901120,3.883,16384,64,BANDWIDTH,301.8,215.047,80.754,259.166,82.976,250.423,248.695,51.377,0.9535,107.681,5.248,0.0799
nvfp4_qkv_h64,30,324710400,19.4274,327680,64,BANDWIDTH,1340.1,242.303,90.989,249.289,97.198,1302.546,1244.258,37.554,0.9553,538.743,25.238,0.3843
nvfp4_qkv_h48,10,86589440,5.1806,262144,64,BANDWIDTH,362.8,238.67,89.624,249.289,95.74,347.345,331.802,15.455,0.9609,143.665,5.842,0.089
argmax,1,8192,0.0005,1024,1024,LATENCY,9.0,0.91,0.342,52.363,1.738,0.156,0.031,8.844,0.1003,0.014,0.122,0.0019
dense_gate_up_swiglu,1,67108864,4.0151,65536,512,BANDWIDTH,269.4,249.105,93.543,254.434,97.906,263.758,257.154,5.642,0.9827,111.344,1.956,0.0298
lmhead_exact_winner,1,512,0.0,32,32,LATENCY,4.7,0.109,0.041,1.636,6.657,0.313,0.002,4.387,0.0031,0.001,0.27,0.0041
dense_down_residual,1,33554432,2.0076,16384,128,BANDWIDTH,133.8,250.781,94.172,259.166,96.764,129.471,128.577,4.329,0.9535,55.672,2.713,0.0413
lmhead_coarse_argmax_stage1,1,229376,0.0137,28672,224,LATENCY,4.1,55.945,21.008,256.987,21.77,0.893,0.879,3.207,0.9951,0.381,0.002,0.0
embedding_rope_atlas,1,9216,0.0006,512,512,LATENCY,3.5,2.633,0.989,26.181,10.057,0.352,0.035,3.148,0.0502,0.015,0.29,0.0044
residual_rms_bf16_2048_v1,1,16384,0.001,512,512,LATENCY,2.9,5.65,2.122,26.181,21.579,0.626,0.063,2.274,0.0502,0.027,0.515,0.0078
lmhead_int5_base_coarse_delta,1,109182976,6.5324,3211264,512,BANDWIDTH,420.3,259.774,97.549,249.289,104.206,437.977,418.378,-17.677,0.9553,181.151,8.486,0.1292
gate_sp_h48,10,1966080,0.1176,384,64,LATENCY,80.2,24.515,9.206,19.636,124.846,100.126,7.534,-19.926,0.0376,3.262,83.444,1.2707
gate_sp_h64,30,7864320,0.4705,512,64,LATENCY,248.0,31.711,11.908,26.181,121.121,300.379,30.135,-52.379,0.0502,13.048,247.07,3.7623
gather_front,2,401408,0.024,1,1,LATENCY,3.4,118.061,44.334,0.051,230879.567,7849.905,1.538,-7846.505,0.0001,0.666,6797.099,103.5039
vn_copy,1,200704,0.012,131072,1024,LATENCY,,,,250.769,,0.8,0.769,,0.975,0.333,0.009,0.0001
