idx	kernel	kind	grid	group	barrier	enc	n_in	n_out
0	custom_kernel_laguna_decode_embedding_rope_atlas_bf16_2048_v2_int32_tc_bfloat16_t_float_float_int32_ts_bfloat16_t_float_float	threads	512x1x1	512x1x1	0	1051	8	3
1	rmsbfloat16	threads	512x1x1	512x1x1	0	1052	3	1
2	custom_kernel_laguna_gate_sp_h48_v1_bfloat16_t_uint32_t_bfloat16_t_bfloat16_t_bfloat16_t	threads	384x1x1	64x1x1	1	1052	5	1
3	custom_kernel_laguna_decode_nvfp4_qkv_h48_r1_v1_lm1_pw1_se1_sd1_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	threads	262144x1x1	64x1x1	0	1052	6	1
4	custom_kernel_laguna_full_fused_attn_grow_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	threads	24576x1x1	1024x1x1	0	1053	11	1
5	custom_kernel_laguna_oproj_act_h48_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	threads	16384x1x1	64x1x1	1	1053	7	1
6	custom_kernel_laguna_residual_rms_bf16_2048_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	threads	512x1x1	512x1x1	1	1053	5	2
7	custom_kernel_laguna_dense_gate_up_swiglu_bf16_v1_bfloat16_t_bfloat16_t_bfloat16_t	threads	65536x1x1	512x1x1	1	1053	3	1
8	custom_kernel_laguna_dense_down_residual_bf16_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	threads	16384x1x1	128x1x1	1	1053	4	1
9	rmsbfloat16	threads	512x1x1	512x1x1	0	1054	3	1
10	custom_kernel_laguna_decode_nvfp4_qkv_h64_r1_v1_lm1_pw1_se1_sd1_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	threads	327680x1x1	64x1x1	1	1054	6	1
11	custom_kernel_laguna_sliding_fused_attn_ring_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	threads	32768x1x1	1024x1x1	1	1054	11	1
12	custom_kernel_laguna_gate_sp_h64_v1_bfloat16_t_uint32_t_bfloat16_t_bfloat16_t_bfloat16_t	threads	512x1x1	64x1x1	0	1054	5	1
13	custom_kernel_laguna_oproj_act_h64_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	threads	16384x1x1	64x1x1	1	1054	7	1
