kind	producer	consumer	count
RAW	steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned	steel_gemm_splitk_accum_bfloat16_float32	290
RAW	custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t	custom_kernel_laguna_shared_nvfp4_swiglu_qmv_rows1_bf16_v1_bfloat16_t_uint32_t_uint8_t_bfloat16_t	275
RAW	custom_kernel_laguna_routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2_bfloat16_t_uint32_t_uint8_t_uint32_t_bfloat16_t	custom_kernel_laguna_routed_shared_nvfp4_down_residual_bf16_r1_v5_bfloat16_t_uint32_t_uint8_t_uint32_t_float_bfloat16_t_uint32_t_uint8_t_bfloat16_t_bfloat16_t	275
RAW	custom_kernel_laguna_decode_router_top8_ordinal_table_norm_v1_bfloat16_t_float_uint32_t_float	custom_kernel_laguna_routed_shared_nvfp4_down_residual_bf16_r1_v5_bfloat16_t_uint32_t_uint8_t_uint32_t_float_bfloat16_t_uint32_t_uint8_t_bfloat16_t_bfloat16_t	275
RAW	custom_kernel_laguna_shared_nvfp4_swiglu_qmv_rows1_bf16_v1_bfloat16_t_uint32_t_uint8_t_bfloat16_t	custom_kernel_laguna_routed_shared_nvfp4_down_residual_bf16_r1_v5_bfloat16_t_uint32_t_uint8_t_uint32_t_float_bfloat16_t_uint32_t_uint8_t_bfloat16_t_bfloat16_t	275
RAW	rmsbfloat16	custom_kernel_laguna_decode_nvfp4_qkv_h64_r1_v1_lm1_pw1_se1_sd1_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	210
RAW	custom_kernel_laguna_sliding_fused_attn_ring_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	custom_kernel_laguna_oproj_act_h64_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	210
RAW	custom_kernel_laguna_gate_sp_h64_v1_bfloat16_t_uint32_t_bfloat16_t_bfloat16_t_bfloat16_t	custom_kernel_laguna_oproj_act_h64_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	210
RAW	all_reduce_sumint32	all_reduce_sumint32	198
RAW	v_copyuint8int32	vv_Subtractint32	160
RAW	vsn_BitwiseAnduint16	vvn_BitwiseOruint16	160
RAW	custom_kernel_laguna_routed_shared_nvfp4_down_residual_bf16_r1_v5_bfloat16_t_uint32_t_uint8_t_uint32_t_float_bfloat16_t_uint32_t_uint8_t_bfloat16_t_bfloat16_t	rmsbfloat16	155
RAW	nvfp4_qmm_t_splitk_fused_bfloat16_t_gs_16_b_4_alN_true	CV2ISigmoidADV2IBroadcastACEV2IBroadcastCAFV2IMultiplyDEGV2IBroadcastFBHV2IBroadcastBFIV2OMultiplyGH_VV_V2V2_11160318154034397263_contiguous	152
RAW	custom_kernel_laguna_oproj_act_h64_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t	150
RAW	custom_kernel_laguna_decode_nvfp4_qkv_h64_r1_v1_lm1_pw1_se1_sd1_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	custom_kernel_laguna_sliding_fused_attn_ring_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	135
RAW	g3_copyuint8uint8	g2_Equaluint8	80
RAW	g2_Equaluint8	row_reduce_small_1_reduce_andbool_	80
WAR	v_copyuint8int32	vv_Subtractint32	80
RAW	vv_Subtractint32	vs_LessEqualint32	80
RAW	vs_LessEqualint32	vv_LogicalAndbool_	80
WAR	vs_LessEqualint32	vv_LogicalAndbool_	80
