kernel	dispatches	barriers	barrier_rate
all_reduce_sumint32	436	358	0.821
rmsbfloat16	373	157	0.421
gg1_copyuint8uint8	354	40	0.113
v_copyuint8int32	320	0	0.000
steel_gemm_splitk_accum_bfloat16_float32	310	310	1.000
steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned	290	154	0.531
custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t	275	215	0.782
custom_kernel_laguna_shared_nvfp4_swiglu_qmv_rows1_bf16_v1_bfloat16_t_uint32_t_uint8_t_bfloat16_t	275	275	1.000
custom_kernel_laguna_decode_router_top8_ordinal_table_norm_v1_bfloat16_t_float_uint32_t_float	275	0	0.000
custom_kernel_laguna_routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2_bfloat16_t_uint32_t_uint8_t_uint32_t_bfloat16_t	275	0	0.000
custom_kernel_laguna_routed_shared_nvfp4_down_residual_bf16_r1_v5_bfloat16_t_uint32_t_uint8_t_uint32_t_float_bfloat16_t_uint32_t_uint8_t_bfloat16_t_bfloat16_t	275	275	1.000
custom_kernel_laguna_decode_nvfp4_qkv_h64_r1_v1_lm1_pw1_se1_sd1_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	210	210	1.000
custom_kernel_laguna_sliding_fused_attn_ring_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	210	135	0.643
custom_kernel_laguna_gate_sp_h64_v1_bfloat16_t_uint32_t_bfloat16_t_bfloat16_t_bfloat16_t	210	0	0.000
custom_kernel_laguna_oproj_act_h64_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	210	210	1.000
gg1_copyuint32uint32	198	0	0.000
vsn_BitwiseAnduint16	164	80	0.488
steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2_has_batch_n_use_out_source_n_do_axpby_n_align_M_t_align_N_t_align_K_t	164	84	0.512
vn_copyint32uint8	161	160	0.994
nvfp4_quantize_bfloat16_t_gs_16_b_4	160	0	0.000
vn_copyuint8int32	160	160	1.000
vsn_BitwiseAndint32	160	80	0.500
gg1_copyint32int32	160	80	0.500
gg2_copyint32int32	160	80	0.500
vn_copybool_int32	159	159	1.000
CV2ISigmoidADV2IBroadcastACEV2IBroadcastCAFV2IMultiplyDEGV2IBroadcastFBHV2IBroadcastBFIV2OMultiplyGH_VV_V2V2_11160318154034397263_contiguous	154	78	0.506
g2_copybfloat16bfloat16	154	2	0.013
arangeuint32	152	0	0.000
nvfp4_gather_qmm_rhs_nt_bfloat16_t_gs_16_b_4_bm_16_bn_32_bk_32_wm_1_wn_2_align_M_t_align_N_t_align_K_t	152	76	0.500
nvfp4_qmm_t_splitk_fused_bfloat16_t_gs_16_b_4_alN_true	152	0	0.000
g3_copyuint8uint8	119	119	1.000
gather_frontint32_int32_int_1	117	39	0.333
ss_Subtractint32	117	117	1.000
gatheruint8int32_1_0_int	117	0	0.000
gg2_copybfloat16bfloat16	100	40	0.400
custom_kernel_laguna_residual_rms_bf16_2048_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	85	85	1.000
vsn_RightShiftuint16	82	80	0.976
vvn_BitwiseOruint16	82	80	0.976
vn_copyuint16uint8	82	80	0.976
g2_Equaluint8	80	80	1.000
row_reduce_simple_minuint8	80	0	0.000
row_reduce_simple_maxuint8	80	0	0.000
row_reduce_small_1_reduce_andbool_	80	80	1.000
vv_Subtractint32	80	80	1.000
vs_LessEqualint32	80	80	1.000
vv_LogicalAndbool_	80	80	1.000
v_copybool_int32	80	80	1.000
g2_copyuint8uint8	80	0	0.000
g2_Subtractint32	80	80	1.000
g2_Selectint32	80	80	1.000
vsn_RightShiftint32	80	80	1.000
vs_Selectuint8	80	0	0.000
g2_Addint32	80	80	1.000
g3_copyint32int32	80	80	1.000
vs_Equaluint8	80	0	0.000
g2_Selectuint8	80	80	1.000
vvn_NotEqualuint8	80	80	1.000
Cf4IAsTypeADf4IBroadcastCBEf4IBroadcastBCFf4ILogAddExpDEGV2OAsTypeF_VC_V2_10408321403207385874_contiguous	80	0	0.000
g2_Multiplybfloat16	80	80	1.000
g1_NotEqualuint8	78	39	0.500
gg2_copyuint8uint8	78	0	0.000
gg2_copyuint32uint32	78	0	0.000
steel_attention_bfloat16_bq32_bk16_bd128_wm4_wn1_maskbfloat16_align_Q_t_align_K_t_has_mask_n_do_causal_t_has_sinks_n	78	78	1.000
custom_kernel_laguna_prefill_router_tournament_ordinal_norm_v1_bfloat16_t_float_uint32_t_float	76	76	1.000
custom_kernel_mlx_lm_route_csort_scatter_fused_m8_u32_v4_uint32_t_uint32_t_uint32_t_uint32_t	76	76	1.000
gather_frontbfloat16_uint32_int_2	76	76	1.000
nvfp4_qmm_t_bfloat16_t_gs_16_b_4_alN_true_batch_0	76	76	1.000
custom_kernel_laguna_prefill_sorted_moe_tail_bf16_v1_bfloat16_t_uint32_t_float_bfloat16_t_bfloat16_t_bfloat16_t	76	76	1.000
custom_kernel_laguna_gate_sp_h48_v1_bfloat16_t_uint32_t_bfloat16_t_bfloat16_t_bfloat16_t	70	7	0.100
custom_kernel_laguna_decode_nvfp4_qkv_h48_r1_v1_lm1_pw1_se1_sd1_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	70	63	0.900
custom_kernel_laguna_oproj_act_h48_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	70	70	1.000
g3_copybfloat16bfloat16	60	0	0.000
custom_kernel_laguna_prefill_sliding_qk_norm_rope_bf16_128_h1_v2_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_int32_tc_bfloat16_t_bfloat16_t	58	0	0.000
custom_kernel_laguna_full_fused_attn_grow_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	51	46	0.902
affine_quantize_bfloat16_t_gs_32_b_8	40	0	0.000
sn_copybfloat16bfloat16	40	0	0.000
gatheruint8int32_1_1_int	39	39	1.000
v_copyint32float32	30	0	0.000
vs_Dividefloat32	30	29	0.967
vv_Multiplyfloat32	30	1	0.033
sdpa_vector_bfloat16_t_128_128_nomask_qnt_nc_nosinks	22	22	1.000
sv_Subtractfloat32	20	20	1.000
sv_Powerfloat32	20	11	0.550
steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_naligned_K_taligned	20	0	0.000
custom_kernel_laguna_prefill_full_qk_norm_yarn_bf16_128_h1_v2_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_int32_tc_bfloat16_t_bfloat16_t	20	0	0.000
custom_kernel_laguna_full_qk_norm_yarn_bf16_128_v4_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t	20	18	0.900
gg3_copybfloat16bfloat16	20	0	0.000
vs_Subtractfloat32	10	10	1.000
vs_Maximumfloat32	10	10	1.000
vs_Minimumfloat32	10	10	1.000
sv_Multiplyfloat32	10	0	0.000
vv_Addfloat32	10	1	0.100
vv_Dividefloat32	10	1	0.100
gather_frontbfloat16_int32_int_2	10	0	0.000
custom_kernel_laguna_lmhead_coarse_argmax_stage1_v5_float_float_uint32_t	9	9	1.000
custom_kernel_laguna_lmhead_exact_winner_bf16_midpoint_threshold_v1_float_uint32_t_bfloat16_t_bfloat16_t_float	9	9	1.000
argmax_bfloat16	8	8	1.000
custom_kernel_laguna_decode_embedding_rope_atlas_bf16_2048_v2_int32_tc_bfloat16_t_float_float_int32_ts_bfloat16_t_float_float	7	0	0.000
custom_kernel_laguna_dense_gate_up_swiglu_bf16_v1_bfloat16_t_bfloat16_t_bfloat16_t	7	7	1.000
