block,K,waves,idx,N,M,slots,rounds,min_us,med_us,mean_us,sd_us
R_sweep,20,1,0,512,4,1,21,8.5239,8.6221,8.6494,0.0507
R_sweep,20,1,1,384,3,1,21,7.1399,7.2155,7.2374,0.0482
R_sweep,20,1,2,256,2,1,21,5.7414,5.8111,5.8325,0.0433
R_sweep,20,1,3,128,1,1,21,4.1449,4.1953,4.2190,0.0389
R_sweep,20,1,4,96,0,1,21,2.8836,2.9219,2.9441,0.0395
R_sweep,20,1,5,512,4,1,21,8.5402,8.6464,8.6631,0.0558
R_sweep,32,2,0,512,4,1,21,15.4514,18.2322,18.0865,0.6064
R_sweep,32,2,1,384,3,1,21,14.6448,16.4294,16.2806,0.4509
R_sweep,32,2,2,256,2,1,21,9.8238,9.8301,9.8519,0.0420
R_sweep,32,2,3,128,1,1,21,6.3438,6.3549,6.3615,0.0203
R_sweep,32,2,4,96,0,1,21,3.8137,3.8378,3.8433,0.0196
R_sweep,32,2,5,512,4,1,21,18.0512,18.2612,18.2425,0.0747
R_sweep,40,2,0,512,4,1,21,18.3504,18.4080,18.4164,0.0457
R_sweep,40,2,1,384,3,1,21,16.0995,16.6257,16.5851,0.1483
R_sweep,40,2,2,256,2,1,21,9.9186,9.9271,9.9516,0.0424
R_sweep,40,2,3,128,1,1,21,6.5752,6.5820,6.5925,0.0213
R_sweep,40,2,4,96,0,1,21,3.9255,3.9418,3.9508,0.0237
R_sweep,40,2,5,512,4,1,21,18.3973,18.4474,18.4522,0.0247
R_sweep,64,4,0,512,4,1,21,29.4164,32.1313,31.5949,1.0793
R_sweep,64,4,1,384,3,1,21,23.4200,26.2405,25.7091,1.0092
R_sweep,64,4,2,256,2,1,21,17.5965,20.5157,19.9031,1.1257
R_sweep,64,4,3,128,1,1,21,11.0157,12.2767,12.0682,0.4859
R_sweep,64,4,4,96,0,1,21,5.8784,5.9673,5.9494,0.0362
R_sweep,64,4,5,512,4,1,21,29.4416,32.2064,31.5609,1.1834
R_sweep,128,7,0,512,4,1,21,50.7381,53.5227,53.2631,0.8364
R_sweep,128,7,1,384,3,1,21,40.9207,43.6444,43.5096,0.5958
R_sweep,128,7,2,256,2,1,21,30.4804,33.2337,32.9866,0.7500
R_sweep,128,7,3,128,1,1,21,18.6790,21.6056,21.3444,0.8677
R_sweep,128,7,4,96,0,1,21,8.9267,9.0424,9.0327,0.0316
R_sweep,128,7,5,512,4,1,21,50.9291,53.6758,53.4567,0.6854
D_sweep,20,1,0,512,4,48,21,9.7498,9.7559,9.7578,0.0097
D_sweep,20,1,1,384,3,64,21,8.1263,8.1409,8.1406,0.0065
D_sweep,20,1,2,256,2,96,21,6.6314,6.6444,6.6447,0.0060
D_sweep,20,1,3,128,1,192,21,5.0372,5.0463,5.0476,0.0073
D_sweep,20,1,4,96,0,256,21,2.9821,2.9954,2.9944,0.0054
D_sweep,20,1,5,512,4,48,21,9.7513,9.7661,9.7663,0.0100
D_sweep,32,2,0,512,4,48,21,18.5569,19.2264,19.1645,0.2044
D_sweep,32,2,1,384,3,64,21,14.7964,17.0326,16.8837,0.4987
D_sweep,32,2,2,256,2,96,21,10.6633,10.6932,10.6914,0.0135
D_sweep,32,2,3,128,1,192,21,7.1280,7.1326,7.1377,0.0146
D_sweep,32,2,4,96,0,256,21,3.8279,3.8384,3.8388,0.0056
D_sweep,32,2,5,512,4,48,21,18.7822,19.2484,19.2266,0.1309
D_sweep,40,2,0,512,4,48,21,19.5301,19.6248,19.6204,0.0346
D_sweep,40,2,1,384,3,64,21,17.1851,17.2696,17.2721,0.0485
D_sweep,40,2,2,256,2,96,21,10.8895,10.9471,10.9471,0.0254
D_sweep,40,2,3,128,1,192,21,7.3160,7.3244,7.3238,0.0049
D_sweep,40,2,4,96,0,256,21,3.9393,3.9468,3.9470,0.0039
D_sweep,40,2,5,512,4,48,21,19.4631,19.6556,19.6461,0.0511
M3D,32,2,0,512,4,48,21,19.1891,19.2580,19.2604,0.0355
M3D,32,2,1,256,2,48,21,10.5574,10.5682,10.5705,0.0101
M3D,32,2,2,128,1,48,21,6.9106,6.9261,6.9241,0.0050
M3D,32,2,3,512,4,48,21,19.2135,19.2707,19.2758,0.0376
M3D,64,4,0,512,4,48,21,34.5699,34.7409,34.7293,0.0417
M3D,64,4,1,256,2,48,21,22.3009,22.3799,22.3781,0.0394
M3D,64,4,2,128,1,48,21,14.2553,14.3474,14.3468,0.0455
M3D,64,4,3,512,4,48,21,34.6769,34.7387,34.7312,0.0283
M3D,128,7,0,512,4,48,21,57.3515,58.4879,58.4713,0.2890
M3D,128,7,1,256,2,48,21,36.5562,36.7087,36.7050,0.0743
M3D,128,7,2,128,1,48,21,21.1098,21.8648,21.8233,0.1730
M3D,128,7,3,512,4,48,21,58.3773,58.5048,58.5659,0.1491
