device: Apple M4 Pro
maxThreadgroupMemoryLength: 32768
pipeline.maxTotalThreadsPerThreadgroup: 1024
threads_per_tg,tg_bytes,rep,peak_resident_tgs,elapsed_s
128,0,0,201,0.3146
128,0,1,216,0.3142
128,0,2,191,0.3135
128,0,3,203,0.3147
128,0,4,191,0.3142
128,1024,0,216,0.3137
128,1024,1,199,0.3145
128,1024,2,222,0.3150
128,1024,3,202,0.3147
128,1024,4,215,0.3145
128,2048,0,199,0.3150
128,2048,1,210,0.3149
128,2048,2,171,0.3135
128,2048,3,208,0.3139
128,2048,4,199,0.3141
128,4096,0,179,0.3134
128,4096,1,227,0.3142
128,4096,2,181,0.3144
128,4096,3,157,0.3135
128,4096,4,171,0.3139
128,4624,0,161,0.3140
128,4624,1,155,0.3137
128,4624,2,159,0.3138
128,4624,3,161,0.3140
128,4624,4,165,0.3139
128,6144,0,151,0.3135
128,6144,1,152,0.3141
128,6144,2,150,0.3147
128,6144,3,149,0.3133
128,6144,4,141,0.3140
128,8192,0,135,0.3139
128,8192,1,137,0.3133
128,8192,2,136,0.3139
128,8192,3,130,0.3140
128,8192,4,130,0.3135
128,9232,0,127,0.3138
128,9232,1,126,0.3139
128,9232,2,133,0.3136
128,9232,3,123,0.3137
128,9232,4,130,0.3142
128,12288,0,121,0.3138
128,12288,1,116,0.3136
128,12288,2,118,0.3138
128,12288,3,127,0.3138
128,12288,4,117,0.3134
128,16384,0,116,0.3139
128,16384,1,114,0.3139
128,16384,2,104,0.3133
128,16384,3,118,0.3138
128,16384,4,108,0.3137
128,24576,0,100,0.3569
128,24576,1,100,0.3553
128,24576,2,100,0.3549
128,24576,3,116,0.3561
128,24576,4,100,0.3549
128,32768,0,80,0.5037
128,32768,1,102,0.4940
128,32768,2,80,0.5035
128,32768,3,103,0.4934
128,32768,4,80,0.5018

tg_bytes,max_over_reps
0,216
1024,222
2048,210
4096,227
4624,165
6144,152
8192,137
9232,133
12288,127
16384,118
24576,116
32768,103
