benchmark.sh: GPU cool-down gate passed (current 38.9C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 39.0C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 38.7C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 38.2C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 37.8C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 37.8C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 37.7C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 38.0C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 38.0C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 37.9C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 37.8C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 37.9C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 37.9C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 38.1C, target <=40C, waited 0s)
