session	idx	block	arm	inject	chain	tg	defeat	decode_s_per_token	prefill_s_per_token	passed	wall_s	error
20260810T170327Z	1	0	G	2400	1	8	0	0.011761694892473118	0.0011117230625	true	383	
20260810T170327Z	2	1	C	0	NA	NA	0	0.0090016147771261	0.0011227638359375	true	232	
20260810T170327Z	3	1	F	160	0	8	0	0.008901439434995112	0.00111104988671875	true	260	
20260810T170327Z	4	1	S	160	1	8	0	0.008895476335288368	0.00112302018359375	true	289	
20260810T170327Z	5	2	C	0	NA	NA	0	0.008967038000977517	0.00111161612890625	true	240	
20260810T170327Z	6	2	S	160	1	8	0	0.008881200065493646	0.001137989501953125	true	247	
20260810T170327Z	7	2	F	160	0	8	0	0.008885611436950146	0.001122644205078125	true	282	
20260810T170327Z	8	3	C	0	NA	NA	0	0.008961926768328446	0.00111668741796875	true	257	
20260810T170327Z	9	3	H	1200	0	8	0	0.009349059261974586	0.00111146826171875	true	256	
20260810T170327Z	10	3	J	1200	1	8	0	0.009351291014662757	0.001111068603515625	true	293	
20260810T170327Z	11	4	C	0	NA	NA	0	0.008970503462365591	0.001112544189453125	true	255	
20260810T170327Z	12	4	F	160	0	8	0	0.00890801380742913	0.00111132177734375	true	280	
20260810T170327Z	13	4	S	160	1	8	0	0.008880227842619746	0.001123015869140625	true	293	
20260810T170327Z	14	5	C	0	NA	NA	0	0.008959134327468232	0.0011223208828125	true	280	
20260810T170327Z	15	5	S	160	1	8	0	0.008865886241446725	0.001116580484375	true	255	
20260810T170327Z	16	5	F	160	0	8	0	0.008888843516129032	0.001111798095703125	true	293	
