seq,M,N,K,path,site,kernel,threadgroups,tg_per_core,gflop,ms_raw_mean,ms_raw_sd,ms
0,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,2.241700002923608,0.10925665358938086,2.201963316743687
1,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,1.846649992512539,0.8427053454194299,1.813916017787588
2,512,6144,2048,regular,"attn wq, full-attention layers",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,768,38.4,12.8849,2.007908601080999,0.058404024470794416,1.9723161338217483
3,512,48,2048,splitk,"attn g_proj (per-head gate), full-attention layers",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_naligned_K_taligned,128,6.4,0.1007,0.40968319517560303,0.7383840778986082,0.40242109385131847
4,512,2048,6144,regular,"attn wo, full-attention layers",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,256,12.8,12.8849,1.8507582077290863,0.0007036733169053747,1.8179514102095566
5,512,8192,2048,regular,"attn wq, sliding-window layers + layer-0 dense gate/up",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,1024,51.2,17.1799,2.35966679174453,0.03512248948550106,2.3178390098511255
6,512,8192,2048,regular,"attn wq, sliding-window layers + layer-0 dense gate/up",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,1024,51.2,17.1799,2.3386500077322125,0.0020180618901814275,2.297194772276654
7,512,2048,8192,regular,"attn wo, sliding-window layers + layer-0 dense down",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,256,12.8,17.1799,2.4414166051428765,0.00148141906384923,2.398139714681849
8,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,0.3415502025745809,0.0005561163436754304,0.33549583615771245
9,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,0.339225004427135,0.0015643684176265403,0.3332118547961749
10,512,8192,2048,regular,"attn wq, sliding-window layers + layer-0 dense gate/up",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,1024,51.2,17.1799,2.338624803815037,0.0004238652729816301,2.2971700151276213
11,512,64,2048,splitk,"attn g_proj (per-head gate), sliding-window layers",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,128,6.4,0.1342,0.03469180082902312,0.0001573209774938341,0.03407684914023277
12,512,2048,8192,regular,"attn wo, sliding-window layers + layer-0 dense down",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,256,12.8,17.1799,2.448883402394131,0.002523891750753617,2.405474154446037
13,512,256,2048,splitk,MoE router logits GEMM (38 MoE layers),steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,256,12.8,0.5369,0.10218339157290757,0.0005874698313084295,0.10037207455527049
14,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,0.34013339318335056,0.0013387054604776989,0.33410414132689725
15,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,0.3408332064282149,0.0033746159796514915,0.3347915495848055
16,512,8192,2048,regular,"attn wq, sliding-window layers + layer-0 dense gate/up",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,1024,51.2,17.1799,2.3382667917758226,0.0004336978459812143,2.2968183492596306
17,512,64,2048,splitk,"attn g_proj (per-head gate), sliding-window layers",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,128,6.4,0.1342,0.0351832015439868,0.0011572786210078242,0.034559539217745565
18,512,2048,8192,regular,"attn wo, sliding-window layers + layer-0 dense down",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,256,12.8,17.1799,2.441924810409546,0.0013500483780607244,2.398638911431245
19,512,256,2048,splitk,MoE router logits GEMM (38 MoE layers),steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,256,12.8,0.5369,0.1022918033413589,0.000479631738996649,0.10047856460162898
20,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,0.3405918017961085,0.0007302910350218938,0.3345544241247988
