device: Apple M4 Pro
maxThreadgroupMemoryLength: 32768
threads_per_tg,tg_bytes,rep,peak_resident_tgs,elapsed_s
128,4624,0,166,0.3143
128,4624,1,168,0.3140
128,4624,2,162,0.3133
128,4624,3,157,0.3141
128,4624,4,165,0.3140
128,4624,5,163,0.3133
128,4624,6,160,0.3140
128,4624,7,245,0.3167
128,9232,0,171,0.3194
128,9232,1,177,0.3178
128,9232,2,167,0.3180
128,9232,3,163,0.3173
128,9232,4,176,0.3183
128,9232,5,177,0.3155
128,9232,6,132,0.3138
128,9232,7,122,0.3135
128,18448,0,115,0.3181
128,18448,1,116,0.3181
128,18448,2,114,0.3178
128,18448,3,117,0.3182
128,18448,4,117,0.3181
128,18448,5,115,0.3179
128,18448,6,112,0.3182
128,18448,7,117,0.3181

tg_bytes,n,min,mean,max,sd
4624,8,157,173.2,245,29.20
9232,8,122,160.6,177,21.51
18448,8,112,115.4,117,1.77
