block,arm,pos,control_pos,order,control_us_per_step,arm_us_per_step,delta_us,dose_MB_per_step,pred_us_at_tau1,fitted_us,residual_us,control_golden,arm_golden,golden_match,control_passed,arm_passed
1,OP,2,1,after,8975.822,9004.163,28.341,9.830,38.294,19.292,9.049,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
1,ON,3,1,after,8975.822,9033.639,57.817,29.409,114.566,78.789,-20.972,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
1,QN,4,1,after,8975.822,9066.503,90.681,36.966,144.005,101.753,-11.072,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
1,AN,5,1,after,8975.822,9180.486,204.664,66.375,258.570,191.121,13.543,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
2,OP,1,5,before,8956.188,8997.521,41.332,9.830,38.294,19.292,22.040,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
2,ON,2,5,before,8956.188,9017.757,61.568,29.409,114.566,78.789,-17.221,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
2,QN,3,5,before,8956.188,9073.078,116.890,36.966,144.005,101.753,15.137,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
2,AN,4,5,before,8956.188,9166.775,210.587,66.375,258.570,191.121,19.466,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
3,OP,5,4,after,8970.432,9020.025,49.593,9.830,38.294,19.292,30.300,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
3,ON,1,4,before,8970.432,9044.370,73.938,29.409,114.566,78.789,-4.851,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
3,QN,2,4,before,8970.432,9068.329,97.897,36.966,144.005,101.753,-3.856,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
3,AN,3,4,before,8970.432,9203.714,233.282,66.375,258.570,191.121,42.160,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
4,OP,4,3,after,8978.380,9004.854,26.474,9.830,38.294,19.292,7.182,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
4,ON,5,3,after,8978.380,9052.731,74.351,29.409,114.566,78.789,-4.438,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
4,QN,1,3,before,8978.380,9064.790,86.410,36.966,144.005,101.753,-15.343,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
4,AN,2,3,before,8978.380,9160.391,182.011,66.375,258.570,191.121,-9.110,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
5,OP,3,2,after,8965.988,9028.587,62.599,9.830,38.294,19.292,43.307,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
5,ON,4,2,after,8965.988,9029.050,63.062,29.409,114.566,78.789,-15.727,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
5,QN,5,2,after,8965.988,9057.871,91.882,36.966,144.005,101.753,-9.871,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
5,AN,1,2,before,8965.988,9176.814,210.826,66.375,258.570,191.121,19.705,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
6,OP,2,1,after,8976.502,9006.533,30.031,9.830,38.294,19.292,10.739,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
6,ON,3,1,after,8976.502,9053.120,76.618,29.409,114.566,78.789,-2.171,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
6,QN,4,1,after,8976.502,9068.106,91.604,36.966,144.005,101.753,-10.149,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
6,AN,5,1,after,8976.502,9174.032,197.530,66.375,258.570,191.121,6.409,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
7,OP,1,5,before,9002.695,9012.857,10.161,9.830,38.294,19.292,-9.131,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
7,ON,2,5,before,9002.695,9041.324,38.629,29.409,114.566,78.789,-40.160,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
7,QN,3,5,before,9002.695,9054.063,51.368,36.966,144.005,101.753,-50.385,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
7,AN,4,5,before,9002.695,9179.238,176.543,66.375,258.570,191.121,-14.579,f49e4c2cbc0d3cee,f49e4c2cbc0d3cee,yes,true,true
