session	idx	block	pos	arm	gates	kernels	decode_s_per_token	prefill_s_per_token	passed	golden	wall_s	head	error
20260811T030551Z	1	1	1	C	none	none	0.008975822173020528	0.0011180283203125	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	188	516afccd5e1c	
20260811T030551Z	2	1	2	OP	DARKBLOOM_ATTN_SCALE_PAIRWISE_OPROJ=0	none	0.009004163164222874	0.0011235677890625	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	170	516afccd5e1c	
20260811T030551Z	3	1	3	ON	DARKBLOOM_ATTN_SCALE_NARROW_OPROJ=0	none	0.009033639051808406	0.001111221923828125	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	169	516afccd5e1c	
20260811T030551Z	4	1	4	QN	DARKBLOOM_ATTN_SCALE_NARROW_QKV=0	none	0.009066502973607038	0.001122437337890625	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	169	516afccd5e1c	
20260811T030551Z	5	1	5	AN	DARKBLOOM_ATTN_SCALE_NARROW_QKV=0,DARKBLOOM_ATTN_SCALE_NARROW_OPROJ=0	none	0.009180486396871945	0.001137351888671875	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	168	516afccd5e1c	
20260811T030551Z	6	2	1	OP	DARKBLOOM_ATTN_SCALE_PAIRWISE_OPROJ=0	none	0.008997520568914955	0.0011105970859375	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	159	516afccd5e1c	
20260811T030551Z	7	2	2	ON	DARKBLOOM_ATTN_SCALE_NARROW_OPROJ=0	none	0.00901775667937439	0.001137422607421875	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	158	516afccd5e1c	
20260811T030551Z	8	2	3	QN	DARKBLOOM_ATTN_SCALE_NARROW_QKV=0	none	0.009073078445747802	0.00111066471484375	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	159	516afccd5e1c	
20260811T030551Z	9	2	4	AN	DARKBLOOM_ATTN_SCALE_NARROW_QKV=0,DARKBLOOM_ATTN_SCALE_NARROW_OPROJ=0	none	0.00916677545552297	0.001110877115234375	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	156	516afccd5e1c	
20260811T030551Z	10	2	5	C	none	none	0.008956188212121212	0.0011258169765625	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	159	516afccd5e1c	
