session	idx	block	pos	arm	gates	kernels	decode_s_per_token	prefill_s_per_token	passed	golden	wall_s	head	error
20260811T051314Z	1	1	1	G4	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=4	none	0.00896465208504399	0.001112168048828125	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	113	5082cd467bae	
20260811T051314Z	2	1	2	R2	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2	none	0.008893259856304986	0.0011365951328125	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	160	5082cd467bae	
20260811T051314Z	3	1	3	C	none	none	0.008967972710654937	0.0011110634765625	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	150	5082cd467bae	
20260811T051314Z	4	2	1	R2	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2	none	0.008897642879765395	0.00112251708984375	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	151	5082cd467bae	
20260811T051314Z	5	2	2	C	none	none	0.008975170861192571	0.001111572591796875	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	150	5082cd467bae	
20260811T051314Z	6	2	3	G4	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=4	none	0.008964135060606062	0.00111112508203125	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	153	5082cd467bae	
20260811T051314Z	7	3	1	C	none	none	0.008972963139784946	0.00112323779296875	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	153	5082cd467bae	
20260811T051314Z	8	3	2	G4	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=4	none	0.00897287939882698	0.0011118173828125	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	153	5082cd467bae	
20260811T051314Z	9	3	3	R2	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2	none	0.008884471163245356	0.001125874837890625	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	150	5082cd467bae	
20260811T051314Z	10	4	1	G4	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=4	none	0.008896070869990225	0.001122224203125	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	167	5082cd467bae	
20260811T051314Z	11	4	2	R2	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2	none	0.0088840510342131	0.001110881021484375	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	155	5082cd467bae	
20260811T051314Z	12	4	3	C	none	none	0.008975935565004887	0.00111103076171875	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	158	5082cd467bae	
20260811T051314Z	13	5	1	R2	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2	none	0.008908730897360703	0.001111737548828125	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	159	5082cd467bae	
20260811T051314Z	14	5	2	C	none	none	0.00897215481427175	0.00114514266015625	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	169	5082cd467bae	
20260811T051314Z	15	5	3	G4	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=4	none	0.008976589850439882	0.00109899462890625	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	161	5082cd467bae	
20260811T051314Z	16	6	1	C	none	none	0.00896918454740958	0.001111149576171875	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	161	5082cd467bae	
20260811T051314Z	17	6	2	G4	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=4	none	0.008982294762463343	0.001114337076171875	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	160	5082cd467bae	
20260811T051314Z	18	6	3	R2	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2	none	0.00888911624340176	0.001124317056640625	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	160	5082cd467bae	
20260811T051314Z	19	7	1	G4	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=4	none	0.008978083862170088	0.0011205376796875	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	161	5082cd467bae	
20260811T051314Z	20	7	2	R2	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2	none	0.008906136363636364	0.001137747966796875	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	160	5082cd467bae	
20260811T051314Z	21	7	3	C	none	none	0.00897622812805474	0.00111122859765625	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	158	5082cd467bae	
20260811T051314Z	22	8	1	R2	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2	none	0.008876092294232649	0.00112383585546875	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	158	5082cd467bae	
20260811T051314Z	23	8	2	C	none	none	0.008965335980449659	0.001111233560546875	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	159	5082cd467bae	
20260811T051314Z	24	8	3	G4	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=4	none	0.008973366528836754	0.001123359375	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	159	5082cd467bae	
