session	idx	block	pos	arm	gates	kernels	decode_s_per_token	prefill_s_per_token	passed	golden	wall_s	head	error
20260811T062958Z	1	1	1	C4	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=4	none	0.008968082559139785	0.001138757568359375	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	172	1d682dbd36cc	
20260811T062958Z	2	1	2	R2	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2	none	0.00889087361485826	0.001138894775390625	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	171	1d682dbd36cc	
20260811T062958Z	3	1	3	R1	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=1	none	0.008913222791788855	0.00112514599609375	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	170	1d682dbd36cc	
20260811T062958Z	4	1	4	N42	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2,DARKBLOOM_OPROJ_SIMDGROUPS=4	none	0.008881168988269794	0.00111161759375	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	171	1d682dbd36cc	
20260811T062958Z	5	2	1	R2	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2	none	0.008906638480938417	0.001123473388671875	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	160	1d682dbd36cc	
20260811T062958Z	6	2	2	R1	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=1	none	0.008921930596285436	0.001110853271484375	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	167	1d682dbd36cc	
20260811T062958Z	7	2	3	N42	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2,DARKBLOOM_OPROJ_SIMDGROUPS=4	none	0.008880175016617791	0.00110395401953125	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	159	1d682dbd36cc	
20260811T062958Z	8	2	4	C4	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=4	none	0.008981181655913979	0.00112246712109375	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	167	1d682dbd36cc	
20260811T062958Z	9	3	1	R1	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=1	none	0.008920907054740957	0.001112352701171875	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	161	1d682dbd36cc	
20260811T062958Z	10	3	2	N42	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2,DARKBLOOM_OPROJ_SIMDGROUPS=4	none	0.008885737455522973	0.00112506746484375	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	159	1d682dbd36cc	
20260811T062958Z	11	3	3	C4	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=4	none	0.008970762218963832	0.0011243920078125	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	157	1d682dbd36cc	
20260811T062958Z	12	3	4	R2	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2	none	0.008892534579667644	0.001111605224609375	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	157	1d682dbd36cc	
20260811T062958Z	13	4	1	N42	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2,DARKBLOOM_OPROJ_SIMDGROUPS=4	none	0.008892017717497556	0.001122078775390625	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	157	1d682dbd36cc	
20260811T062958Z	14	4	2	C4	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=4	none	0.008965795291300097	0.001111743490234375	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	170	1d682dbd36cc	
20260811T062958Z	15	4	3	R2	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2	none	0.008881712365591397	0.001111487875	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	158	1d682dbd36cc	
20260811T062958Z	16	4	4	R1	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=1	none	0.008922176890518085	0.001123517984375	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	159	1d682dbd36cc	
20260811T062958Z	17	5	1	C4	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=4	none	0.008960833903225806	0.001122910888671875	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	158	1d682dbd36cc	
20260811T062958Z	18	5	2	R2	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2	none	0.00889241963929619	0.001111253986328125	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	156	1d682dbd36cc	
20260811T062958Z	19	5	3	R1	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=1	none	0.008908826652981426	0.001110310708984375	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	157	1d682dbd36cc	
20260811T062958Z	20	5	4	N42	DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2,DARKBLOOM_OPROJ_SIMDGROUPS=4	none	0.008912832600195503	0.001138214275390625	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	157	1d682dbd36cc	
