name,n,min,max,distinct,rows,row_span_max,blocks,blk_span_max,row_le15,row_le31,blk_le15,blk_le31
L0.q,786432,0,32,27,6144,27,24576,26,0.99821,1.0,0.999674,1.0
L0.k,131072,0,24,23,1024,21,4096,20,0.991211,1.0,0.997803,1.0
L0.v,131072,2,20,19,1024,16,4096,16,0.994141,1.0,0.999512,1.0
L0.o,786432,1,27,27,2048,24,24576,24,0.945312,1.0,0.995361,1.0
L1.q,1048576,0,25,26,8192,21,32768,21,0.997559,1.0,0.999512,1.0
L1.k,131072,0,20,21,1024,16,4096,16,0.998047,1.0,0.999756,1.0
L1.v,131072,3,16,14,1024,12,4096,12,1.0,1.0,1.0,1.0
L1.o,1048576,2,32,27,2048,27,32768,25,0.959473,1.0,0.997681,1.0
L1.routed.gate_up,33554432,2,30,23,262144,24,1048576,24,0.999966,1.0,0.999992,1.0
L1.routed.down,16777216,2,33,28,524288,22,524288,22,0.999971,1.0,0.999971,1.0
L1.routed.packed,33554432,2,30,23,1048576,24,1048576,24,0.999992,1.0,0.999992,1.0
L1.shared.gate_up,131072,1,17,15,1024,14,4096,14,1.0,1.0,1.0,1.0
L1.shared.down,65536,2,27,22,2048,25,2048,25,0.996582,1.0,0.996582,1.0
L2.q,1048576,0,27,28,8192,21,32768,19,0.99646,1.0,0.999329,1.0
L2.k,131072,1,27,25,1024,22,4096,22,0.99707,1.0,0.999023,1.0
L2.v,131072,3,17,15,1024,13,4096,13,1.0,1.0,1.0,1.0
L2.o,1048576,2,33,32,2048,29,32768,29,0.961426,1.0,0.997681,1.0
L2.routed.gate_up,33554432,2,21,19,262144,17,1048576,16,0.999996,1.0,0.999999,1.0
L2.routed.down,16777216,2,34,25,524288,27,524288,27,0.999983,1.0,0.999983,1.0
L2.routed.packed,33554432,2,21,19,1048576,16,1048576,16,0.999999,1.0,0.999999,1.0
L2.shared.gate_up,131072,1,22,18,1024,19,4096,18,0.999023,1.0,0.999756,1.0
L2.shared.down,65536,2,33,20,2048,29,2048,29,0.99707,1.0,0.99707,1.0
L3.q,1048576,0,29,29,8192,21,32768,20,0.993652,1.0,0.998474,1.0
L3.k,131072,2,24,19,1024,21,4096,20,0.999023,1.0,0.999756,1.0
L3.v,131072,3,16,14,1024,12,4096,11,1.0,1.0,1.0,1.0
L3.o,1048576,1,33,31,2048,29,32768,24,0.984375,1.0,0.999207,1.0
L3.routed.gate_up,33554432,2,22,19,262144,17,1048576,15,0.999996,1.0,1.0,1.0
L3.routed.down,16777216,2,29,26,524288,22,524288,22,0.999954,1.0,0.999954,1.0
L3.routed.packed,33554432,2,22,19,1048576,15,1048576,15,1.0,1.0,1.0,1.0
L3.shared.gate_up,131072,2,19,15,1024,15,4096,15,1.0,1.0,1.0,1.0
L3.shared.down,65536,2,37,20,2048,30,2048,30,0.998047,1.0,0.998047,1.0
L4.q,786432,0,27,27,6144,22,24576,21,0.992839,1.0,0.998454,1.0
L4.k,131072,0,27,23,1024,24,4096,24,0.995117,1.0,0.999268,1.0
L4.v,131072,3,16,14,1024,13,4096,12,1.0,1.0,1.0,1.0
L4.o,786432,1,29,29,2048,24,24576,21,0.946777,1.0,0.997925,1.0
L4.routed.gate_up,33554432,2,29,27,262144,25,1048576,23,0.999866,1.0,0.999957,1.0
L4.routed.down,16777216,2,28,26,524288,24,524288,24,0.99992,1.0,0.99992,1.0
L4.routed.packed,33554432,2,29,27,1048576,23,1048576,23,0.999957,1.0,0.999957,1.0
L4.shared.gate_up,131072,2,26,21,1024,24,4096,24,0.99707,1.0,0.998291,1.0
L4.shared.down,65536,2,25,19,2048,21,2048,21,0.996582,1.0,0.996582,1.0
L5.q,1048576,0,30,31,8192,23,32768,23,0.983154,1.0,0.993713,1.0
L5.k,131072,0,25,26,1024,22,4096,20,0.963867,1.0,0.991211,1.0
L5.v,131072,3,17,15,1024,13,4096,12,1.0,1.0,1.0,1.0
L5.o,1048576,1,36,33,2048,32,32768,26,0.982422,0.999512,0.999359,1.0
L5.routed.gate_up,33554432,2,23,22,262144,18,1048576,17,0.999969,1.0,0.999991,1.0
L5.routed.down,16777216,2,29,27,524288,22,524288,22,0.999918,1.0,0.999918,1.0
L5.routed.packed,33554432,2,23,22,1048576,17,1048576,17,0.999991,1.0,0.999991,1.0
L5.shared.gate_up,131072,2,26,25,1024,22,4096,22,0.994141,1.0,0.998047,1.0
L5.shared.down,65536,2,32,23,2048,25,2048,25,0.993652,1.0,0.993652,1.0
L6.q,1048576,0,26,26,8192,21,32768,21,0.996704,1.0,0.999359,1.0
L6.k,131072,1,23,23,1024,20,4096,20,0.987305,1.0,0.996826,1.0
L6.v,131072,3,20,17,1024,17,4096,16,0.999023,1.0,0.999756,1.0
L6.o,1048576,2,33,32,2048,30,32768,28,0.975098,1.0,0.998566,1.0
L6.routed.gate_up,33554432,2,26,24,262144,23,1048576,23,0.999882,1.0,0.999963,1.0
L6.routed.down,16777216,2,26,25,524288,21,524288,21,0.999924,1.0,0.999924,1.0
L6.routed.packed,33554432,2,26,24,1048576,23,1048576,23,0.999963,1.0,0.999963,1.0
L6.shared.gate_up,131072,2,26,23,1024,23,4096,23,0.987305,1.0,0.995605,1.0
L6.shared.down,65536,2,28,24,2048,23,2048,23,0.996094,1.0,0.996094,1.0
L7.q,1048576,0,25,25,8192,19,32768,18,0.998779,1.0,0.999756,1.0
L7.k,131072,1,20,20,1024,17,4096,16,0.99707,1.0,0.999756,1.0
L7.v,131072,3,23,20,1024,19,4096,18,0.986328,1.0,0.997803,1.0
L7.o,1048576,1,34,33,2048,28,32768,25,0.956543,1.0,0.998138,1.0
L7.routed.gate_up,33554432,2,25,23,262144,21,1048576,21,0.99995,1.0,0.999987,1.0
L7.routed.down,16777216,2,27,24,524288,21,524288,21,0.999956,1.0,0.999956,1.0
L7.routed.packed,33554432,2,25,23,1048576,21,1048576,21,0.999987,1.0,0.999987,1.0
L7.shared.gate_up,131072,2,27,23,1024,24,4096,23,0.992188,1.0,0.997559,1.0
L7.shared.down,65536,2,37,24,2048,31,2048,31,0.996582,1.0,0.996582,1.0
L8.q,786432,0,26,27,6144,21,24576,20,0.979492,1.0,0.996012,1.0
L8.k,131072,1,23,23,1024,19,4096,18,0.966797,1.0,0.992432,1.0
L8.v,131072,3,17,15,1024,13,4096,13,1.0,1.0,1.0,1.0
L8.o,786432,0,32,31,2048,26,24576,25,0.948242,1.0,0.999146,1.0
L8.routed.gate_up,33554432,2,27,25,262144,24,1048576,24,0.999897,1.0,0.999976,1.0
L8.routed.down,16777216,2,28,26,524288,22,524288,22,0.999846,1.0,0.999846,1.0
L8.routed.packed,33554432,2,27,25,1048576,24,1048576,24,0.999976,1.0,0.999976,1.0
L8.shared.gate_up,131072,2,29,20,1024,26,4096,25,0.988281,1.0,0.99707,1.0
L8.shared.down,65536,2,31,22,2048,24,2048,24,0.996094,1.0,0.996094,1.0
L9.q,1048576,0,30,26,8192,25,32768,25,0.999023,1.0,0.999725,1.0
L9.k,131072,1,28,24,1024,23,4096,23,0.996094,1.0,0.999023,1.0
L9.v,131072,3,20,18,1024,16,4096,16,0.998047,1.0,0.999512,1.0
L9.o,1048576,1,32,32,2048,28,32768,26,0.974121,1.0,0.998077,1.0
L9.routed.gate_up,33554432,2,30,27,262144,25,1048576,25,0.999557,1.0,0.999874,1.0
L9.routed.down,16777216,2,29,27,524288,23,524288,23,0.99979,1.0,0.99979,1.0
L9.routed.packed,33554432,2,30,27,1048576,25,1048576,25,0.999874,1.0,0.999874,1.0
L9.shared.gate_up,131072,2,34,26,1024,28,4096,28,0.984375,1.0,0.994141,1.0
L9.shared.down,65536,2,36,26,2048,29,2048,29,0.993652,1.0,0.993652,1.0
L10.q,1048576,0,23,23,8192,19,32768,18,0.999512,1.0,0.999908,1.0
L10.k,131072,2,26,21,1024,22,4096,22,0.99707,1.0,0.999023,1.0
L10.v,131072,3,25,22,1024,21,4096,20,0.973633,1.0,0.994141,1.0
L10.o,1048576,1,31,31,2048,26,32768,23,0.96582,1.0,0.99823,1.0
L10.routed.gate_up,33554432,2,26,23,262144,21,1048576,21,0.999905,1.0,0.999976,1.0
L10.routed.down,16777216,2,27,25,524288,23,524288,23,0.999903,1.0,0.999903,1.0
L10.routed.packed,33554432,2,26,23,1048576,21,1048576,21,0.999976,1.0,0.999976,1.0
L10.shared.gate_up,131072,2,30,28,1024,28,4096,27,0.986328,1.0,0.994385,1.0
L10.shared.down,65536,1,35,25,2048,31,2048,31,0.991699,1.0,0.991699,1.0
L11.q,1048576,1,28,24,8192,22,32768,21,0.999146,1.0,0.999847,1.0
L11.k,131072,2,30,21,1024,25,4096,25,0.99707,1.0,0.999268,1.0
L11.v,131072,2,16,15,1024,13,4096,13,1.0,1.0,1.0,1.0
L11.o,1048576,1,38,30,2048,33,32768,29,0.993652,0.999512,0.999878,1.0
L11.routed.gate_up,33554432,2,25,22,262144,19,1048576,18,0.999966,1.0,0.999992,1.0
L11.routed.down,16777216,2,24,21,524288,17,524288,17,0.999994,1.0,0.999994,1.0
L11.routed.packed,33554432,2,25,22,1048576,18,1048576,18,0.999992,1.0,0.999992,1.0
L11.shared.gate_up,131072,1,26,24,1024,23,4096,23,0.981445,1.0,0.994629,1.0
L11.shared.down,65536,1,35,22,2048,31,2048,31,0.999023,1.0,0.999023,1.0
L12.q,786432,0,26,27,6144,22,24576,22,0.992025,1.0,0.997925,1.0
L12.k,131072,1,21,20,1024,17,4096,16,0.999023,1.0,0.999756,1.0
L12.v,131072,3,16,14,1024,12,4096,12,1.0,1.0,1.0,1.0
L12.o,786432,1,33,29,2048,27,24576,19,0.998047,1.0,0.999797,1.0
L12.routed.gate_up,33554432,2,29,27,262144,24,1048576,24,0.999672,1.0,0.999906,1.0
L12.routed.down,16777216,1,25,25,524288,20,524288,20,0.999931,1.0,0.999931,1.0
L12.routed.packed,33554432,2,29,27,1048576,24,1048576,24,0.999906,1.0,0.999906,1.0
L12.shared.gate_up,131072,2,28,25,1024,26,4096,24,0.967773,1.0,0.990234,1.0
L12.shared.down,65536,2,29,24,2048,22,2048,22,0.998047,1.0,0.998047,1.0
L13.q,1048576,1,29,27,8192,24,32768,23,0.995605,1.0,0.999084,1.0
L13.k,131072,1,27,23,1024,22,4096,21,0.994141,1.0,0.998291,1.0
L13.v,131072,2,24,23,1024,21,4096,21,0.96582,1.0,0.992676,1.0
L13.o,1048576,1,34,34,2048,32,32768,31,0.96582,0.999023,0.997314,1.0
L13.routed.gate_up,33554432,2,30,28,262144,25,1048576,25,0.999432,1.0,0.999856,1.0
L13.routed.down,16777216,2,26,24,524288,22,524288,22,0.999956,1.0,0.999956,1.0
L13.routed.packed,33554432,2,30,28,1048576,25,1048576,25,0.999856,1.0,0.999856,1.0
L13.shared.gate_up,131072,1,34,28,1024,30,4096,30,0.9375,1.0,0.97998,1.0
L13.shared.down,65536,1,36,22,2048,31,2048,31,0.999023,1.0,0.999023,1.0
L14.q,1048576,0,29,30,8192,22,32768,21,0.986328,1.0,0.995941,1.0
L14.k,131072,1,23,22,1024,20,4096,19,0.988281,1.0,0.998535,1.0
L14.v,131072,3,18,16,1024,14,4096,14,1.0,1.0,1.0,1.0
L14.o,1048576,1,36,31,2048,30,32768,28,0.982422,1.0,0.999176,1.0
L14.routed.gate_up,33554432,2,31,29,262144,27,1048576,26,0.999115,1.0,0.999748,1.0
