stage,block,order,arm,token_index,step_us
confirm,C1,ABBA,ctl,16,8181.0
confirm,C1,ABBA,ctl,17,8154.0
confirm,C1,ABBA,ctl,18,8177.0
confirm,C1,ABBA,ctl,19,8172.0
confirm,C1,ABBA,ctl,20,8170.0
confirm,C1,ABBA,ctl,21,8143.0
confirm,C1,ABBA,ctl,22,8178.0
confirm,C1,ABBA,ctl,23,8174.0
confirm,C1,ABBA,ctl,24,8173.0
confirm,C1,ABBA,ctl,25,8212.0
confirm,C1,ABBA,ctl,26,8182.0
confirm,C1,ABBA,ctl,27,8193.0
confirm,C1,ABBA,ctl,28,8189.0
confirm,C1,ABBA,ctl,29,8243.0
confirm,C1,ABBA,ctl,30,8271.0
confirm,C1,ABBA,qmvse0,16,8176.0
confirm,C1,ABBA,qmvse0,17,8147.0
confirm,C1,ABBA,qmvse0,18,8192.0
confirm,C1,ABBA,qmvse0,19,8189.0
confirm,C1,ABBA,qmvse0,20,8166.0
confirm,C1,ABBA,qmvse0,21,8155.0
confirm,C1,ABBA,qmvse0,22,8197.0
confirm,C1,ABBA,qmvse0,23,8207.0
confirm,C1,ABBA,qmvse0,24,8203.0
confirm,C1,ABBA,qmvse0,25,8200.0
confirm,C1,ABBA,qmvse0,26,8271.0
confirm,C1,ABBA,qmvse0,27,8264.0
confirm,C1,ABBA,qmvse0,28,8256.0
confirm,C1,ABBA,qmvse0,29,8220.0
confirm,C1,ABBA,qmvse0,30,8227.0
confirm,C1,ABBA,sc0,16,8134.0
confirm,C1,ABBA,sc0,17,8160.0
confirm,C1,ABBA,sc0,18,8161.0
confirm,C1,ABBA,sc0,19,8154.0
confirm,C1,ABBA,sc0,20,8160.0
confirm,C1,ABBA,sc0,21,8175.0
confirm,C1,ABBA,sc0,22,8163.0
confirm,C1,ABBA,sc0,23,8194.0
confirm,C1,ABBA,sc0,24,8178.0
confirm,C1,ABBA,sc0,25,8207.0
confirm,C1,ABBA,sc0,26,8236.0
confirm,C1,ABBA,sc0,27,8283.0
confirm,C1,ABBA,sc0,28,8232.0
confirm,C1,ABBA,sc0,29,8203.0
confirm,C1,ABBA,sc0,30,8232.0
confirm,C2,BAAB,ctl,16,8206.0
confirm,C2,BAAB,ctl,17,8209.0
confirm,C2,BAAB,ctl,18,8209.0
confirm,C2,BAAB,ctl,19,8238.0
confirm,C2,BAAB,ctl,20,8199.0
confirm,C2,BAAB,ctl,21,8160.0
confirm,C2,BAAB,ctl,22,8168.0
confirm,C2,BAAB,ctl,23,8156.0
confirm,C2,BAAB,ctl,24,8174.0
confirm,C2,BAAB,ctl,25,8178.0
confirm,C2,BAAB,ctl,26,8183.0
confirm,C2,BAAB,ctl,27,8161.0
confirm,C2,BAAB,ctl,28,8309.0
confirm,C2,BAAB,ctl,29,8184.0
confirm,C2,BAAB,ctl,30,8190.0
confirm,C2,BAAB,qmvsc0,16,8195.0
confirm,C2,BAAB,qmvsc0,17,8135.0
confirm,C2,BAAB,qmvsc0,18,8156.0
confirm,C2,BAAB,qmvsc0,19,8161.0
confirm,C2,BAAB,qmvsc0,20,8153.0
confirm,C2,BAAB,qmvsc0,21,8171.0
confirm,C2,BAAB,qmvsc0,22,8166.0
confirm,C2,BAAB,qmvsc0,23,8172.0
confirm,C2,BAAB,qmvsc0,24,8186.0
confirm,C2,BAAB,qmvsc0,25,8177.0
confirm,C2,BAAB,qmvsc0,26,8215.0
confirm,C2,BAAB,qmvsc0,27,8199.0
confirm,C2,BAAB,qmvsc0,28,8193.0
confirm,C2,BAAB,qmvsc0,29,8188.0
confirm,C2,BAAB,qmvsc0,30,8200.0
confirm,C2,BAAB,qmvse0,16,8185.0
confirm,C2,BAAB,qmvse0,17,8154.0
confirm,C2,BAAB,qmvse0,18,8191.0
confirm,C2,BAAB,qmvse0,19,8157.0
confirm,C2,BAAB,qmvse0,20,8206.0
confirm,C2,BAAB,qmvse0,21,8195.0
confirm,C2,BAAB,qmvse0,22,8172.0
confirm,C2,BAAB,qmvse0,23,8212.0
confirm,C2,BAAB,qmvse0,24,8169.0
confirm,C2,BAAB,qmvse0,25,8199.0
confirm,C2,BAAB,qmvse0,26,8211.0
confirm,C2,BAAB,qmvse0,27,8210.0
confirm,C2,BAAB,qmvse0,28,8233.0
confirm,C2,BAAB,qmvse0,29,8205.0
confirm,C2,BAAB,qmvse0,30,8203.0
confirm,C2,BAAB,sc0,16,8154.0
confirm,C2,BAAB,sc0,17,8142.0
confirm,C2,BAAB,sc0,18,8167.0
confirm,C2,BAAB,sc0,19,8190.0
confirm,C2,BAAB,sc0,20,8185.0
confirm,C2,BAAB,sc0,21,8194.0
confirm,C2,BAAB,sc0,22,8206.0
confirm,C2,BAAB,sc0,23,8274.0
confirm,C2,BAAB,sc0,24,8230.0
confirm,C2,BAAB,sc0,25,8349.0
confirm,C2,BAAB,sc0,26,8227.0
confirm,C2,BAAB,sc0,27,8197.0
confirm,C2,BAAB,sc0,28,8183.0
confirm,C2,BAAB,sc0,29,8366.0
confirm,C2,BAAB,sc0,30,8182.0
confirm,C3,ABBA,ctl,16,8197.0
confirm,C3,ABBA,ctl,17,8184.0
confirm,C3,ABBA,ctl,18,8171.0
confirm,C3,ABBA,ctl,19,8180.0
confirm,C3,ABBA,ctl,20,8201.0
confirm,C3,ABBA,ctl,21,8176.0
confirm,C3,ABBA,ctl,22,8178.0
confirm,C3,ABBA,ctl,23,8188.0
confirm,C3,ABBA,ctl,24,8276.0
confirm,C3,ABBA,ctl,25,8257.0
confirm,C3,ABBA,ctl,26,8242.0
confirm,C3,ABBA,ctl,27,8216.0
confirm,C3,ABBA,ctl,28,8202.0
confirm,C3,ABBA,ctl,29,8152.0
confirm,C3,ABBA,ctl,30,8273.0
confirm,C3,ABBA,qmvsc0,16,8160.0
confirm,C3,ABBA,qmvsc0,17,8152.0
confirm,C3,ABBA,qmvsc0,18,8179.0
confirm,C3,ABBA,qmvsc0,19,8200.0
confirm,C3,ABBA,qmvsc0,20,8233.0
confirm,C3,ABBA,qmvsc0,21,8239.0
confirm,C3,ABBA,qmvsc0,22,8148.0
confirm,C3,ABBA,qmvsc0,23,8234.0
confirm,C3,ABBA,qmvsc0,24,8189.0
confirm,C3,ABBA,qmvsc0,25,8130.0
confirm,C3,ABBA,qmvsc0,26,8167.0
confirm,C3,ABBA,qmvsc0,27,8155.0
