tag	run	arm	steps	median_ms	mean_ms	divergences	seed_ms	load_s	rc
cf3	1	C	224	8.214	8.240	0	546.82	41.1	0
cf3	2	ASSPA	224	8.212	8.250	0	546.69	40.8	0
cf3	3	ASSPA	224	8.219	8.223	0	546.94	40.7	0
cf3	4	C	224	8.152	8.267	0	546.56	40.6	0
cf3	5	C	224	8.213	8.224	0	546.64	41.1	0
cf3	6	ASSPA	224	8.206	8.214	0	545.78	41.0	0
cf3	7	ASSPA	224	8.214	8.224	0	546.64	40.7	0
cf3	8	C	224	8.223	8.223	0	544.73	40.7	0
cf3	9	C	224	8.217	8.225	0	546.70	41.4	0
cf3	10	ASSPA	224	8.215	8.216	0	547.43	40.8	0
cf3	11	ASSPA	224	8.217	8.224	0	547.06	40.7	0
cf3	12	C	224	8.213	8.222	0	547.55	40.9	0
cf3	13	C	224	8.148	8.250	0	546.88	40.9	0
cf3	14	ASSPA	224	8.214	8.224	0	546.70	40.7	0
cf3	15	ASSPA	224	8.217	8.230	0	546.77	40.7	0
cf3	16	C	224	8.221	8.232	0	547.23	41.0	0
cf3	17	C	224	8.213	8.218	0	546.29	40.8	0
cf3	18	ASSPA	224	8.218	8.218	0	545.36	40.7	0
cf3	19	ASSPA	224	8.222	8.231	0	548.84	40.9	0
cf3	20	C	224	8.213	8.248	0	546.35	41.6	0
cf3	21	C	224	8.213	8.223	0	546.82	40.6	0
cf3	22	ASSPA	224	8.224	8.222	0	545.83	40.7	0
cf3	23	ASSPA	224	8.211	8.215	0	546.79	40.8	0
cf3	24	C	224	8.216	8.226	0	546.23	40.8	0
