tag	run	arm	steps	median_ms	mean_ms	divergences	seed_ms	load_s	rc
scr	0	C	224	8.198	8.207	0	544.80	40.4	0
scr	1	C	224	8.210	8.209	0	547.18	39.8	0
scr	2	RP0	224	8.154	8.175	0	543.82	40.2	0
scr	3	RP5	224	8.227	8.236	0	544.16	41.0	0
scr	4	NS0	224	8.250	8.259	0	543.78	41.0	0
scr	5	NS2	224	8.187	8.187	0	543.45	41.8	0
scr	6	C	224	8.158	8.166	0	543.93	42.1	0
scr	7	ASOFF	224	9.341	9.352	0	546.89	42.1	0
scr	8	ASDEN	224	8.216	8.227	0	546.47	41.7	0
scr	9	ASSPA	224	8.217	8.416	0	546.29	39.5	0
scr	10	ASLAD	224	8.466	8.476	0	546.45	40.9	0
scr	11	C	224	8.262	8.415	0	544.14	41.1	0
scr	12	ASNRM	224	9.557	9.581	0	543.73	41.2	0
scr	13	OPR1	224	8.154	8.178	0	543.68	43.5	0
scr	14	OPR4	224	8.251	8.255	0	550.47	43.0	0
scr	15	OPSG4	224	8.148	8.168	0	544.32	42.2	0
scr	16	C	224	8.213	8.217	0	544.27	41.6	0
scr	17	C	224	8.223	8.237	0	545.86	41.6	0
scr	18	OPSG4	224	8.235	8.250	0	547.15	42.0	0
scr	19	OPR4	224	8.246	8.252	0	546.65	42.1	0
scr	20	OPR1	224	8.240	8.266	0	547.16	41.5	0
scr	21	ASNRM	224	9.312	9.324	0	546.67	41.5	0
scr	22	C	224	8.318	8.341	0	547.54	41.4	0
scr	23	ASLAD	224	8.459	8.468	0	546.35	41.7	0
scr	24	ASSPA	224	8.215	8.224	0	546.91	41.5	0
scr	25	ASDEN	224	8.217	8.226	0	546.11	41.5	0
scr	26	ASOFF	224	9.356	9.369	0	546.39	42.2	0
scr	27	C	224	8.217	8.226	0	546.65	41.5	0
scr	28	NS2	224	8.249	8.250	0	545.40	41.4	0
scr	29	NS0	224	8.257	8.262	0	545.52	41.6	0
scr	30	RP5	224	8.230	8.239	0	546.55	41.0	0
scr	31	RP0	224	8.152	8.183	0	547.13	40.7	0
scr	32	C	224	8.219	8.234	0	550.63	40.6	0
