order,cycle,position,arm,seconds
ABBA,0,0,control,0.001033750
ABBA,0,1,candidate,0.001047333
ABBA,0,2,candidate,0.001036416
ABBA,0,3,control,0.001048250
ABBA,1,0,control,0.001019750
ABBA,1,1,candidate,0.001028458
ABBA,1,2,candidate,0.001035125
ABBA,1,3,control,0.001003208
ABBA,2,0,control,0.001018417
ABBA,2,1,candidate,0.001016917
ABBA,2,2,candidate,0.001014583
ABBA,2,3,control,0.001006833
ABBA,3,0,control,0.001009083
ABBA,3,1,candidate,0.001037459
ABBA,3,2,candidate,0.001008750
ABBA,3,3,control,0.000999500
ABBA,4,0,control,0.000994666
ABBA,4,1,candidate,0.001016750
ABBA,4,2,candidate,0.001014625
ABBA,4,3,control,0.000995917
ABBA,5,0,control,0.001005792
ABBA,5,1,candidate,0.001012958
ABBA,5,2,candidate,0.001016084
ABBA,5,3,control,0.000995167
ABBA,6,0,control,0.000994333
ABBA,6,1,candidate,0.001008667
ABBA,6,2,candidate,0.001009167
ABBA,6,3,control,0.001058209
ABBA,7,0,control,0.000995625
ABBA,7,1,candidate,0.000998000
ABBA,7,2,candidate,0.000990958
ABBA,7,3,control,0.000995541
ABBA,8,0,control,0.001004000
ABBA,8,1,candidate,0.001013250
ABBA,8,2,candidate,0.001010667
ABBA,8,3,control,0.000990208
ABBA,9,0,control,0.000985834
ABBA,9,1,candidate,0.001011334
ABBA,9,2,candidate,0.001001959
ABBA,9,3,control,0.000974042
ABBA,10,0,control,0.001011583
ABBA,10,1,candidate,0.001020708
ABBA,10,2,candidate,0.000998375
ABBA,10,3,control,0.001005500
ABBA,11,0,control,0.001004417
ABBA,11,1,candidate,0.001008708
ABBA,11,2,candidate,0.001020542
ABBA,11,3,control,0.001005917
ABBA,12,0,control,0.001010666
ABBA,12,1,candidate,0.001024458
ABBA,12,2,candidate,0.001019666
ABBA,12,3,control,0.000991958
ABBA,13,0,control,0.001016500
ABBA,13,1,candidate,0.001016458
ABBA,13,2,candidate,0.001014416
ABBA,13,3,control,0.001008250
ABBA,14,0,control,0.000999667
ABBA,14,1,candidate,0.001020666
ABBA,14,2,candidate,0.001001167
ABBA,14,3,control,0.001009166
ABBA,15,0,control,0.001010875
ABBA,15,1,candidate,0.001024250
ABBA,15,2,candidate,0.001021541
ABBA,15,3,control,0.000992541
ABBA,16,0,control,0.001010583
ABBA,16,1,candidate,0.001017416
ABBA,16,2,candidate,0.001001542
ABBA,16,3,control,0.001013750
ABBA,17,0,control,0.001005291
ABBA,17,1,candidate,0.001020208
ABBA,17,2,candidate,0.001013958
ABBA,17,3,control,0.000991166
ABBA,18,0,control,0.001006167
ABBA,18,1,candidate,0.001010584
ABBA,18,2,candidate,0.001003458
ABBA,18,3,control,0.001013750
ABBA,19,0,control,0.001011333
ABBA,19,1,candidate,0.001023791
ABBA,19,2,candidate,0.001006083
ABBA,19,3,control,0.001004250
ABBA,20,0,control,0.001001209
ABBA,20,1,candidate,0.001022334
ABBA,20,2,candidate,0.001016833
ABBA,20,3,control,0.000983792
ABBA,21,0,control,0.001003875
ABBA,21,1,candidate,0.001020875
ABBA,21,2,candidate,0.000999750
ABBA,21,3,control,0.001014458
ABBA,22,0,control,0.000985084
ABBA,22,1,candidate,0.000992667
ABBA,22,2,candidate,0.001015500
ABBA,22,3,control,0.001011417
ABBA,23,0,control,0.001011958
ABBA,23,1,candidate,0.000999292
ABBA,23,2,candidate,0.001016875
ABBA,23,3,control,0.001007167
ABBA,24,0,control,0.000990334
ABBA,24,1,candidate,0.001017750
ABBA,24,2,candidate,0.001014167
ABBA,24,3,control,0.001010417
ABBA,25,0,control,0.001010583
ABBA,25,1,candidate,0.000998500
ABBA,25,2,candidate,0.001021000
ABBA,25,3,control,0.000999542
ABBA,26,0,control,0.000990625
ABBA,26,1,candidate,0.001024000
ABBA,26,2,candidate,0.001020666
ABBA,26,3,control,0.001013375
ABBA,27,0,control,0.001002250
ABBA,27,1,candidate,0.001023417
ABBA,27,2,candidate,0.001015917
ABBA,27,3,control,0.001011667
ABBA,28,0,control,0.001008875
ABBA,28,1,candidate,0.001002625
ABBA,28,2,candidate,0.001022125
ABBA,28,3,control,0.001008875
ABBA,29,0,control,0.000996125
ABBA,29,1,candidate,0.001016167
ABBA,29,2,candidate,0.001011958
ABBA,29,3,control,0.001010250
ABBA,30,0,control,0.001010500
ABBA,30,1,candidate,0.001023958
