/tmp/r109e-split1/split1.err.gz: 29 decode kernels at >= 0.9/step, 8165.4 us/step corrected (SPLIT=1 inflation 1.554 us/call removed), peak 273.0 GB/s
headroom = corrected busy time minus the time the same bytes would take at peak DRAM bandwidth

 headroom  us/step_c    floor   share    GB/s  %peak  n/step  us/call   MB/call  kernel
    373.4      610.0    236.5   7.47%   105.9  38.8%   30.30    20.13     2.131  sliding_fused_attn_ring_v1
    178.7      195.5     16.8   2.39%    23.5   8.6%   30.30     6.45     0.152  gate_sp_h64_v1
    174.3     1460.7   1286.5  17.89%   240.4  88.1%   39.40    37.07     8.913g routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2
    163.7      809.5    645.8   9.91%   217.8  79.8%   39.40    20.54     4.474g routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6
    133.5      134.2      0.6   1.64%     1.3   0.5%   39.78     3.37     0.004  prefill_router_tournament_ordinal_norm_active64_v2
    117.7      233.9    116.2   2.86%   135.6  49.7%   10.01    23.37     3.170  full_fused_attn_grow_v1
    101.8      256.5    154.7   3.14%   164.6  60.3%   39.40     6.51     1.072  residual_rms_router_bf16_2048_rpg8_keys_v1_pf1
     80.5       88.6      8.0   1.08%    24.8   9.1%   41.83     2.12     0.053  rmsbfloat16
     68.5      230.0    161.6   2.82%   191.7  70.2%   39.40     5.84     1.119  shared_nvfp4_swiglu_qmv_rows1_halved_bf16_v1
     61.9       66.1      4.2   0.81%    17.5   6.4%   10.10     6.54     0.115  gate_sp_h48_v1
     23.0      271.4    248.4   3.32%   249.8  91.5%    1.01   268.70    67.129  dense_gate_up_swiglu_bf16_v1
     21.6      291.4    269.8   3.57%   252.8  92.6%   10.10    28.85     7.293  oproj_act_h48_v1_lm1_pw1_sc1_se1
     20.1      426.3    406.2   5.22%   260.1  95.3%    1.01   422.08   109.789  lmhead_int5_base_coarse_delta_bf16_v1
     10.4      134.6    124.2   1.65%   251.9  92.3%    1.01   133.30    33.579  dense_down_residual_bf16_v1
      7.0        7.8      0.7   0.10%    26.2   9.6%    1.02     7.67     0.201  argmax_bfloat16
      2.9     1082.0   1079.1  13.25%   272.3  99.7%   30.30    35.71     9.722  oproj_act_h64_v1_lm1_pw1_sc1_se1
      1.6        1.8      0.2   0.02%    26.0   9.5%    1.61     1.13     0.029  v_copyuint8int32
      0.9        2.4      1.5   0.03%   168.1  61.6%    1.02     2.39     0.402  lmhead_coarse_argmax_stage1_v5_float_float_uint32_t
      0.9        0.9      0.0   0.01%     0.0   0.0%    1.18     0.72     0.000  ss_Subtractint32
     -1.3       10.9     12.1   0.13%   304.9 111.7%    1.40     7.74     2.361  residual_rms_bf16_2048_v1
     -2.0       97.4     99.4   1.19%   278.5 102.0%    0.99    97.87    27.262  vn_copybool_int32
     -7.7      352.2    359.9   4.31%   279.0 102.2%   10.10    34.87     9.728  decode_nvfp4_qkv_h48_r1_v1_lm1_pw1_se1_sd1
    -14.2        2.5     16.7   0.03%  1837.3 673.0%    1.03     2.42     4.448  gather_frontbfloat16_int32_int_2
    -28.4        1.9     30.2   0.02%  4445.4 1628.4%    1.18     1.58     7.018  gatheruint8int32_1_0_int
    -36.0     1313.6   1349.6  16.09%   280.5 102.7%   30.30    43.35    12.159  decode_nvfp4_qkv_h64_r1_v1_lm1_pw1_se1_sd1
   -119.6        1.3    120.9   0.02% 24890.0 9117.2%    1.18     1.13    28.071  gather_frontint32_int32_int_1
  -1530.5        2.0   1532.4   0.02% 212887.0 77980.6%    1.01     1.95   414.192  decode_embedding_rope_atlas_bf16_2048_v2_int32_tc
  -1532.8        3.1   1535.9   0.04% 135058.1 49471.8%    1.02     3.04   411.047  lmhead_exact_winner_bf16_midpoint_threshold_v1_float_uint32_t
  -1565.7       76.9   1642.6   0.94%  5830.2 2135.6%    1.01    76.15   443.961  lmhead_exact_fused_int5_sparse_refine_v1_float
