order_tag	block	run	arm	steps	median_ms	mean_ms	divergences
ladder	1	1	A	512	8.217	8.221	0
ladder	1	2	B	512	8.197	8.203	0
ladder	1	3	D	512	8.231	8.278	0
ladder	1	4	D	512	8.218	8.223	0
ladder	1	5	B	512	8.193	8.238	0
ladder	1	6	A	512	8.199	8.201	0
ladder	2	7	B	512	8.189	8.196	0
ladder	2	8	D	512	8.221	8.226	0
ladder	2	9	A	512	8.203	8.208	0
ladder	2	10	A	512	8.199	8.208	0
ladder	2	11	D	512	8.228	8.235	0
ladder	2	12	B	512	8.190	8.197	0
ladder	3	13	D	512	8.225	8.235	0
ladder	3	14	A	512	8.201	8.210	0
ladder	3	15	B	512	8.194	8.207	0
ladder	3	16	B	512	8.240	8.274	0
ladder	3	17	A	512	8.135	8.121	0
ladder	3	18	D	512	8.219	8.229	0
ladder	4	19	A	512	8.205	8.224	0
ladder	4	20	D	512	8.222	8.261	0
ladder	4	21	B	512	8.201	8.213	0
ladder	4	22	B	512	8.196	8.198	0
ladder	4	23	D	512	8.220	8.255	0
ladder	4	24	A	512	8.205	8.211	0
ladder	5	25	D	512	8.242	8.249	0
ladder	5	26	B	512	8.202	8.210	0
ladder	5	27	A	512	8.202	8.214	0
ladder	5	28	A	512	8.207	8.218	0
ladder	5	29	B	512	8.203	8.209	0
ladder	5	30	D	512	8.217	8.223	0
ladder	6	31	B	512	8.192	8.210	0
ladder	6	32	A	512	8.203	8.214	0
ladder	6	33	D	512	8.226	8.236	0
ladder	6	34	D	512	8.226	8.234	0
ladder	6	35	A	512	8.202	8.224	0
ladder	6	36	B	512	8.209	8.215	0
