study	arch	fn	compute_bytes
cal	applegpu_g16s	k_empty	1520
cal	applegpu_g16s	k_fma00	1520
cal	applegpu_g16s	k_fma30	1808
cal	applegpu_g16s	k_fma60	2096
cal	applegpu_g16s	k_fma480	1648
cal	applegpu_g16s	k_fold	1632
cal	applegpu_g17s	k_empty	1504
cal	applegpu_g17s	k_fma00	1504
cal	applegpu_g17s	k_fma30	1808
cal	applegpu_g17s	k_fma60	2096
cal	applegpu_g17s	k_fma480	1648
cal	applegpu_g17s	k_fold	1632
encoding	applegpu_g16s	e_null	1600
encoding	applegpu_g16s	e_ffma_032	1840
encoding	applegpu_g16s	e_ffma_064	2032
encoding	applegpu_g16s	e_ffma_128	2416
encoding	applegpu_g16s	e_fadd_032	1760
encoding	applegpu_g16s	e_fadd_064	1888
encoding	applegpu_g16s	e_fadd_128	2144
encoding	applegpu_g16s	e_fimm_032	1888
encoding	applegpu_g16s	e_fimm_064	2240
encoding	applegpu_g16s	e_fimm_128	2944
encoding	applegpu_g16s	e_imad_032	2032
encoding	applegpu_g16s	e_imad_064	2416
encoding	applegpu_g16s	e_imad_128	3184
encoding	applegpu_g17s	e_null	1584
encoding	applegpu_g17s	e_ffma_032	1824
encoding	applegpu_g17s	e_ffma_064	2016
encoding	applegpu_g17s	e_ffma_128	2400
encoding	applegpu_g17s	e_fadd_032	1744
encoding	applegpu_g17s	e_fadd_064	1872
encoding	applegpu_g17s	e_fadd_128	2128
encoding	applegpu_g17s	e_fimm_032	1872
encoding	applegpu_g17s	e_fimm_064	2224
encoding	applegpu_g17s	e_fimm_128	2928
encoding	applegpu_g17s	e_imad_032	2080
encoding	applegpu_g17s	e_imad_064	2528
encoding	applegpu_g17s	e_imad_128	3424
router_real	applegpu_g16s	custom_kernel_laguna_prefill_router_tournament_ordinal_active64_v2_bfloat16_t_float_uint32_t_float	4304
router_real	applegpu_g17s	custom_kernel_laguna_prefill_router_tournament_ordinal_active64_v2_bfloat16_t_float_uint32_t_float	4272
s4a	applegpu_g16s	r_cmp00	2064
s4a	applegpu_g16s	r_cmp06	2448
s4a	applegpu_g16s	r_cmp10	2592
s4a	applegpu_g16s	r_cmp15	2736
s4a	applegpu_g16s	r_u01	2144
s4a	applegpu_g16s	r_u03	2336
s4a	applegpu_g16s	r_u06	2592
s4a	applegpu_g16s	r_u10	2928
s4a	applegpu_g16s	r_u15	3344
s4a	applegpu_g16s	r_m01	2128
s4a	applegpu_g16s	r_m03	2288
s4a	applegpu_g16s	r_m05	2464
s4a	applegpu_g16s	r_p15	2736
s4a	applegpu_g16s	r_cd_mock	3008
s4a	applegpu_g17s	r_cmp00	2048
s4a	applegpu_g17s	r_cmp06	2448
s4a	applegpu_g17s	r_cmp10	2608
s4a	applegpu_g17s	r_cmp15	2752
s4a	applegpu_g17s	r_u01	2144
s4a	applegpu_g17s	r_u03	2336
s4a	applegpu_g17s	r_u06	2592
s4a	applegpu_g17s	r_u10	2928
s4a	applegpu_g17s	r_u15	3344
s4a	applegpu_g17s	r_m01	2112
s4a	applegpu_g17s	r_m03	2288
s4a	applegpu_g17s	r_m05	2464
s4a	applegpu_g17s	r_p15	2752
s4a	applegpu_g17s	r_cd_mock	2992
s4b	applegpu_g16s	n_null	1856
s4b	applegpu_g16s	n_bp0_4	4192
s4b	applegpu_g16s	n_bp0_8	7088
s4b	applegpu_g16s	n_bp1_4	3680
s4b	applegpu_g16s	n_bp1_8	6064
s4b	applegpu_g16s	n_bp2_4	4192
s4b	applegpu_g16s	n_bp2_8	7088
s4b	applegpu_g16s	n_lut_4	4272
s4b	applegpu_g16s	n_lut_8	7568
s4b	applegpu_g16s	n_sm_4	6416
s4b	applegpu_g16s	n_sm_8	11568
s4b	applegpu_g17s	n_null	1840
s4b	applegpu_g17s	n_bp0_4	4224
s4b	applegpu_g17s	n_bp0_8	7232
s4b	applegpu_g17s	n_bp1_4	3632
s4b	applegpu_g17s	n_bp1_8	6048
s4b	applegpu_g17s	n_bp2_4	4224
s4b	applegpu_g17s	n_bp2_8	7232
s4b	applegpu_g17s	n_lut_4	3888
s4b	applegpu_g17s	n_lut_8	7200
s4b	applegpu_g17s	n_sm_4	6192
s4b	applegpu_g17s	n_sm_8	11552
r92_floor	applegpu_g16s	floor_buf1	1520
r92_floor	applegpu_g16s	floor_buf2	1520
r92_floor	applegpu_g16s	floor_buf4	1600
r92_floor	applegpu_g16s	floor_buf4_bf16	1616
r92_floor	applegpu_g16s	floor_buf4_bf16_simd	1664
r92_floor	applegpu_g17s	floor_buf1	1504
r92_floor	applegpu_g17s	floor_buf2	1504
r92_floor	applegpu_g17s	floor_buf4	1584
r92_floor	applegpu_g17s	floor_buf4_bf16	1600
r92_floor	applegpu_g17s	floor_buf4_bf16_simd	1664
r92_encoding	applegpu_g16s	e_null	1600
r92_encoding	applegpu_g16s	e_ffma_032	1840
r92_encoding	applegpu_g16s	e_ffma_064	2032
r92_encoding	applegpu_g16s	e_ffma_128	2416
r92_encoding	applegpu_g16s	e_fadd_032	1760
r92_encoding	applegpu_g16s	e_fadd_064	1888
r92_encoding	applegpu_g16s	e_fadd_128	2144
r92_encoding	applegpu_g16s	e_fimm_032	1888
r92_encoding	applegpu_g16s	e_fimm_064	2240
r92_encoding	applegpu_g16s	e_fimm_128	2944
r92_encoding	applegpu_g16s	e_imad_032	2032
r92_encoding	applegpu_g16s	e_imad_064	2416
r92_encoding	applegpu_g16s	e_imad_128	3184
r92_encoding	applegpu_g17s	e_null	1584
r92_encoding	applegpu_g17s	e_ffma_032	1824
r92_encoding	applegpu_g17s	e_ffma_064	2016
r92_encoding	applegpu_g17s	e_ffma_128	2400
r92_encoding	applegpu_g17s	e_fadd_032	1744
r92_encoding	applegpu_g17s	e_fadd_064	1872
r92_encoding	applegpu_g17s	e_fadd_128	2128
r92_encoding	applegpu_g17s	e_fimm_032	1872
r92_encoding	applegpu_g17s	e_fimm_064	2224
r92_encoding	applegpu_g17s	e_fimm_128	2928
r92_encoding	applegpu_g17s	e_imad_032	2080
r92_encoding	applegpu_g17s	e_imad_064	2528
r92_encoding	applegpu_g17s	e_imad_128	3424
r92_decode	applegpu_g16s	custom_kernel_laguna_dense_down_residual_bf16_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	2944
r92_decode	applegpu_g17s	custom_kernel_laguna_dense_down_residual_bf16_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	2752
r92_decode	applegpu_g16s	custom_kernel_laguna_full_fused_attn_grow_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	8000
r92_decode	applegpu_g17s	custom_kernel_laguna_full_fused_attn_grow_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	8144
r92_decode	applegpu_g16s	custom_kernel_laguna_full_qk_norm_yarn_bf16_128_v4_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t	2912
r92_decode	applegpu_g17s	custom_kernel_laguna_full_qk_norm_yarn_bf16_128_v4_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t	2912
r92_decode	applegpu_g16s	custom_kernel_laguna_fused_norm_qkv_projection_bf16_h48_v3_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	8048
r92_decode	applegpu_g17s	custom_kernel_laguna_fused_norm_qkv_projection_bf16_h48_v3_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	7632
r92_decode	applegpu_g16s	custom_kernel_laguna_fused_norm_qkv_projection_bf16_h64_v3_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	8064
r92_decode	applegpu_g17s	custom_kernel_laguna_fused_norm_qkv_projection_bf16_h64_v3_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	7648
r92_decode	applegpu_g16s	custom_kernel_laguna_gated_output_projection_bf16_h48_u2_v3_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	2976
r92_decode	applegpu_g17s	custom_kernel_laguna_gated_output_projection_bf16_h48_u2_v3_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	2784
r92_decode	applegpu_g16s	custom_kernel_laguna_gated_output_projection_bf16_h64_u2_v3_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	2976
r92_decode	applegpu_g17s	custom_kernel_laguna_gated_output_projection_bf16_h64_u2_v3_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	2784
r92_decode	applegpu_g16s	custom_kernel_laguna_prefill_moe_tail_bf16_v1_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t	2624
r92_decode	applegpu_g17s	custom_kernel_laguna_prefill_moe_tail_bf16_v1_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t	2624
r92_decode	applegpu_g16s	custom_kernel_laguna_prefill_router_tournament_ordinal_norm_active64_v2_bfloat16_t_float_uint32_t_float	4720
r92_decode	applegpu_g17s	custom_kernel_laguna_prefill_router_tournament_ordinal_norm_active64_v2_bfloat16_t_float_uint32_t_float	4688
r92_decode	applegpu_g16s	custom_kernel_laguna_residual_rms_bf16_2048_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	2288
r92_decode	applegpu_g17s	custom_kernel_laguna_residual_rms_bf16_2048_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	2272
r92_decode	applegpu_g16s	custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_pf1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t	4128
r92_decode	applegpu_g17s	custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_pf1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t	4016
r92_decode	applegpu_g16s	custom_kernel_laguna_sliding_fused_attn_ring_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	7168
r92_decode	applegpu_g17s	custom_kernel_laguna_sliding_fused_attn_ring_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	7296
r92_bisect	applegpu_g16s	laguna_sliding_fused_attn_ring_v1__base	7168
r92_bisect	applegpu_g17s	laguna_sliding_fused_attn_ring_v1__base	7296
r92_bisect	applegpu_g16s	laguna_sliding_fused_attn_ring_v1__ring_pred_const	7040
r92_bisect	applegpu_g17s	laguna_sliding_fused_attn_ring_v1__ring_pred_const	7200
r92_bisect	applegpu_g16s	laguna_sliding_fused_attn_ring_v1__ring_branch_dead	7040
r92_bisect	applegpu_g17s	laguna_sliding_fused_attn_ring_v1__ring_branch_dead	7200
r92_bisect	applegpu_g16s	laguna_sliding_fused_attn_ring_v1__ring_both	7040
r92_bisect	applegpu_g17s	laguna_sliding_fused_attn_ring_v1__ring_both	7200
r92_bisect	applegpu_g16s	laguna_sliding_fused_attn_ring_v1__rope_prologue_dead	5424
r92_bisect	applegpu_g17s	laguna_sliding_fused_attn_ring_v1__rope_prologue_dead	5536
r92_bisect	applegpu_g16s	laguna_sliding_fused_attn_ring_v1__addr_uint32	7184
r92_bisect	applegpu_g17s	laguna_sliding_fused_attn_ring_v1__addr_uint32	7280
r92_bisect	applegpu_g16s	laguna_sliding_fused_attn_ring_v1__rescale_bitcast_dead	7136
r92_bisect	applegpu_g17s	laguna_sliding_fused_attn_ring_v1__rescale_bitcast_dead	7248
r92_bisect	applegpu_g16s	laguna_sliding_fused_attn_ring_v1__no_simd_sum	7072
r92_bisect	applegpu_g17s	laguna_sliding_fused_attn_ring_v1__no_simd_sum	7152
r92_bisect	applegpu_g16s	laguna_sliding_fused_attn_ring_v1__no_simd_sum_loop	7136
r92_bisect	applegpu_g17s	laguna_sliding_fused_attn_ring_v1__no_simd_sum_loop	7248
r92_bisect	applegpu_g16s	laguna_sliding_fused_attn_ring_v1__no_simd_sum_epilogue	7120
r92_bisect	applegpu_g17s	laguna_sliding_fused_attn_ring_v1__no_simd_sum_epilogue	7200
r92_bisect	applegpu_g16s	laguna_sliding_fused_attn_ring_v1__no_simd_sum_prologue	7168
r92_bisect	applegpu_g17s	laguna_sliding_fused_attn_ring_v1__no_simd_sum_prologue	7280
r92_bisect	applegpu_g16s	laguna_sliding_fused_attn_ring_v1__no_simd_max	7152
r92_bisect	applegpu_g17s	laguna_sliding_fused_attn_ring_v1__no_simd_max	7264
r92_bisect	applegpu_g16s	laguna_sliding_fused_attn_ring_v1__simd_sum_ladder	8112
r92_bisect	applegpu_g17s	laguna_sliding_fused_attn_ring_v1__simd_sum_ladder	8208
r92_bisect	applegpu_g16s	laguna_sliding_fused_attn_ring_v1__epilogue_vec_simd_sum	7168
r92_bisect	applegpu_g17s	laguna_sliding_fused_attn_ring_v1__epilogue_vec_simd_sum	7296
r92_bisect	applegpu_g16s	laguna_sliding_fused_attn_ring_v1__no_fast_exp	7008
r92_bisect	applegpu_g17s	laguna_sliding_fused_attn_ring_v1__no_fast_exp	7120
r92_bisect	applegpu_g16s	laguna_sliding_fused_attn_ring_v1__N_128	7152
r92_bisect	applegpu_g17s	laguna_sliding_fused_attn_ring_v1__N_128	7280
r92_bisect	applegpu_g16s	laguna_sliding_fused_attn_ring_v1__N_256	7152
r92_bisect	applegpu_g17s	laguna_sliding_fused_attn_ring_v1__N_256	7280
r92_bisect	applegpu_g16s	laguna_sliding_fused_attn_ring_v1__N_1024	7168
r92_bisect	applegpu_g17s	laguna_sliding_fused_attn_ring_v1__N_1024	7296
r92_bisect	applegpu_g16s	laguna_full_fused_attn_grow_v1__base	8000
r92_bisect	applegpu_g17s	laguna_full_fused_attn_grow_v1__base	8144
r92_bisect	applegpu_g16s	laguna_full_fused_attn_grow_v1__ring_pred_const	7872
r92_bisect	applegpu_g17s	laguna_full_fused_attn_grow_v1__ring_pred_const	8048
r92_bisect	applegpu_g16s	laguna_full_fused_attn_grow_v1__ring_branch_dead	7808
r92_bisect	applegpu_g17s	laguna_full_fused_attn_grow_v1__ring_branch_dead	8000
r92_bisect	applegpu_g16s	laguna_full_fused_attn_grow_v1__ring_both	7808
r92_bisect	applegpu_g17s	laguna_full_fused_attn_grow_v1__ring_both	8000
r92_bisect	applegpu_g16s	laguna_full_fused_attn_grow_v1__rope_prologue_dead	5952
r92_bisect	applegpu_g17s	laguna_full_fused_attn_grow_v1__rope_prologue_dead	6080
r92_bisect	applegpu_g16s	laguna_full_fused_attn_grow_v1__addr_uint32	7904
r92_bisect	applegpu_g17s	laguna_full_fused_attn_grow_v1__addr_uint32	8080
r92_bisect	applegpu_g16s	laguna_full_fused_attn_grow_v1__rescale_bitcast_dead	7952
r92_bisect	applegpu_g17s	laguna_full_fused_attn_grow_v1__rescale_bitcast_dead	8080
r92_bisect	applegpu_g16s	laguna_full_fused_attn_grow_v1__no_simd_sum	7904
r92_bisect	applegpu_g17s	laguna_full_fused_attn_grow_v1__no_simd_sum	7968
r92_bisect	applegpu_g16s	laguna_full_fused_attn_grow_v1__no_simd_sum_loop	7952
r92_bisect	applegpu_g17s	laguna_full_fused_attn_grow_v1__no_simd_sum_loop	8080
r92_bisect	applegpu_g16s	laguna_full_fused_attn_grow_v1__no_simd_sum_epilogue	7952
r92_bisect	applegpu_g17s	laguna_full_fused_attn_grow_v1__no_simd_sum_epilogue	8048
r92_bisect	applegpu_g16s	laguna_full_fused_attn_grow_v1__no_simd_sum_prologue	8000
r92_bisect	applegpu_g17s	laguna_full_fused_attn_grow_v1__no_simd_sum_prologue	8128
r92_bisect	applegpu_g16s	laguna_full_fused_attn_grow_v1__no_simd_max	7984
r92_bisect	applegpu_g17s	laguna_full_fused_attn_grow_v1__no_simd_max	8096
r92_bisect	applegpu_g16s	laguna_full_fused_attn_grow_v1__simd_sum_ladder	9072
r92_bisect	applegpu_g17s	laguna_full_fused_attn_grow_v1__simd_sum_ladder	9168
r92_bisect	applegpu_g16s	laguna_full_fused_attn_grow_v1__epilogue_vec_simd_sum	8000
r92_bisect	applegpu_g17s	laguna_full_fused_attn_grow_v1__epilogue_vec_simd_sum	8144
r92_bisect	applegpu_g16s	laguna_full_fused_attn_grow_v1__no_fast_exp	7776
r92_bisect	applegpu_g17s	laguna_full_fused_attn_grow_v1__no_fast_exp	7904
