table,row,arm,plane,kernel_or_block,machine,quantity,value,unit,label,byte_basis,n,dispersion,dispersion_kind,source
R,R1,pr20,lm-head stage-1 base plane,lmhead_int5_base_coarse_delta,M5,bytes_removed_per_step,25.690112,MB,MEASURED,REMOVED,1,0,exact_byte_count,research/nezuko-m1-cascade-result.md:20;:28
R,R1,pr20,lm-head stage-1 base plane,lmhead_int5_base_coarse_delta,M5,plane_bytes_read_before,134.87,MB,MEASURED,READ,1,0,exact_byte_count,research/CURRENT_RESEARCH_STATE.md:5602-5612
R,R1,pr20,lm-head stage-1 base plane,lmhead_int5_base_coarse_delta,M5,plane_bytes_read_after,109.18,MB,MEASURED,READ,1,0,exact_byte_count,research/CURRENT_RESEARCH_STATE.md:308-309
R,R1,pr20,lm-head stage-1 base plane,lmhead_int5_base_coarse_delta,M5,t_before_decode_ms,5.1135025,ms,MEASURED,,4,0.0055248,sem_of_4_control_receipts,research/CURRENT_RESEARCH_STATE.md:5539;:5540;:5541;:5545 via D=S/128+T
R,R1,pr20,lm-head stage-1 base plane,lmhead_int5_base_coarse_delta,M5,t_after_decode_ms,5.0869753,ms,MEASURED,,2,0.0037600,sem_of_2_Y_receipts,research/CURRENT_RESEARCH_STATE.md:5542;:5543 + research/frieren-pr35-r5-result.md:288
R,R1,pr20,lm-head stage-1 base plane,lmhead_int5_base_coarse_delta,M5,delta_decode_us,26.527,us,DERIVED,,6,6.683,propagated_sem_n6,t_before-t_after
R,R1,pr20,lm-head stage-1 base plane,lmhead_int5_base_coarse_delta,M5,marginal_rate_R_marg,968.4,GB_per_s,DERIVED,REMOVED,6,"[773.6,1294.6]",interval_1sem_n6,25.690112 MB / 26.527 us
R,R1,pr20,lm-head stage-1 base plane,lmhead_int5_base_coarse_delta,M4,average_rate_R_avg,260.6,GB_per_s,MEASURED,READ,199,UNKNOWN,no_half_range_published,research/CURRENT_RESEARCH_STATE.md:308-309
R,R1,pr20,lm-head stage-1 base plane,lmhead_int5_base_coarse_delta,M5,average_rate_R_avg,UNKNOWN,GB_per_s,UNKNOWN,,0,UNKNOWN,no_M5_lm-head_rate_exists,research/tanjiro-pr34-result.md:38-40
R,R1,pr20,lm-head stage-1 base plane,lmhead_int5_base_coarse_delta,mixed,sigma_R_avg_over_R_marg,0.269,dimensionless,DERIVED,,6,"[0.201,0.337]",interval_1sem_n6,260.6/968.4 (M4 R_avg vs M5 R_marg - see report S6)
