idx	arm	mean_ms	median_ms	p10_ms	p90_ms	diverg	load_s
1	0	8.309	8.274	8.240	8.314	0	31.3s
2	1	8.268	8.258	8.218	8.316	0	40.0s
3	2	8.292	8.273	8.244	8.314	0	40.0s
4	1	8.266	8.256	8.221	8.301	0	40.1s
5	2	8.292	8.284	8.251	8.328	0	40.0s
6	0	8.308	8.275	8.241	8.326	0	40.2s
7	2	8.408	8.347	8.266	8.430	0	39.9s
8	0	8.302	8.279	8.251	8.371	0	39.9s
9	1	8.261	8.250	8.219	8.302	0	40.0s
10	0	8.295	8.275	8.244	8.352	0	40.0s
11	2	8.279	8.270	8.233	8.322	0	40.4s
12	1	8.268	8.257	8.211	8.330	0	41.0s
13	2	8.293	8.292	8.206	8.352	0	41.2s
14	1	8.310	8.292	8.244	8.384	0	40.9s
15	0	8.290	8.277	8.250	8.342	0	41.6s
16	1	8.267	8.257	8.226	8.307	0	40.9s
17	0	8.282	8.276	8.239	8.315	0	40.9s
18	2	8.300	8.277	8.237	8.350	0	41.0s
19	1	8.272	8.253	8.219	8.344	0	41.0s
20	0	8.333	8.296	8.200	8.357	0	41.2s
21	2	8.317	8.279	8.241	8.341	0	41.0s
22	2	8.283	8.272	8.244	8.310	0	41.5s
23	1	8.343	8.255	8.208	8.298	0	41.0s
24	0	8.288	8.269	8.243	8.343	0	41.1s
25	0	8.344	8.324	8.286	8.381	0	41.1s
26	2	8.323	8.281	8.245	8.351	0	41.1s
27	1	8.266	8.262	8.205	8.315	0	41.3s
28	2	8.288	8.277	8.242	8.329	0	41.0s
29	0	8.291	8.281	8.244	8.347	0	41.2s
30	1	8.286	8.266	8.220	8.391	0	40.9s
31	1	8.267	8.253	8.219	8.329	0	40.8s
32	2	8.296	8.285	8.257	8.331	0	40.9s
33	0	8.291	8.272	8.229	8.363	0	41.3s
34	0	8.272	8.272	8.185	8.323	0	41.1s
35	1	8.273	8.257	8.221	8.335	0	40.9s
36	2	8.348	8.336	8.249	8.445	0	40.9s
