pool slots: 963 (1023 MiB)
# coverage check (all arms must write 512 rows and match the shipped arm):
#   v0_shipped: reference(zeros=83)
#   v1_r1_tg256: zeros=83 maxrel=0.00e+00
#   v2_r1_tg1024: zeros=83 maxrel=0.00e+00
#   v3_r2_tg64: zeros=83 maxrel=0.00e+00
#   v4_r4_tg64: zeros=83 maxrel=0.00e+00
#   v5_ks2_tg128: zeros=83 maxrel=0.00e+00
#   v6_ks4_tg256: zeros=83 maxrel=0.00e+00
#   v7_ks8_tg256: zeros=83 maxrel=0.00e+00
#   c0_wide_known_bad: zeros=83 maxrel=0.00e+00
# dvfs warmup rounds: 796
variant             us/call   us/step     GB/s  us/call_min  spread%    thr
v0_shipped     5.692    222.00    195.7     5.624      7.69   16384
v1_r1_tg256     6.222    242.67    179.1     5.994      5.60   16384
v2_r1_tg1024     5.940    231.67    187.6     5.619     10.40   16384
v3_r2_tg64     5.903    230.21    188.7     5.737      6.87    8192
v4_r4_tg64     6.696    261.12    166.4     6.303      7.15    4096
v5_ks2_tg128     5.896    229.96    188.9     5.706     10.04   32768
v6_ks4_tg256     7.299    284.67    152.6     7.159      4.04   65536
v7_ks8_tg256    14.989    584.58     74.3    14.202      7.96  131072
c0_wide_known_bad     5.920    230.88    188.2     5.724     11.65   16384
s0_stream_16k_8B     5.064    197.50    220.0     5.040      5.00   16384
s1_stream_16k_16B     5.030    196.17    221.5     4.998      5.99   16384
s2_stream_64k_16B     5.038    196.50    221.1     4.986      6.69   65536
s3_stream_8k_16B     5.064    197.50    220.0     5.015      5.69    8192
