idx	arm	mean_ms	median_ms	p10_ms	p90_ms	diverg	load_s
1	F	11.627	11.617	11.581	11.664	0	40.3s
2	U	11.616	11.612	11.562	11.654	0	43.9s
3	U	11.651	11.634	11.601	11.706	0	43.7s
4	F	11.634	11.627	11.582	11.676	0	43.5s
5	U	11.610	11.602	11.559	11.653	0	43.6s
6	F	11.658	11.655	11.513	11.748	0	44.1s
7	F	11.651	11.627	11.584	11.700	0	42.7s
8	U	11.610	11.598	11.552	11.672	0	43.4s
9	F	11.648	11.627	11.580	11.685	0	41.6s
10	U	11.609	11.603	11.560	11.647	0	42.0s
11	U	11.629	11.618	11.556	11.686	0	42.0s
12	F	11.638	11.631	11.584	11.680	0	42.3s
13	U	11.612	11.602	11.562	11.653	0	42.0s
14	F	11.645	11.625	11.581	11.685	0	42.2s
15	F	11.621	11.618	11.550	11.690	0	42.3s
16	U	11.614	11.606	11.558	11.659	0	42.2s
17	F	11.629	11.620	11.579	11.670	0	42.0s
18	U	11.605	11.591	11.547	11.656	0	42.0s
19	U	11.615	11.604	11.562	11.649	0	42.0s
20	F	11.632	11.624	11.582	11.673	0	42.2s
21	U	11.604	11.596	11.549	11.641	0	42.3s
22	F	11.628	11.618	11.577	11.669	0	42.2s
23	F	11.631	11.621	11.584	11.675	0	42.0s
24	U	11.636	11.605	11.557	11.723	0	42.1s
25	F	11.625	11.625	11.552	11.688	0	42.0s
26	U	11.610	11.592	11.549	11.693	0	42.0s
27	U	11.610	11.601	11.562	11.648	0	42.0s
28	F	11.689	11.676	11.576	11.809	0	42.4s
29	U	11.602	11.599	11.556	11.648	0	42.2s
30	F	11.629	11.623	11.579	11.674	0	42.0s
31	F	11.624	11.605	11.563	11.705	0	42.2s
32	U	11.701	11.678	11.629	11.814	0	42.1s
