idx	arm	mean_ms	median_ms	p10_ms	p90_ms	diverg	load_s
1	rctl	8.200	8.161	8.090	8.356	0	43.0s
2	ship	8.279	8.250	8.216	8.305	0	43.5s
3	rd2	7.922	7.820	7.772	7.881	0	43.8s
4	rd1	7.605	7.595	7.553	7.650	53	43.8s
5	rd2	7.821	7.806	7.774	7.887	0	43.2s
6	ship	8.253	8.244	8.165	8.323	0	43.3s
7	rd1	7.655	7.603	7.571	7.671	53	42.4s
8	rctl	8.263	8.249	8.219	8.294	0	43.0s
9	rctl	8.261	8.249	8.218	8.303	0	41.7s
10	ship	8.260	8.248	8.216	8.303	0	41.7s
11	rd2	8.042	7.884	7.813	8.040	0	41.5s
12	rd1	7.609	7.599	7.555	7.662	53	41.5s
13	rctl	8.265	8.251	8.222	8.304	0	41.5s
14	rd2	7.816	7.806	7.775	7.849	0	41.5s
15	rd1	7.619	7.588	7.551	7.663	53	41.7s
16	ship	8.282	8.258	8.221	8.417	0	41.9s
17	rctl	8.255	8.249	8.174	8.305	0	41.8s
18	rd2	7.814	7.804	7.775	7.846	0	41.6s
19	rd1	7.607	7.597	7.559	7.652	53	42.0s
20	ship	8.265	8.251	8.214	8.322	0	41.6s
21	rctl	8.267	8.253	8.222	8.300	0	42.4s
22	rd1	7.604	7.598	7.543	7.659	53	42.4s
23	ship	8.272	8.255	8.218	8.337	0	43.3s
24	rd2	7.811	7.798	7.769	7.847	0	42.4s
