run_idx,arm,block,step_idx,step_ms,used
1,rctl,0,0,9.340666,0
1,rctl,0,1,8.336625,0
1,rctl,0,2,8.179417,0
1,rctl,0,3,8.170000,0
1,rctl,0,4,8.233625,0
1,rctl,0,5,8.090542,0
1,rctl,0,6,8.159500,0
1,rctl,0,7,8.155250,0
1,rctl,0,8,8.324792,1
1,rctl,0,9,8.157041,1
1,rctl,0,10,8.119000,1
1,rctl,0,11,8.171792,1
1,rctl,0,12,8.147250,1
1,rctl,0,13,8.133208,1
1,rctl,0,14,8.142667,1
1,rctl,0,15,8.107125,1
1,rctl,0,16,8.175916,1
1,rctl,0,17,8.101459,1
1,rctl,0,18,8.122792,1
1,rctl,0,19,8.082084,1
1,rctl,0,20,8.128250,1
1,rctl,0,21,8.112417,1
1,rctl,0,22,8.136041,1
1,rctl,0,23,8.097708,1
1,rctl,0,24,8.079209,1
1,rctl,0,25,8.105708,1
1,rctl,0,26,8.095334,1
1,rctl,0,27,8.151791,1
1,rctl,0,28,8.043208,1
1,rctl,0,29,8.103125,1
1,rctl,0,30,8.082458,1
1,rctl,0,31,8.151833,1
1,rctl,0,32,8.063875,1
1,rctl,0,33,8.152833,1
1,rctl,0,34,8.090291,1
1,rctl,0,35,8.118583,1
1,rctl,0,36,8.167666,1
1,rctl,0,37,8.104375,1
1,rctl,0,38,8.048167,1
1,rctl,0,39,8.118541,1
1,rctl,0,40,8.140666,1
1,rctl,0,41,8.111709,1
1,rctl,0,42,8.090417,1
1,rctl,0,43,8.135167,1
1,rctl,0,44,8.085875,1
1,rctl,0,45,8.159375,1
1,rctl,0,46,8.112417,1
1,rctl,0,47,8.118542,1
1,rctl,0,48,8.126541,1
1,rctl,0,49,8.088500,1
1,rctl,0,50,8.081792,1
1,rctl,0,51,8.094375,1
1,rctl,0,52,8.089667,1
1,rctl,0,53,8.129541,1
1,rctl,0,54,8.079292,1
1,rctl,0,55,8.111208,1
1,rctl,0,56,8.165125,1
1,rctl,0,57,8.111500,1
1,rctl,0,58,8.150167,1
1,rctl,0,59,8.118959,1
1,rctl,0,60,8.149166,1
1,rctl,0,61,8.077625,1
1,rctl,0,62,8.161750,1
1,rctl,0,63,8.056292,1
1,rctl,0,64,8.130209,1
1,rctl,0,65,8.118500,1
1,rctl,0,66,8.245875,1
1,rctl,0,67,8.152459,1
1,rctl,0,68,8.114666,1
1,rctl,0,69,8.083958,1
1,rctl,0,70,8.145958,1
1,rctl,0,71,8.167292,1
1,rctl,0,72,8.328417,1
1,rctl,0,73,8.322875,1
1,rctl,0,74,8.352917,1
1,rctl,0,75,8.333959,1
1,rctl,0,76,8.305208,1
1,rctl,0,77,8.142250,1
1,rctl,0,78,8.151541,1
1,rctl,0,79,8.129500,1
1,rctl,0,80,8.263375,1
1,rctl,0,81,8.143333,1
1,rctl,0,82,8.092041,1
1,rctl,0,83,8.084625,1
1,rctl,0,84,8.220250,1
1,rctl,0,85,8.103542,1
1,rctl,0,86,8.177250,1
1,rctl,0,87,8.094083,1
1,rctl,0,88,8.135042,1
1,rctl,0,89,8.137833,1
1,rctl,0,90,8.139833,1
