idx	arm	mean_ms	median_ms	p10_ms	p90_ms	diverg	load_s
1	ctl	8.269	8.253	8.224	8.318	0	41.0s
2	d1	8.275	8.217	8.125	8.509	118	40.7s
3	ship	8.276	8.257	8.226	8.327	0	40.9s
4	d2	8.235	8.195	8.162	8.239	60	41.4s
5	d2	8.211	8.199	8.156	8.257	60	40.7s
6	ship	8.262	8.252	8.183	8.334	0	41.0s
7	ctl	8.268	8.255	8.223	8.310	0	41.4s
8	d1	8.338	8.210	8.118	8.490	118	41.2s
9	ship	8.259	8.247	8.218	8.289	0	41.0s
10	d2	8.219	8.206	8.166	8.276	60	41.0s
11	ctl	8.257	8.244	8.208	8.300	0	41.4s
12	d1	8.269	8.203	8.121	8.496	118	41.0s
13	ctl	8.285	8.251	8.220	8.297	0	41.0s
14	d2	8.305	8.263	8.175	8.514	60	41.3s
15	ship	8.258	8.244	8.203	8.318	0	41.2s
