run_idx,arm,block,step_idx,step_ms,used
1,ctl,0,0,9.415167,0
1,ctl,0,1,8.335666,0
1,ctl,0,2,8.302625,0
1,ctl,0,3,8.254625,0
1,ctl,0,4,8.254458,0
1,ctl,0,5,8.203625,0
1,ctl,0,6,8.268292,0
1,ctl,0,7,8.225375,0
1,ctl,0,8,8.258916,1
1,ctl,0,9,8.215875,1
1,ctl,0,10,8.231541,1
1,ctl,0,11,8.239791,1
1,ctl,0,12,8.268792,1
1,ctl,0,13,8.201875,1
1,ctl,0,14,8.240250,1
1,ctl,0,15,8.226834,1
1,ctl,0,16,8.248583,1
1,ctl,0,17,8.223833,1
1,ctl,0,18,8.267625,1
1,ctl,0,19,8.205625,1
1,ctl,0,20,8.247084,1
1,ctl,0,21,8.232042,1
1,ctl,0,22,8.281542,1
1,ctl,0,23,8.227875,1
1,ctl,0,24,8.291250,1
1,ctl,0,25,8.222834,1
1,ctl,0,26,8.264625,1
1,ctl,0,27,8.213708,1
1,ctl,0,28,8.370750,1
1,ctl,0,29,8.214334,1
1,ctl,0,30,8.365709,1
1,ctl,0,31,8.286708,1
1,ctl,0,32,8.351125,1
1,ctl,0,33,8.242250,1
1,ctl,0,34,8.242750,1
1,ctl,0,35,8.233292,1
1,ctl,0,36,8.331667,1
1,ctl,0,37,8.211042,1
1,ctl,0,38,8.263458,1
1,ctl,0,39,8.223000,1
1,ctl,0,40,8.239500,1
1,ctl,0,41,8.223958,1
1,ctl,0,42,8.300208,1
1,ctl,0,43,8.238292,1
1,ctl,0,44,8.274250,1
1,ctl,0,45,8.240083,1
1,ctl,0,46,8.277291,1
1,ctl,0,47,8.246584,1
1,ctl,0,48,8.281459,1
1,ctl,0,49,8.210917,1
1,ctl,0,50,8.260792,1
1,ctl,0,51,8.216375,1
1,ctl,0,52,8.263541,1
1,ctl,0,53,8.227834,1
1,ctl,0,54,8.262250,1
1,ctl,0,55,8.227333,1
1,ctl,0,56,8.272958,1
1,ctl,0,57,8.234459,1
1,ctl,0,58,8.270834,1
1,ctl,0,59,8.232875,1
1,ctl,0,60,8.255625,1
1,ctl,0,61,8.229000,1
1,ctl,0,62,8.271834,1
1,ctl,0,63,8.234709,1
1,ctl,0,64,8.289916,1
1,ctl,0,65,8.233458,1
1,ctl,0,66,8.229458,1
1,ctl,0,67,8.231250,1
1,ctl,0,68,8.236417,1
1,ctl,0,69,8.238167,1
1,ctl,0,70,8.206167,1
1,ctl,0,71,8.317666,1
1,ctl,0,72,8.277250,1
1,ctl,0,73,8.249834,1
1,ctl,0,74,8.252125,1
1,ctl,0,75,8.228834,1
1,ctl,0,76,8.287041,1
1,ctl,0,77,8.237250,1
1,ctl,0,78,8.233500,1
1,ctl,0,79,8.239667,1
1,ctl,0,80,8.239583,1
1,ctl,0,81,8.217625,1
1,ctl,0,82,8.251041,1
1,ctl,0,83,8.255875,1
1,ctl,0,84,8.234125,1
1,ctl,0,85,8.239708,1
1,ctl,0,86,8.253417,1
1,ctl,0,87,8.218834,1
1,ctl,0,88,8.247708,1
1,ctl,0,89,8.231250,1
1,ctl,0,90,8.238125,1
1,ctl,0,91,8.237500,1
1,ctl,0,92,8.241167,1
1,ctl,0,93,8.258375,1
1,ctl,0,94,8.246917,1
1,ctl,0,95,8.262250,1
1,ctl,0,96,8.224042,1
1,ctl,0,97,8.248375,1
1,ctl,0,98,8.224958,1
1,ctl,0,99,8.254167,1
1,ctl,0,100,8.244083,1
1,ctl,0,101,8.288375,1
1,ctl,0,102,8.348333,1
1,ctl,0,103,8.381750,1
1,ctl,0,104,8.266000,1
1,ctl,0,105,8.248375,1
1,ctl,0,106,8.247875,1
1,ctl,0,107,8.269250,1
1,ctl,0,108,8.254167,1
1,ctl,0,109,8.293708,1
1,ctl,0,110,8.237542,1
1,ctl,0,111,8.282292,1
1,ctl,0,112,8.257875,1
1,ctl,0,113,8.279333,1
1,ctl,0,114,8.246792,1
1,ctl,0,115,8.248500,1
1,ctl,0,116,8.236042,1
1,ctl,0,117,8.250041,1
1,ctl,0,118,8.275000,1
1,ctl,0,119,8.255167,1
1,ctl,0,120,8.271416,1
1,ctl,0,121,8.279709,1
1,ctl,0,122,8.291459,1
1,ctl,0,123,8.256375,1
1,ctl,0,124,8.240583,1
1,ctl,0,125,8.275875,1
1,ctl,0,126,8.244250,1
1,ctl,0,127,8.306458,1
1,ctl,0,128,8.244209,1
1,ctl,0,129,8.277750,1
1,ctl,0,130,8.263667,1
1,ctl,0,131,8.277541,1
1,ctl,0,132,8.312167,1
1,ctl,0,133,8.394542,1
1,ctl,0,134,8.357625,1
1,ctl,0,135,8.321542,1
1,ctl,0,136,8.257292,1
1,ctl,0,137,8.283041,1
1,ctl,0,138,8.248167,1
1,ctl,0,139,8.304958,1
1,ctl,0,140,8.228792,1
1,ctl,0,141,8.300750,1
1,ctl,0,142,8.268250,1
1,ctl,0,143,8.299500,1
1,ctl,0,144,8.246209,1
1,ctl,0,145,8.320166,1
1,ctl,0,146,8.247500,1
1,ctl,0,147,8.364916,1
1,ctl,0,148,8.275791,1
1,ctl,0,149,8.307708,1
1,ctl,0,150,8.237083,1
1,ctl,0,151,8.311833,1
1,ctl,0,152,8.343917,1
1,ctl,0,153,8.296625,1
1,ctl,0,154,8.239125,1
1,ctl,0,155,8.289750,1
1,ctl,0,156,8.246584,1
1,ctl,0,157,8.312291,1
1,ctl,0,158,8.281458,1
1,ctl,0,159,8.352458,1
2,d1,0,0,9.403167,0
2,d1,0,1,8.219833,0
2,d1,0,2,8.235875,0
2,d1,0,3,8.086750,0
2,d1,0,4,8.149042,0
2,d1,0,5,8.221333,0
2,d1,0,6,8.151417,0
2,d1,0,7,8.092834,0
2,d1,0,8,8.161584,1
2,d1,0,9,8.135250,1
2,d1,0,10,8.148417,1
2,d1,0,11,8.177417,1
2,d1,0,12,8.160417,1
2,d1,0,13,8.137125,1
2,d1,0,14,8.188084,1
2,d1,0,15,8.092416,1
2,d1,0,16,8.144375,1
2,d1,0,17,8.365291,1
2,d1,0,18,8.147125,1
2,d1,0,19,8.121625,1
2,d1,0,20,8.341750,1
2,d1,0,21,8.129917,1
2,d1,0,22,8.135209,1
2,d1,0,23,8.535959,1
2,d1,0,24,8.145000,1
2,d1,0,25,8.091917,1
2,d1,0,26,8.305250,1
2,d1,0,27,8.111958,1
2,d1,0,28,8.224125,1
2,d1,0,29,8.531542,1
2,d1,0,30,8.149666,1
2,d1,0,31,8.156208,1
2,d1,0,32,8.263166,1
2,d1,0,33,8.100417,1
2,d1,0,34,8.155959,1
2,d1,0,35,8.524042,1
2,d1,0,36,8.159083,1
2,d1,0,37,8.148500,1
2,d1,0,38,8.349916,1
2,d1,0,39,8.120333,1
2,d1,0,40,8.135250,1
2,d1,0,41,8.381458,1
2,d1,0,42,8.126167,1
2,d1,0,43,8.170709,1
2,d1,0,44,8.414209,1
2,d1,0,45,8.123083,1
2,d1,0,46,8.159458,1
2,d1,0,47,8.312000,1
2,d1,0,48,8.145791,1
2,d1,0,49,8.240084,1
2,d1,0,50,8.218125,1
2,d1,0,51,8.147375,1
2,d1,0,52,8.112167,1
2,d1,0,53,8.478667,1
2,d1,0,54,8.146500,1
2,d1,0,55,8.282375,1
2,d1,0,56,8.335875,1
2,d1,0,57,8.149417,1
2,d1,0,58,8.150292,1
2,d1,0,59,8.523709,1
2,d1,0,60,8.144250,1
2,d1,0,61,8.163958,1
2,d1,0,62,8.449708,1
2,d1,0,63,8.174875,1
2,d1,0,64,8.152458,1
2,d1,0,65,8.522167,1
2,d1,0,66,8.225541,1
2,d1,0,67,8.252166,1
2,d1,0,68,8.504083,1
2,d1,0,69,8.155875,1
2,d1,0,70,8.156584,1
2,d1,0,71,8.556209,1
2,d1,0,72,8.154334,1
2,d1,0,73,8.328666,1
2,d1,0,74,8.568334,1
2,d1,0,75,8.125125,1
2,d1,0,76,8.134500,1
2,d1,0,77,8.453209,1
2,d1,0,78,8.115250,1
2,d1,0,79,8.184292,1
2,d1,0,80,8.464459,1
2,d1,0,81,8.176959,1
2,d1,0,82,8.258375,1
2,d1,0,83,8.383250,1
2,d1,0,84,8.107334,1
2,d1,0,85,8.263666,1
2,d1,0,86,8.436458,1
2,d1,0,87,8.108292,1
2,d1,0,88,8.296333,1
2,d1,0,89,8.561584,1
2,d1,0,90,8.132208,1
2,d1,0,91,8.275333,1
2,d1,0,92,8.440333,1
2,d1,0,93,8.143542,1
2,d1,0,94,8.123417,1
2,d1,0,95,8.443500,1
2,d1,0,96,8.120708,1
2,d1,0,97,8.391750,1
2,d1,0,98,8.460166,1
2,d1,0,99,8.189542,1
2,d1,0,100,8.189291,1
2,d1,0,101,8.408375,1
2,d1,0,102,8.214375,1
2,d1,0,103,8.179709,1
2,d1,0,104,8.509125,1
2,d1,0,105,8.212292,1
2,d1,0,106,8.218916,1
2,d1,0,107,8.642792,1
2,d1,0,108,8.259708,1
2,d1,0,109,8.188041,1
2,d1,0,110,8.472083,1
2,d1,0,111,8.229167,1
2,d1,0,112,8.432000,1
2,d1,0,113,8.660500,1
2,d1,0,114,8.158041,1
2,d1,0,115,8.174958,1
2,d1,0,116,8.444583,1
2,d1,0,117,8.233208,1
2,d1,0,118,8.324500,1
2,d1,0,119,8.529333,1
2,d1,0,120,8.139500,1
2,d1,0,121,8.203209,1
2,d1,0,122,8.460291,1
2,d1,0,123,8.181875,1
2,d1,0,124,8.270750,1
2,d1,0,125,8.588625,1
2,d1,0,126,8.126583,1
2,d1,0,127,8.247667,1
2,d1,0,128,8.457417,1
2,d1,0,129,8.179584,1
2,d1,0,130,8.215792,1
2,d1,0,131,8.520875,1
2,d1,0,132,8.127541,1
2,d1,0,133,8.356333,1
2,d1,0,134,8.491334,1
2,d1,0,135,8.259375,1
2,d1,0,136,8.321208,1
2,d1,0,137,8.461250,1
2,d1,0,138,8.114708,1
2,d1,0,139,8.314541,1
2,d1,0,140,8.456000,1
2,d1,0,141,8.181125,1
2,d1,0,142,8.411500,1
2,d1,0,143,8.488750,1
2,d1,0,144,8.129792,1
2,d1,0,145,8.183458,1
2,d1,0,146,8.459208,1
2,d1,0,147,8.170000,1
2,d1,0,148,8.274625,1
2,d1,0,149,8.401250,1
2,d1,0,150,8.135083,1
2,d1,0,151,8.335792,1
2,d1,0,152,8.424500,1
2,d1,0,153,8.167750,1
2,d1,0,154,8.316750,1
2,d1,0,155,8.521791,1
2,d1,0,156,8.147792,1
2,d1,0,157,8.317250,1
2,d1,0,158,8.363459,1
2,d1,0,159,8.188875,1
3,ship,0,0,9.527583,0
3,ship,0,1,8.355500,0
3,ship,0,2,8.311000,0
3,ship,0,3,8.235833,0
3,ship,0,4,8.248125,0
3,ship,0,5,8.213959,0
3,ship,0,6,8.265750,0
3,ship,0,7,8.222167,0
3,ship,0,8,8.327292,1
3,ship,0,9,8.212291,1
3,ship,0,10,8.351458,1
3,ship,0,11,8.232208,1
3,ship,0,12,8.378792,1
3,ship,0,13,8.251917,1
3,ship,0,14,8.298209,1
3,ship,0,15,8.263792,1
3,ship,0,16,8.258542,1
3,ship,0,17,8.217042,1
3,ship,0,18,8.325250,1
3,ship,0,19,8.213916,1
3,ship,0,20,8.261667,1
3,ship,0,21,8.220583,1
3,ship,0,22,8.246917,1
3,ship,0,23,8.215125,1
3,ship,0,24,8.274166,1
3,ship,0,25,8.211541,1
3,ship,0,26,8.252583,1
3,ship,0,27,8.193917,1
3,ship,0,28,8.268625,1
3,ship,0,29,8.212167,1
3,ship,0,30,8.267792,1
3,ship,0,31,8.229625,1
3,ship,0,32,8.253958,1
3,ship,0,33,8.243917,1
3,ship,0,34,8.259250,1
3,ship,0,35,8.236667,1
3,ship,0,36,8.247166,1
3,ship,0,37,8.220500,1
3,ship,0,38,8.264167,1
3,ship,0,39,8.254292,1
3,ship,0,40,8.244500,1
3,ship,0,41,8.238458,1
3,ship,0,42,8.223458,1
3,ship,0,43,8.235833,1
3,ship,0,44,8.277167,1
3,ship,0,45,8.250709,1
3,ship,0,46,8.242541,1
3,ship,0,47,8.251375,1
3,ship,0,48,8.234208,1
3,ship,0,49,8.239083,1
3,ship,0,50,8.327083,1
3,ship,0,51,8.261375,1
3,ship,0,52,8.329458,1
3,ship,0,53,8.256959,1
3,ship,0,54,8.254709,1
3,ship,0,55,8.229625,1
3,ship,0,56,8.247417,1
3,ship,0,57,8.249792,1
3,ship,0,58,8.248917,1
3,ship,0,59,8.218083,1
3,ship,0,60,8.252792,1
3,ship,0,61,8.244583,1
3,ship,0,62,8.246250,1
3,ship,0,63,8.259083,1
3,ship,0,64,8.262334,1
3,ship,0,65,8.248250,1
3,ship,0,66,8.270084,1
3,ship,0,67,8.248875,1
3,ship,0,68,8.264833,1
3,ship,0,69,8.243667,1
3,ship,0,70,8.254042,1
3,ship,0,71,8.246500,1
3,ship,0,72,8.247083,1
3,ship,0,73,8.293167,1
3,ship,0,74,8.305250,1
3,ship,0,75,8.287042,1
3,ship,0,76,8.266708,1
3,ship,0,77,8.237625,1
3,ship,0,78,8.241417,1
3,ship,0,79,8.256041,1
3,ship,0,80,8.245125,1
3,ship,0,81,8.260917,1
3,ship,0,82,8.232709,1
3,ship,0,83,8.236917,1
3,ship,0,84,8.231625,1
3,ship,0,85,8.225000,1
3,ship,0,86,8.251166,1
3,ship,0,87,8.267167,1
3,ship,0,88,8.247250,1
3,ship,0,89,8.222584,1
3,ship,0,90,8.265125,1
3,ship,0,91,8.224875,1
3,ship,0,92,8.258083,1
3,ship,0,93,8.296917,1
3,ship,0,94,8.234917,1
3,ship,0,95,8.236250,1
3,ship,0,96,8.241958,1
3,ship,0,97,8.241500,1
3,ship,0,98,8.262458,1
3,ship,0,99,8.236042,1
3,ship,0,100,8.249542,1
3,ship,0,101,8.251917,1
3,ship,0,102,8.266708,1
3,ship,0,103,8.332042,1
3,ship,0,104,8.332458,1
3,ship,0,105,8.401458,1
3,ship,0,106,8.267583,1
3,ship,0,107,8.311958,1
3,ship,0,108,8.255167,1
3,ship,0,109,8.321166,1
3,ship,0,110,8.273125,1
3,ship,0,111,8.327291,1
3,ship,0,112,8.228500,1
3,ship,0,113,8.294875,1
3,ship,0,114,8.239959,1
3,ship,0,115,8.284292,1
3,ship,0,116,8.253708,1
3,ship,0,117,8.287417,1
3,ship,0,118,8.226333,1
3,ship,0,119,8.316417,1
3,ship,0,120,8.234916,1
3,ship,0,121,8.300458,1
3,ship,0,122,8.229667,1
3,ship,0,123,8.297709,1
3,ship,0,124,8.248375,1
3,ship,0,125,8.393583,1
3,ship,0,126,8.258584,1
3,ship,0,127,8.287166,1
3,ship,0,128,8.246208,1
3,ship,0,129,8.281750,1
3,ship,0,130,8.255875,1
3,ship,0,131,8.289750,1
3,ship,0,132,8.257500,1
3,ship,0,133,8.387208,1
3,ship,0,134,8.503458,1
3,ship,0,135,8.378542,1
3,ship,0,136,8.328708,1
3,ship,0,137,8.313250,1
3,ship,0,138,8.311709,1
3,ship,0,139,8.298458,1
3,ship,0,140,8.262084,1
3,ship,0,141,8.280250,1
3,ship,0,142,8.247375,1
3,ship,0,143,8.308083,1
3,ship,0,144,8.245459,1
3,ship,0,145,8.289375,1
3,ship,0,146,8.251750,1
3,ship,0,147,8.285125,1
3,ship,0,148,8.261083,1
3,ship,0,149,8.323417,1
3,ship,0,150,8.286500,1
3,ship,0,151,8.313750,1
3,ship,0,152,8.257291,1
3,ship,0,153,8.298250,1
3,ship,0,154,8.269041,1
3,ship,0,155,8.302459,1
3,ship,0,156,8.280208,1
3,ship,0,157,8.352792,1
3,ship,0,158,8.266708,1
3,ship,0,159,8.320500,1
4,d2,0,0,13.850375,0
4,d2,0,1,8.289958,0
4,d2,0,2,8.224500,0
4,d2,0,3,8.185667,0
4,d2,0,4,8.185833,0
4,d2,0,5,8.172208,0
4,d2,0,6,8.166666,0
4,d2,0,7,8.135042,0
4,d2,0,8,8.177708,1
4,d2,0,9,8.161666,1
4,d2,0,10,8.157958,1
4,d2,0,11,8.139875,1
4,d2,0,12,8.153542,1
4,d2,0,13,8.144875,1
4,d2,0,14,8.167292,1
4,d2,0,15,8.144709,1
4,d2,0,16,8.184333,1
4,d2,0,17,8.132084,1
4,d2,0,18,8.165834,1
4,d2,0,19,8.148750,1
4,d2,0,20,8.220458,1
4,d2,0,21,8.151000,1
4,d2,0,22,8.169958,1
4,d2,0,23,8.167917,1
4,d2,0,24,8.176667,1
4,d2,0,25,8.178000,1
4,d2,0,26,8.194375,1
4,d2,0,27,8.149125,1
4,d2,0,28,8.157500,1
4,d2,0,29,8.174084,1
4,d2,0,30,8.162166,1
4,d2,0,31,8.141292,1
4,d2,0,32,8.194833,1
4,d2,0,33,8.167959,1
4,d2,0,34,8.186292,1
4,d2,0,35,8.185625,1
4,d2,0,36,8.207000,1
4,d2,0,37,8.171792,1
4,d2,0,38,8.219541,1
4,d2,0,39,8.165125,1
4,d2,0,40,8.206708,1
4,d2,0,41,8.183792,1
4,d2,0,42,8.199625,1
4,d2,0,43,8.148250,1
4,d2,0,44,8.212209,1
4,d2,0,45,8.178666,1
4,d2,0,46,8.202250,1
4,d2,0,47,8.184791,1
4,d2,0,48,8.192375,1
4,d2,0,49,8.178708,1
4,d2,0,50,8.175875,1
4,d2,0,51,8.173666,1
4,d2,0,52,8.194708,1
4,d2,0,53,8.196750,1
4,d2,0,54,8.178875,1
4,d2,0,55,8.151875,1
4,d2,0,56,8.164125,1
4,d2,0,57,8.179500,1
4,d2,0,58,8.176041,1
4,d2,0,59,8.202250,1
4,d2,0,60,8.201042,1
4,d2,0,61,8.206417,1
4,d2,0,62,8.178458,1
4,d2,0,63,8.186458,1
4,d2,0,64,8.158000,1
4,d2,0,65,8.202250,1
4,d2,0,66,8.170584,1
4,d2,0,67,8.185375,1
4,d2,0,68,8.197667,1
4,d2,0,69,8.216584,1
4,d2,0,70,8.167208,1
4,d2,0,71,8.193916,1
4,d2,0,72,8.170708,1
4,d2,0,73,8.206750,1
4,d2,0,74,8.181791,1
4,d2,0,75,8.232000,1
4,d2,0,76,8.169209,1
4,d2,0,77,8.207541,1
4,d2,0,78,8.188291,1
4,d2,0,79,8.238417,1
4,d2,0,80,8.161375,1
4,d2,0,81,8.306167,1
4,d2,0,82,8.179125,1
4,d2,0,83,8.226541,1
4,d2,0,84,8.168167,1
4,d2,0,85,8.226500,1
4,d2,0,86,8.209416,1
4,d2,0,87,8.228000,1
4,d2,0,88,8.178084,1
4,d2,0,89,8.215917,1
4,d2,0,90,8.232667,1
4,d2,0,91,8.271959,1
4,d2,0,92,8.373125,1
4,d2,0,93,8.252709,1
4,d2,0,94,8.182750,1
4,d2,0,95,8.241334,1
4,d2,0,96,8.173583,1
4,d2,0,97,8.187750,1
4,d2,0,98,8.191416,1
4,d2,0,99,8.218375,1
4,d2,0,100,8.201500,1
4,d2,0,101,8.221041,1
4,d2,0,102,8.179792,1
4,d2,0,103,8.200667,1
4,d2,0,104,8.188583,1
4,d2,0,105,8.215083,1
4,d2,0,106,8.195792,1
4,d2,0,107,8.238250,1
4,d2,0,108,8.220042,1
4,d2,0,109,8.194000,1
4,d2,0,110,8.202042,1
4,d2,0,111,8.208959,1
4,d2,0,112,8.201541,1
4,d2,0,113,8.212750,1
4,d2,0,114,8.205000,1
4,d2,0,115,8.201959,1
4,d2,0,116,8.219791,1
4,d2,0,117,8.208125,1
4,d2,0,118,8.192334,1
4,d2,0,119,8.211625,1
4,d2,0,120,8.197875,1
4,d2,0,121,8.239167,1
4,d2,0,122,8.266708,1
4,d2,0,123,8.420417,1
4,d2,0,124,8.299417,1
4,d2,0,125,8.209458,1
4,d2,0,126,8.252042,1
4,d2,0,127,8.208708,1
4,d2,0,128,8.191625,1
4,d2,0,129,8.193083,1
4,d2,0,130,8.214542,1
4,d2,0,131,8.193500,1
4,d2,0,132,8.223458,1
4,d2,0,133,8.185084,1
4,d2,0,134,8.217625,1
4,d2,0,135,8.199708,1
4,d2,0,136,8.208667,1
4,d2,0,137,8.204375,1
4,d2,0,138,8.189792,1
4,d2,0,139,8.179083,1
4,d2,0,140,8.206583,1
4,d2,0,141,8.216209,1
4,d2,0,142,8.190209,1
4,d2,0,143,8.208958,1
4,d2,0,144,8.194125,1
4,d2,0,145,8.181583,1
4,d2,0,146,8.225875,1
4,d2,0,147,8.208375,1
4,d2,0,148,8.198583,1
4,d2,0,149,8.211500,1
4,d2,0,150,8.235042,1
4,d2,0,151,8.173541,1
4,d2,0,152,8.279125,1
4,d2,0,153,8.216708,1
4,d2,0,154,8.254041,1
4,d2,0,155,8.203916,1
4,d2,0,156,8.244042,1
4,d2,0,157,8.212042,1
4,d2,0,158,8.256541,1
4,d2,0,159,8.200000,1
5,d2,1,0,9.469166,0
5,d2,1,1,8.347291,0
5,d2,1,2,8.176834,0
5,d2,1,3,8.198250,0
5,d2,1,4,8.153542,0
5,d2,1,5,8.206000,0
5,d2,1,6,8.160584,0
5,d2,1,7,8.216209,0
5,d2,1,8,8.160708,1
5,d2,1,9,8.210875,1
5,d2,1,10,8.225833,1
5,d2,1,11,8.187166,1
5,d2,1,12,8.140750,1
5,d2,1,13,8.162834,1
5,d2,1,14,8.161500,1
5,d2,1,15,8.156708,1
5,d2,1,16,8.144625,1
5,d2,1,17,8.171333,1
5,d2,1,18,8.144250,1
5,d2,1,19,8.134917,1
5,d2,1,20,8.145125,1
5,d2,1,21,8.158167,1
5,d2,1,22,8.140125,1
5,d2,1,23,8.161125,1
5,d2,1,24,8.129500,1
5,d2,1,25,8.144791,1
5,d2,1,26,8.156375,1
5,d2,1,27,8.147333,1
5,d2,1,28,8.146875,1
5,d2,1,29,8.166709,1
5,d2,1,30,8.209250,1
5,d2,1,31,8.186083,1
5,d2,1,32,8.164750,1
5,d2,1,33,8.160875,1
5,d2,1,34,8.189583,1
5,d2,1,35,8.132667,1
5,d2,1,36,8.157792,1
5,d2,1,37,8.178167,1
5,d2,1,38,8.185084,1
5,d2,1,39,8.147125,1
5,d2,1,40,8.159167,1
5,d2,1,41,8.188250,1
5,d2,1,42,8.150541,1
5,d2,1,43,8.141667,1
5,d2,1,44,8.182208,1
5,d2,1,45,8.159875,1
5,d2,1,46,8.198208,1
5,d2,1,47,8.179875,1
5,d2,1,48,8.226667,1
5,d2,1,49,8.168292,1
5,d2,1,50,8.220417,1
5,d2,1,51,8.157833,1
5,d2,1,52,8.225375,1
5,d2,1,53,8.172250,1
5,d2,1,54,8.206500,1
5,d2,1,55,8.180750,1
5,d2,1,56,8.222083,1
5,d2,1,57,8.166042,1
5,d2,1,58,8.184584,1
5,d2,1,59,8.181209,1
5,d2,1,60,8.228167,1
5,d2,1,61,8.178083,1
5,d2,1,62,8.206000,1
5,d2,1,63,8.172209,1
5,d2,1,64,8.191709,1
5,d2,1,65,8.190041,1
5,d2,1,66,8.225375,1
5,d2,1,67,8.209459,1
5,d2,1,68,8.216500,1
5,d2,1,69,8.155834,1
5,d2,1,70,8.173583,1
5,d2,1,71,8.280792,1
5,d2,1,72,8.257250,1
5,d2,1,73,8.182000,1
5,d2,1,74,8.236209,1
5,d2,1,75,8.194250,1
5,d2,1,76,8.192542,1
5,d2,1,77,8.186625,1
5,d2,1,78,8.191750,1
5,d2,1,79,8.197500,1
5,d2,1,80,8.205333,1
5,d2,1,81,8.204875,1
5,d2,1,82,8.189875,1
5,d2,1,83,8.211834,1
5,d2,1,84,8.206166,1
5,d2,1,85,8.158209,1
5,d2,1,86,8.187625,1
5,d2,1,87,8.192250,1
5,d2,1,88,8.212500,1
5,d2,1,89,8.231209,1
5,d2,1,90,8.189208,1
5,d2,1,91,8.182417,1
5,d2,1,92,8.228375,1
5,d2,1,93,8.223625,1
5,d2,1,94,8.182833,1
5,d2,1,95,8.205334,1
5,d2,1,96,8.186625,1
5,d2,1,97,8.210542,1
5,d2,1,98,8.196916,1
5,d2,1,99,8.234250,1
5,d2,1,100,8.199084,1
5,d2,1,101,8.210709,1
5,d2,1,102,8.258667,1
5,d2,1,103,8.371625,1
5,d2,1,104,8.265833,1
5,d2,1,105,8.244417,1
5,d2,1,106,8.202375,1
5,d2,1,107,8.222459,1
5,d2,1,108,8.202584,1
5,d2,1,109,8.246958,1
5,d2,1,110,8.183125,1
5,d2,1,111,8.233709,1
5,d2,1,112,8.194084,1
5,d2,1,113,8.267209,1
5,d2,1,114,8.195000,1
5,d2,1,115,8.240000,1
5,d2,1,116,8.215833,1
5,d2,1,117,8.249250,1
5,d2,1,118,8.202041,1
5,d2,1,119,8.259333,1
5,d2,1,120,8.188083,1
5,d2,1,121,8.282375,1
5,d2,1,122,8.185375,1
5,d2,1,123,8.251917,1
5,d2,1,124,8.169542,1
5,d2,1,125,8.257250,1
5,d2,1,126,8.208209,1
5,d2,1,127,8.253875,1
5,d2,1,128,8.207875,1
5,d2,1,129,8.241167,1
5,d2,1,130,8.172958,1
5,d2,1,131,8.235709,1
5,d2,1,132,8.257166,1
