idx	arm	mean_ms	median_ms	p10_ms	p90_ms	diverg	load_s
1	d2	8.213	8.199	8.169	8.252	60	42.4s
2	d1	8.286	8.223	8.131	8.530	118	42.4s
3	ship	8.258	8.245	8.214	8.297	0	43.0s
4	ctl	8.268	8.255	8.228	8.312	0	42.4s
5	d2	8.212	8.199	8.164	8.264	60	42.5s
6	d1	8.319	8.287	8.134	8.559	118	42.6s
7	ctl	8.263	8.247	8.223	8.293	0	42.3s
8	ship	8.270	8.256	8.220	8.313	0	42.4s
9	d2	8.211	8.197	8.167	8.247	60	42.3s
10	ship	8.270	8.255	8.222	8.318	0	41.5s
11	d1	8.264	8.203	8.119	8.514	118	41.5s
12	ctl	8.257	8.240	8.217	8.298	0	41.6s
13	d2	8.347	8.202	8.149	8.265	60	41.7s
14	ship	8.263	8.251	8.221	8.299	0	41.7s
15	ctl	8.330	8.244	8.221	8.294	0	41.4s
16	d1	8.276	8.196	8.123	8.499	118	41.5s
17	d1	8.276	8.200	8.130	8.499	118	41.4s
18	ctl	8.270	8.256	8.222	8.310	0	42.0s
19	d2	8.214	8.199	8.166	8.253	60	41.5s
20	ship	8.267	8.255	8.228	8.292	0	41.7s
21	ship	8.299	8.261	8.215	8.396	0	41.4s
22	d2	8.214	8.203	8.170	8.251	60	41.4s
23	d1	8.271	8.200	8.119	8.514	118	30.4s
24	ctl	8.263	8.254	8.218	8.300	0	41.2s
25	d1	8.276	8.214	8.129	8.503	118	41.2s
26	ship	8.260	8.247	8.216	8.292	0	41.6s
27	d2	8.209	8.196	8.163	8.251	60	41.4s
28	ctl	8.260	8.244	8.221	8.295	0	41.2s
29	d1	8.276	8.221	8.121	8.499	118	41.2s
30	ctl	8.281	8.247	8.213	8.282	0	41.5s
31	d2	8.212	8.199	8.167	8.241	60	41.2s
32	ship	8.265	8.246	8.206	8.333	0	41.2s
33	d1	8.244	8.187	8.079	8.456	118	42.4s
34	ctl	8.264	8.251	8.223	8.295	0	43.0s
35	ship	8.252	8.247	8.187	8.313	0	42.3s
36	d2	8.215	8.203	8.169	8.247	60	42.3s
37	d2	8.296	8.286	8.207	8.379	60	42.3s
38	ship	8.258	8.247	8.216	8.293	0	42.1s
39	d1	8.272	8.194	8.130	8.500	118	42.2s
40	ctl	8.311	8.259	8.210	8.314	0	41.6s
