run_idx,arm,block,step_idx,step_ms,used
1,ship,0,0,9.428167,0
1,ship,0,1,8.347334,0
1,ship,0,2,8.280875,0
1,ship,0,3,8.217459,0
1,ship,0,4,8.273500,1
1,ship,0,5,8.228125,1
1,ship,0,6,8.248625,1
1,ship,0,7,8.288000,1
1,ship,0,8,8.259250,1
1,ship,0,9,8.253250,1
1,ship,0,10,8.244458,1
1,ship,0,11,8.240625,1
1,ship,0,12,8.248083,1
1,ship,0,13,8.210208,1
1,ship,0,14,8.230917,1
1,ship,0,15,8.252375,1
1,ship,0,16,8.240458,1
1,ship,0,17,8.217375,1
1,ship,0,18,8.251583,1
1,ship,0,19,8.226167,1
1,ship,0,20,8.273208,1
1,ship,0,21,8.223709,1
1,ship,0,22,8.240500,1
1,ship,0,23,8.221250,1
1,ship,0,24,8.239584,1
1,ship,0,25,8.227208,1
1,ship,0,26,8.231125,1
1,ship,0,27,8.237833,1
1,ship,0,28,8.247209,1
1,ship,0,29,8.228250,1
1,ship,0,30,8.260208,1
1,ship,0,31,8.234459,1
1,ship,0,32,8.247584,1
1,ship,0,33,8.248917,1
1,ship,0,34,8.268042,1
1,ship,0,35,8.221084,1
1,ship,0,36,8.252750,1
1,ship,0,37,8.218041,1
1,ship,0,38,8.258417,1
1,ship,0,39,8.232875,1
2,rctl,0,0,9.356625,0
2,rctl,0,1,8.354167,0
2,rctl,0,2,8.250083,0
2,rctl,0,3,8.248625,0
2,rctl,0,4,8.235208,1
2,rctl,0,5,8.230833,1
2,rctl,0,6,8.235625,1
2,rctl,0,7,8.335916,1
2,rctl,0,8,8.263417,1
2,rctl,0,9,8.241334,1
2,rctl,0,10,8.253416,1
2,rctl,0,11,8.230500,1
2,rctl,0,12,8.226333,1
2,rctl,0,13,8.224834,1
2,rctl,0,14,8.262625,1
2,rctl,0,15,8.190792,1
2,rctl,0,16,8.221416,1
2,rctl,0,17,8.211500,1
2,rctl,0,18,8.223167,1
2,rctl,0,19,8.239291,1
2,rctl,0,20,8.268167,1
2,rctl,0,21,8.201625,1
2,rctl,0,22,8.212500,1
2,rctl,0,23,8.197959,1
2,rctl,0,24,8.212666,1
2,rctl,0,25,8.219750,1
2,rctl,0,26,8.227959,1
2,rctl,0,27,8.207041,1
2,rctl,0,28,8.231208,1
2,rctl,0,29,8.220125,1
2,rctl,0,30,8.251417,1
2,rctl,0,31,8.243250,1
2,rctl,0,32,8.235334,1
2,rctl,0,33,8.217625,1
2,rctl,0,34,8.161375,1
2,rctl,0,35,8.242167,1
2,rctl,0,36,8.218500,1
2,rctl,0,37,8.148000,1
2,rctl,0,38,8.206625,1
2,rctl,0,39,8.306250,1
3,rd2,0,0,8.876667,0
3,rd2,0,1,7.910791,0
3,rd2,0,2,7.863000,0
3,rd2,0,3,7.829708,0
3,rd2,0,4,7.789250,1
3,rd2,0,5,7.857333,1
3,rd2,0,6,7.775916,1
3,rd2,0,7,7.800459,1
3,rd2,0,8,7.789792,1
3,rd2,0,9,7.794208,1
3,rd2,0,10,7.783833,1
3,rd2,0,11,7.817625,1
3,rd2,0,12,7.803667,1
3,rd2,0,13,7.824875,1
3,rd2,0,14,7.769792,1
3,rd2,0,15,7.801292,1
3,rd2,0,16,7.762125,1
3,rd2,0,17,7.795458,1
3,rd2,0,18,7.803250,1
3,rd2,0,19,7.792458,1
3,rd2,0,20,7.806791,1
3,rd2,0,21,7.801250,1
3,rd2,0,22,7.818042,1
3,rd2,0,23,7.773417,1
3,rd2,0,24,7.778167,1
3,rd2,0,25,7.769417,1
3,rd2,0,26,7.764375,1
3,rd2,0,27,7.766083,1
3,rd2,0,28,7.776958,1
3,rd2,0,29,7.761250,1
3,rd2,0,30,7.767667,1
3,rd2,0,31,7.761084,1
3,rd2,0,32,7.774625,1
3,rd2,0,33,7.755333,1
3,rd2,0,34,7.782000,1
3,rd2,0,35,7.778125,1
3,rd2,0,36,7.775375,1
3,rd2,0,37,7.768166,1
3,rd2,0,38,7.764750,1
3,rd2,0,39,7.797250,1
4,rd1,0,0,8.644791,0
4,rd1,0,1,7.679000,0
4,rd1,0,2,7.564958,0
4,rd1,0,3,7.619875,0
4,rd1,0,4,7.564708,1
4,rd1,0,5,7.546958,1
4,rd1,0,6,7.574208,1
4,rd1,0,7,7.565792,1
4,rd1,0,8,7.579083,1
4,rd1,0,9,7.553458,1
4,rd1,0,10,7.622416,1
4,rd1,0,11,7.550750,1
4,rd1,0,12,7.611250,1
4,rd1,0,13,7.562250,1
4,rd1,0,14,7.552375,1
4,rd1,0,15,7.551542,1
4,rd1,0,16,7.540542,1
4,rd1,0,17,7.566084,1
4,rd1,0,18,7.563917,1
4,rd1,0,19,7.557792,1
4,rd1,0,20,7.545583,1
4,rd1,0,21,7.627167,1
4,rd1,0,22,7.545667,1
4,rd1,0,23,7.587125,1
4,rd1,0,24,7.562250,1
4,rd1,0,25,7.572458,1
4,rd1,0,26,7.544917,1
4,rd1,0,27,7.583833,1
4,rd1,0,28,7.553583,1
4,rd1,0,29,7.543541,1
4,rd1,0,30,7.588959,1
4,rd1,0,31,7.559375,1
4,rd1,0,32,7.584416,1
4,rd1,0,33,7.581625,1
4,rd1,0,34,7.592583,1
4,rd1,0,35,7.552375,1
4,rd1,0,36,7.589959,1
4,rd1,0,37,7.551500,1
4,rd1,0,38,7.572209,1
4,rd1,0,39,7.606417,1
