kind,arm,x,k,n,value,dispersion,delta_vs_k0
ladder,w,0,0,2,8245.69,3.74,0.00
ladder,w,2,80,2,8356.77,2.86,111.08
ladder,w,4,160,2,8451.67,6.45,205.98
ladder,w,8,320,2,8723.66,60.74,477.97
ladder,w,16,640,2,9135.80,3.40,890.11
ladder,t,0,0,2,8295.51,8.50,0.00
ladder,t,2,80,2,8290.59,3.79,-4.92
ladder,t,4,160,2,8331.71,0.32,36.20
ladder,t,8,320,2,8597.40,7.54,301.89
ladder,t,16,640,2,8704.91,16.25,409.40
ladder,o,0,0,2,8240.87,2.27,0.00
summary,d_us_per_boundary,,,,0.6806,0.2178,
size,2,,80,1,-0.0539,nan,
size,64,,80,1,0.2336,nan,
size,4096,,80,1,0.0483,nan,
size,65536,,80,1,0.6098,nan,
size,4194304,,80,1,19.1727,nan,
