# host
device                       Apple M4 Pro
architecture                 applegpu_g16s
maxThreadgroupMemoryLength   32768
recommendedWorkingSetSize    40200896512
k_alu maxThreadsPerTG        1024
k_gemm maxThreadsPerTG       1024
counterSampling.stage        true
counterSampling.dispatch     false
counterSampling.blit         false
rounds=9 targetMs=20.0

# arms
pair,size,arm,wall_ms,busy_sum_ms,busy_union_ms,cbs,cbunion_overlap,cb_layout_ms
mem/mem,tg=2048 iters=19,a_only,19.637,19.366,19.366,1,0.000000,[0.000-19.366]
mem/mem,tg=10 iters=9,two_queue,79.815,159.186,79.625,2,0.499801,[0.000-79.624] [0.063-79.625]
gemm/gemm,moe512 M=512 N=4896 K=6768 tg=9792,two_queue,41.214,60.889,40.041,2,0.342386,[0.023-40.041] [0.000-20.871]
gemm/gemm,fill M=512 N=1024 K=30896 tg=2048,concurrent_1cb,40.627,39.297,39.297,1,0.000000,[0.000-39.297]
gemm/gemm,half M=128 N=160 K=572832 tg=80,two_cb,41.096,60.085,36.636,2,0.390267,[0.000-23.486] [0.036-36.636]
gemm/gemm,small M=64 N=64 K=660128 tg=16,two_queue,39.868,74.810,37.408,2,0.499962,[0.000-37.408] [0.006-37.408]
gemm/gemm,half M=128 N=160 K=572832 tg=80,barrier_1cb,37.421,37.261,37.261,1,0.000000,[0.000-37.261]
alu/alu,tg=40 iters=790993,raw_1cb,39.624,39.437,39.437,1,0.000000,[0.000-39.437]
alu/alu,tg=5 iters=1558694,barrier_1cb,39.700,39.519,39.519,1,0.000000,[0.000-39.519]
alu/alu,tg=1000 iters=51113,barrier_1cb,40.241,40.058,40.058,1,0.000000,[0.000-40.058]
mem/mem,tg=9792 iters=164,barrier_1cb,33.253,32.926,32.926,1,0.000000,[0.000-32.926]
gemm/gemm,moe512 M=512 N=4896 K=6768 tg=9792,b_only,20.109,19.926,19.926,1,0.000000,[0.000-19.926]
alu/mem,tg=9792 alu=5340 mem=165,b_only,16.924,16.740,16.740,1,0.000000,[0.000-16.740]
gemm/gemm,moe512 M=512 N=4896 K=6768 tg=9792,two_cb,40.367,62.492,40.185,2,0.356959,[0.000-22.332] [0.025-40.185]
alu/alu,tg=40 iters=790993,a_only,20.457,20.283,20.283,1,0.000000,[0.000-20.283]
gemm/gemm,half M=128 N=160 K=572832 tg=80,two_cb_serial,37.594,37.229,37.229,2,0.000000,[0.000-18.694] [18.878-37.413]
mem/mem,tg=10 iters=9,two_cb_serial,37.105,36.757,36.757,2,0.000000,[0.000-18.432] [18.624-36.949]
alu/mem,tg=2048 alu=25227 mem=19,serialenc_1cb,39.193,38.989,38.989,1,0.000000,[0.000-38.989]
mem/mem,tg=2048 iters=19,two_queue,38.802,61.413,38.626,2,0.371037,[0.000-22.813] [0.027-38.626]
alu/mem,tg=9792 alu=5340 mem=165,serialenc_1cb,36.872,36.682,36.682,1,0.000000,[0.000-36.682]
alu/alu,tg=10 iters=1563748,two_cb,20.011,39.644,19.827,2,0.499863,[0.000-19.822] [0.005-19.827]
alu/mem,tg=20 alu=1538597 mem=16,b_only,19.758,19.576,19.576,1,0.000000,[0.000-19.576]
alu/mem,tg=512 alu=97150 mem=19,two_cb,35.774,55.612,35.588,2,0.360062,[0.000-20.029] [0.005-35.588]
alu/alu,tg=10 iters=1563748,two_queue,20.252,39.913,20.097,2,0.496485,[0.000-19.822] [0.005-20.097]
alu/mem,tg=2 alu=1565995 mem=2,raw_1cb,39.743,39.571,39.571,1,0.000000,[0.000-39.571]
alu/alu,tg=2 iters=1558762,serialenc_1cb,39.700,39.517,39.517,1,0.000000,[0.000-39.517]
alu/mem,tg=2 alu=1565995 mem=2,a_only,20.030,19.850,19.850,1,0.000000,[0.000-19.850]
mem/mem,tg=9792 iters=164,two_cb,33.280,61.809,33.095,2,0.464558,[0.000-28.721] [0.007-33.095]
gemm/gemm,half M=128 N=160 K=572832 tg=80,concurrent_1cb,36.292,36.018,36.018,1,0.000000,[0.000-36.018]
alu/alu,tg=40 iters=790993,b_only,19.955,19.775,19.775,1,0.000000,[0.000-19.775]
alu/alu,tg=240 iters=200393,two_queue,40.012,59.784,39.842,2,0.333569,[0.000-19.948] [0.006-39.842]
mem/mem,tg=10 iters=9,concurrent_1cb,18.415,18.218,18.218,1,0.000000,[0.000-18.218]
alu/alu,tg=1000 iters=51113,concurrent_1cb,39.628,39.449,39.449,1,0.000000,[0.000-39.449]
alu/mem,tg=240 alu=200870 mem=18,two_cb_serial,39.261,38.888,38.888,2,0.000000,[0.000-19.889] [20.083-39.082]
