# host
device                       Apple M4 Pro
architecture                 applegpu_g16s
maxThreadgroupMemoryLength   32768
recommendedWorkingSetSize    40200896512
k_alu maxThreadsPerTG        1024
k_gemm maxThreadsPerTG       1024
counterSampling.stage        true
counterSampling.dispatch     false
counterSampling.blit         false
rounds=9 targetMs=20.0

# arms
pair,size,arm,wall_ms,busy_sum_ms,busy_union_ms,cbs,cbunion_overlap,cb_layout_ms
mem/mem,tg=2 iters=2,two_queue,55.270,110.074,55.093,2,0.499492,[0.000-55.093] [0.112-55.093]
alu/alu,tg=1000 iters=50703,two_cb_serial,39.965,39.581,39.581,2,0.000000,[0.000-19.694] [19.903-39.790]
alu/alu,tg=2 iters=1088090,two_cb_serial,27.959,27.586,27.586,2,0.000000,[0.000-13.793] [13.979-27.772]
mem/mem,tg=20 iters=16,a_only,19.204,19.010,19.010,1,0.000000,[0.000-19.010]
alu/alu,tg=240 iters=201722,two_queue,38.572,59.031,38.386,2,0.349722,[0.000-20.650] [0.006-38.386]
alu/mem,tg=2 alu=1565153 mem=2,raw_1cb,39.615,39.426,39.426,1,0.000000,[0.000-39.426]
alu/mem,tg=240 alu=199140 mem=18,two_queue,38.855,58.339,38.667,2,0.337196,[0.000-19.677] [0.005-38.667]
alu/alu,tg=10 iters=1564051,barrier_1cb,41.547,41.404,41.404,1,0.000000,[0.000-41.404]
alu/mem,tg=2 alu=1565153 mem=2,two_cb_serial,39.782,39.406,39.406,2,0.000000,[0.000-19.839] [20.033-39.600]
alu/alu,tg=1000 iters=50703,raw_1cb,39.850,39.663,39.663,1,0.000000,[0.000-39.663]
alu/alu,tg=2 iters=1088090,concurrent_1cb,14.349,14.162,14.162,1,0.000000,[0.000-14.162]
alu/alu,tg=5 iters=1398660,b_only,17.905,17.732,17.732,1,0.000000,[0.000-17.732]
gemm/gemm,half M=128 N=160 K=569744 tg=80,two_cb,39.950,58.620,35.549,2,0.393566,[0.000-23.111] [0.040-35.549]
alu/mem,tg=10 alu=1535660 mem=9,two_cb_serial,38.466,38.126,38.126,2,0.000000,[0.000-19.719] [19.907-38.314]
alu/alu,tg=240 iters=201722,b_only,20.413,20.230,20.230,1,0.000000,[0.000-20.230]
gemm/gemm,small M=64 N=64 K=701296 tg=16,two_cb,42.291,79.623,39.814,2,0.499967,[0.000-39.814] [0.005-39.814]
gemm/gemm,small M=64 N=64 K=701296 tg=16,barrier_1cb,43.427,43.257,43.257,1,0.000000,[0.000-43.257]
gemm/gemm,fill M=512 N=1024 K=30896 tg=2048,two_cb_serial,40.793,39.299,39.299,2,0.000000,[0.000-19.671] [19.883-39.511]
alu/mem,tg=10 alu=1535660 mem=9,two_queue,19.660,37.890,19.477,2,0.485953,[0.005-19.477] [0.000-18.417]
alu/alu,tg=20 iters=1520646,serialenc_1cb,40.207,40.021,40.021,1,0.000000,[0.000-40.021]
alu/alu,tg=20 iters=1520646,two_cb,39.231,60.136,39.052,2,0.350610,[0.000-21.089] [0.005-39.052]
alu/mem,tg=2 alu=1565153 mem=2,serialenc_1cb,39.889,39.709,39.709,1,0.000000,[0.000-39.709]
alu/mem,tg=20 alu=1564873 mem=16,two_cb_serial,39.810,39.440,39.440,2,0.000000,[0.000-19.836] [20.027-39.632]
alu/alu,tg=40 iters=793926,a_only,20.714,20.468,20.468,1,0.000000,[0.000-20.468]
mem/mem,tg=20 iters=16,serialenc_1cb,38.540,38.350,38.350,1,0.000000,[0.000-38.350]
alu/mem,tg=240 alu=199140 mem=18,b_only,19.091,18.942,18.942,1,0.000000,[0.000-18.942]
alu/mem,tg=20 alu=1564873 mem=16,a_only,20.023,19.836,19.836,1,0.000000,[0.000-19.836]
alu/mem,tg=20 alu=1564873 mem=16,raw_1cb,38.671,38.485,38.485,1,0.000000,[0.000-38.485]
alu/alu,tg=240 iters=201722,two_cb,38.684,58.734,38.497,2,0.344555,[0.000-20.242] [0.005-38.497]
