comparison,family,order,quartet,position,arm,mode,request_id,wall_ns,profile_ns,profile_count,eval_ns,token
empty_control,ordinary_layers,ABBA,0,0,A,off,11,546751000,0.0,0,143187458.33333334,5991
empty_control,ordinary_layers,ABBA,0,1,B,empty,12,546856500,125.0,39,143254750.0,5991
empty_control,ordinary_layers,ABBA,0,2,B,empty,13,546404209,125.0,39,143000333.33333334,5991
empty_control,ordinary_layers,ABBA,0,3,A,off,14,546628666,0.0,0,143181958.33333334,5991
empty_control,ordinary_layers,ABBA,1,0,A,off,15,545413458,0.0,0,142623541.66666666,5991
empty_control,ordinary_layers,ABBA,1,1,B,empty,16,545950458,250.0,39,142699041.66666666,5991
empty_control,ordinary_layers,ABBA,1,2,B,empty,17,545868958,291.6666666666667,39,142993833.33333334,5991
empty_control,ordinary_layers,ABBA,1,3,A,off,18,546099667,0.0,0,142693625.0,5991
empty_control,ordinary_layers,ABBA,2,0,A,off,19,548056583,0.0,0,142774291.66666666,5991
empty_control,ordinary_layers,ABBA,2,1,B,empty,20,547706625,208.33333333333334,39,143207750.0,5991
empty_control,ordinary_layers,ABBA,2,2,B,empty,21,546617458,41.666666666666664,39,143515791.66666666,5991
empty_control,ordinary_layers,ABBA,2,3,A,off,22,547023209,0.0,0,143223708.33333334,5991
empty_control,ordinary_layers,ABBA,3,0,A,off,23,546815334,0.0,0,143373791.66666666,5991
empty_control,ordinary_layers,ABBA,3,1,B,empty,24,547237042,208.33333333333334,39,143013000.0,5991
empty_control,ordinary_layers,ABBA,3,2,B,empty,25,547516542,83.33333333333333,39,143597916.66666666,5991
empty_control,ordinary_layers,ABBA,3,3,A,off,26,546676958,0.0,0,143175958.33333334,5991
empty_control,ordinary_layers,ABBA,4,0,A,off,27,547068750,0.0,0,143258750.0,5991
empty_control,ordinary_layers,ABBA,4,1,B,empty,28,544860250,250.0,39,142647291.66666666,5991
empty_control,ordinary_layers,ABBA,4,2,B,empty,29,546452459,291.6666666666667,39,142675000.0,5991
empty_control,ordinary_layers,ABBA,4,3,A,off,30,546909542,0.0,0,143023375.0,5991
empty_control,ordinary_layers,ABBA,5,0,A,off,31,548204541,0.0,0,142792333.33333334,5991
empty_control,ordinary_layers,ABBA,5,1,B,empty,32,546762375,250.0,39,143132416.66666666,5991
empty_control,ordinary_layers,ABBA,5,2,B,empty,33,546521125,208.33333333333334,39,143048625.0,5991
empty_control,ordinary_layers,ABBA,5,3,A,off,34,545911000,0.0,0,143310958.33333334,5991
empty_control,ordinary_layers,ABBA,6,0,A,off,35,546816417,0.0,0,143201208.33333334,5991
empty_control,ordinary_layers,ABBA,6,1,B,empty,36,547411375,83.33333333333333,39,143200416.66666666,5991
empty_control,ordinary_layers,ABBA,6,2,B,empty,37,545990333,291.6666666666667,39,142642416.66666666,5991
empty_control,ordinary_layers,ABBA,6,3,A,off,38,546474750,0.0,0,143087666.66666666,5991
empty_control,ordinary_layers,ABBA,7,0,A,off,39,546188625,0.0,0,142695583.33333334,5991
empty_control,ordinary_layers,ABBA,7,1,B,empty,40,548691125,333.3333333333333,39,142836291.66666666,5991
empty_control,ordinary_layers,ABBA,7,2,B,empty,41,547015250,208.33333333333334,39,143440083.33333334,5991
empty_control,ordinary_layers,ABBA,7,3,A,off,42,547746958,0.0,0,143435583.33333334,5991
empty_control,ordinary_layers,ABBA,8,0,A,off,43,547142667,0.0,0,143224916.66666666,5991
empty_control,ordinary_layers,ABBA,8,1,B,empty,44,545796917,166.66666666666666,39,143018458.33333334,5991
empty_control,ordinary_layers,ABBA,8,2,B,empty,45,546894167,41.666666666666664,39,142760416.66666666,5991
empty_control,ordinary_layers,ABBA,8,3,A,off,46,547655583,0.0,0,143322208.33333334,5991
empty_control,ordinary_layers,ABBA,9,0,A,off,47,545672375,0.0,0,142603125.0,5991
empty_control,ordinary_layers,ABBA,9,1,B,empty,48,546227917,166.66666666666666,39,142592416.66666666,5991
empty_control,ordinary_layers,ABBA,9,2,B,empty,49,547633208,166.66666666666666,39,143061291.66666666,5991
empty_control,ordinary_layers,ABBA,9,3,A,off,50,547006250,0.0,0,143288208.33333334,5991
empty_control,ordinary_layers,ABBA,10,0,A,off,51,546767667,0.0,0,143137166.66666666,5991
empty_control,ordinary_layers,ABBA,10,1,B,empty,52,546571583,208.33333333333334,39,143270250.0,5991
empty_control,ordinary_layers,ABBA,10,2,B,empty,53,546785791,125.0,39,143178416.66666666,5991
empty_control,ordinary_layers,ABBA,10,3,A,off,54,546187000,0.0,0,142909250.0,5991
empty_control,ordinary_layers,ABBA,11,0,A,off,55,546617833,0.0,0,143182916.66666666,5991
empty_control,ordinary_layers,ABBA,11,1,B,empty,56,546976375,250.0,39,143288125.0,5991
empty_control,ordinary_layers,ABBA,11,2,B,empty,57,547455792,250.0,39,143096291.66666666,5991
empty_control,ordinary_layers,ABBA,11,3,A,off,58,548841291,0.0,0,144557291.66666666,5991
empty_control,ordinary_layers,ABBA,12,0,A,off,59,550290250,0.0,0,144288375.0,5991
empty_control,ordinary_layers,ABBA,12,1,B,empty,60,550249625,208.33333333333334,39,144370291.66666666,5991
empty_control,ordinary_layers,ABBA,12,2,B,empty,61,549661792,41.666666666666664,39,143985458.33333334,5991
empty_control,ordinary_layers,ABBA,12,3,A,off,62,547013083,0.0,0,142954125.0,5991
empty_control,ordinary_layers,ABBA,13,0,A,off,63,547476750,0.0,0,142027250.0,5991
empty_control,ordinary_layers,ABBA,13,1,B,empty,64,557939959,416.6666666666667,39,142801916.66666666,5991
empty_control,ordinary_layers,ABBA,13,2,B,empty,65,547190750,125.0,39,142702625.0,5991
empty_control,ordinary_layers,ABBA,13,3,A,off,66,546440625,0.0,0,142706750.0,5991
empty_control,ordinary_layers,ABBA,14,0,A,off,67,545921292,0.0,0,142750083.33333334,5991
empty_control,ordinary_layers,ABBA,14,1,B,empty,68,545920625,250.0,39,142809125.0,5991
empty_control,ordinary_layers,ABBA,14,2,B,empty,69,545750834,208.33333333333334,39,142721666.66666666,5991
empty_control,ordinary_layers,ABBA,14,3,A,off,70,545381958,0.0,0,142743750.0,5991
empty_control,ordinary_layers,ABBA,15,0,A,off,71,545471334,0.0,0,142865458.33333334,5991
empty_control,ordinary_layers,ABBA,15,1,B,empty,72,545781042,291.6666666666667,39,142990333.33333334,5991
empty_control,ordinary_layers,ABBA,15,2,B,empty,73,546443625,83.33333333333333,39,142911250.0,5991
empty_control,ordinary_layers,ABBA,15,3,A,off,74,546267833,0.0,0,143073458.33333334,5991
empty_control,ordinary_layers,ABBA,16,0,A,off,75,545595334,0.0,0,142695458.33333334,5991
empty_control,ordinary_layers,ABBA,16,1,B,empty,76,545710542,166.66666666666666,39,142901875.0,5991
empty_control,ordinary_layers,ABBA,16,2,B,empty,77,546038583,291.6666666666667,39,142640541.66666666,5991
empty_control,ordinary_layers,ABBA,16,3,A,off,78,545956959,0.0,0,143023541.66666666,5991
empty_control,ordinary_layers,ABBA,17,0,A,off,79,548016875,0.0,0,142552500.0,5991
empty_control,ordinary_layers,ABBA,17,1,B,empty,80,548129792,291.6666666666667,39,143359875.0,5991
empty_control,ordinary_layers,ABBA,17,2,B,empty,81,546736292,83.33333333333333,39,143373416.66666666,5991
empty_control,ordinary_layers,ABBA,17,3,A,off,82,547653166,0.0,0,143180250.0,5991
empty_control,ordinary_layers,ABBA,18,0,A,off,83,546914792,0.0,0,143271750.0,5991
empty_control,ordinary_layers,ABBA,18,1,B,empty,84,547014333,250.0,39,142778708.33333334,5991
