# dispatch trace old vs new
total dispatches: old=11248 new=11244 delta=-4
last complete decode-step block length: old=408 new=408
per-decode-step dispatch delta = 0 -> priced +0.00 us/step at 0.3 us/dispatch

## per-kernel dispatch counts (whole trace)
kernel                                                                      old      new   delta
CV2ISigmoidADV2IBroadcastACEV2IBroadcastCAFV2IMultiplyDEGV2IBroadcastFBHV2IBroadcastBFIV2OMultiplyGH_VV_V2V2_11160318154034397263_contiguous      154      154      +0
Cf4IAsTypeADf4IBroadcastCBEf4IBroadcastBCFf4ILogAddExpDEGV2OAsTypeF_VC_V2_10408321403207385874_contiguous       80       80      +0
affine_quantize_bfloat16_t_gs_32_b_8                                         40       40      +0
all_reduce_maxfloat32                                                         2        2      +0
all_reduce_sumint32                                                         592      592      +0
arangeuint32                                                                152      152      +0
argmax_bfloat16                                                               6        6      +0
custom_kernel_laguna_decode_embedding_rope_atlas_bf16_2048_v2_int32_tc_bfloat16_t_float_float_int32_ts_bfloat16_t_float_float        6        6      +0
custom_kernel_laguna_decode_nvfp4_qkv_h48_r1_v1_lm1_pw1_se1_sd1_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t       60       60      +0
custom_kernel_laguna_decode_nvfp4_qkv_h64_r1_v1_lm1_pw1_se1_sd1_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t      180      180      +0
custom_kernel_laguna_dense_down_residual_bf16_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t        6        6      +0
custom_kernel_laguna_dense_gate_up_swiglu_bf16_v1_bfloat16_t_bfloat16_t_bfloat16_t        6        6      +0
custom_kernel_laguna_full_fused_attn_grow_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t       41       41      +0
custom_kernel_laguna_full_qk_norm_yarn_bf16_128_v4_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t       20       20      +0
custom_kernel_laguna_gate_sp_h48_v1_bfloat16_t_uint32_t_bfloat16_t_bfloat16_t_bfloat16_t       60       60      +0
custom_kernel_laguna_gate_sp_h64_v1_bfloat16_t_uint32_t_bfloat16_t_bfloat16_t_bfloat16_t      180      180      +0
custom_kernel_laguna_lmhead_coarse_argmax_stage1_v5_float_float_uint32_t        8        7      -1
custom_kernel_laguna_lmhead_exact_fused_int5_sparse_refine_v1_float_bfloat16_t_floatc_bfloat16_t_bfloat16_t_uint8_t_uint8_t_bfloat16_t        5        5      +0
custom_kernel_laguna_lmhead_exact_inline_mask_block_delta_bf16_lane0_mask_v1_float_bfloat16_t_floatc_bfloat16_t_bfloat16_t_bfloat16_t        2        2      +0
custom_kernel_laguna_lmhead_exact_winner_bf16_midpoint_threshold_v1_float_uint32_t_bfloat16_t_bfloat16_t_float        7        7      +0
custom_kernel_laguna_lmhead_int5_base_coarse_delta_bf16_v1_bfloat16_t_uint8_t_uint8_t_float_bfloat16_t        6        5      -1
custom_kernel_laguna_lmhead_int5_inline_coarse_ratio_bound_delta_bf16_v6_bfloat16_t_uint8_t_uint8_t_uint8_t_float_bfloat16_t        2        2      +0
custom_kernel_laguna_oproj_act_h48_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t       60       60      +0
custom_kernel_laguna_oproj_act_h64_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t      180      180      +0
custom_kernel_laguna_prefill_full_qk_norm_yarn_bf16_128_h1_v2_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_int32_tc_bfloat16_t_bfloat16_t       20       20      +0
custom_kernel_laguna_prefill_router_tournament_ordinal_norm_active64_v2_bfloat16_t_float_uint32_t_float      312      312      +0
custom_kernel_laguna_prefill_sliding_qk_norm_rope_bf16_128_h1_v2_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_int32_tc_bfloat16_t_bfloat16_t       58       58      +0
custom_kernel_laguna_prefill_sorted_moe_tail_bf16_v1_bfloat16_t_uint32_t_float_bfloat16_t_bfloat16_t_bfloat16_t       76       76      +0
custom_kernel_laguna_residual_rms_bf16_2048_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t       84       84      +0
custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t      236        0    -236
custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_pf1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t        0      236    +236
custom_kernel_laguna_routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2_bfloat16_t_uint32_t_uint8_t_uint32_t_bfloat16_t      236      236      +0
custom_kernel_laguna_routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6_bfloat16_t_uint32_t_uint8_t_uint32_t_float_bfloat16_t_uint32_t_uint8_t_bfloat16_t_bfloat16_t      236      235      -1
custom_kernel_laguna_shared_nvfp4_swiglu_qmv_rows1_halved_bf16_v1_bfloat16_t_uint32_t_uint8_t_bfloat16_t      236      236      +0
