session	idx	block	pos	arm	gates	kernels	decode_s_per_token	prefill_s_per_token	passed	golden	wall_s	head	error
20260810T192206Z	1	1	1	CTL	none	none	0.008968393531769307	0.001123396810546875	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	232	a25eb5f37dc1	
20260810T192206Z	2	1	2	S1	DARKBLOOM_INJECT_DECODE_EMPTY=40,DARKBLOOM_INJECT_EMPTY_TG=8,DARKBLOOM_INJECT_EMPTY_CHAIN=0,DARKBLOOM_INJECT_EMPTY_SPREAD=1	none	0.008911492995112414	0.001113689044921875	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	217	a25eb5f37dc1	
20260810T192206Z	3	1	3	S0	DARKBLOOM_INJECT_DECODE_EMPTY=40,DARKBLOOM_INJECT_EMPTY_TG=8,DARKBLOOM_INJECT_EMPTY_CHAIN=0,DARKBLOOM_INJECT_EMPTY_SPREAD=0	none	0.008939508227761486	0.001122122396484375	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	218	a25eb5f37dc1	
20260810T192206Z	4	1	4	N400	DARKBLOOM_INJECT_DECODE_EMPTY=400,DARKBLOOM_INJECT_EMPTY_TG=8,DARKBLOOM_INJECT_EMPTY_CHAIN=0,DARKBLOOM_INJECT_EMPTY_SPREAD=1	none	0.008884668988269794	0.001123001708984375	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	230	a25eb5f37dc1	
20260810T192206Z	5	2	1	S1	DARKBLOOM_INJECT_DECODE_EMPTY=40,DARKBLOOM_INJECT_EMPTY_TG=8,DARKBLOOM_INJECT_EMPTY_CHAIN=0,DARKBLOOM_INJECT_EMPTY_SPREAD=1	none	0.00890444411827957	0.0011237208671875	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	219	a25eb5f37dc1	
20260810T192206Z	6	2	2	S0	DARKBLOOM_INJECT_DECODE_EMPTY=40,DARKBLOOM_INJECT_EMPTY_TG=8,DARKBLOOM_INJECT_EMPTY_CHAIN=0,DARKBLOOM_INJECT_EMPTY_SPREAD=0	none	0.00894521297653959	0.001138243572265625	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	207	a25eb5f37dc1	
20260810T192206Z	7	2	3	N400	DARKBLOOM_INJECT_DECODE_EMPTY=400,DARKBLOOM_INJECT_EMPTY_TG=8,DARKBLOOM_INJECT_EMPTY_CHAIN=0,DARKBLOOM_INJECT_EMPTY_SPREAD=1	none	0.008877992384164222	0.0011227456875	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	219	a25eb5f37dc1	
20260810T192206Z	8	2	4	CTL	none	none	0.00899100154740958	0.001125069662109375	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	193	a25eb5f37dc1	
20260810T192206Z	9	3	1	S0	DARKBLOOM_INJECT_DECODE_EMPTY=40,DARKBLOOM_INJECT_EMPTY_TG=8,DARKBLOOM_INJECT_EMPTY_CHAIN=0,DARKBLOOM_INJECT_EMPTY_SPREAD=0	none	0.008938312153470185	0.001111588458984375	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	205	a25eb5f37dc1	
20260810T192206Z	10	3	2	N400	DARKBLOOM_INJECT_DECODE_EMPTY=400,DARKBLOOM_INJECT_EMPTY_TG=8,DARKBLOOM_INJECT_EMPTY_CHAIN=0,DARKBLOOM_INJECT_EMPTY_SPREAD=1	none	0.008889947906158359	0.001125756103515625	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	207	a25eb5f37dc1	
