K1_routed_swiglu_n,K1_routed_swiglu_names,K1_routed_swiglu_us,K2_qkv_h48_n,K2_qkv_h48_names,K2_qkv_h48_us,K2_qkv_h64_n,K2_qkv_h64_names,K2_qkv_h64_us,K4_shared_down_n,K4_shared_down_names,K4_shared_down_us,arm,busy_sum_ms,busy_union_ms,cb_env,cbs,dispatches,divergences,full_attn_n,full_attn_names,full_attn_us,gap_ms,gap_pct,idx,multi_kernel_us,oproj_family_us,oproj_h48_n,oproj_h48_names,oproj_h48_us,oproj_h64_n,oproj_h64_names,oproj_h64_us,profile,sliding_attn_n,sliding_attn_names,sliding_attn_us,split,tag,wall_ms
39.0,routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2,1499.6,10.0,decode_nvfp4_qkv_gate_h48_r1_v1_lm1_pw1_se1_sd1,368.8,30.0,decode_nvfp4_qkv_gate_h64_r1_v1_lm1_pw1_se1_sd1,1358.0,39.0,routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6,859.8,C,8.242,8.242,DARKBLOOM_STARTUP_MEMORY_PROFILE=<unset> MLX_MAX_OPS_PER_BUFFER=64 MLX_MAX_MB_PER_BUFFER=128 MLX_BFS_MAX_WIDTH=<unset> DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=4 DARKBLOOM_OPROJ_SIMDGROUPS=<unset> resolved_rps=4 resolved_ns=2 resolved_suffix=<empty>,366.0,366.0,0,10.0,full_fused_attn_grow_v1,249.9,1.007,10.9,1,0.0,1414.8,10.0,oproj_act_h48_v1_lm1_pw1_sc1_se1,301.8,30.0,oproj_act_h64_v1_lm1_pw1_sc1_se1,1113.0,auto,30.0,sliding_fused_attn_ring_v1,635.3,1,01-C-s1-auto,9.249
39.0,routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2,1508.3,10.0,decode_nvfp4_qkv_gate_h48_r1_v1_lm1_pw1_se1_sd1,370.9,30.0,decode_nvfp4_qkv_gate_h64_r1_v1_lm1_pw1_se1_sd1,1361.7,39.0,routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6,864.3,R,8.251,8.25,DARKBLOOM_STARTUP_MEMORY_PROFILE=<unset> MLX_MAX_OPS_PER_BUFFER=64 MLX_MAX_MB_PER_BUFFER=128 MLX_BFS_MAX_WIDTH=<unset> DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2 DARKBLOOM_OPROJ_SIMDGROUPS=<unset> resolved_rps=2 resolved_ns=2 resolved_suffix=_rps2ns2,366.0,366.0,0,10.0,full_fused_attn_grow_v1,248.3,1.1,11.8,2,0.0,1386.5,10.0,oproj_act_h48_v1_lm1_pw1_sc1_se1_rps2ns2,292.5,30.0,oproj_act_h64_v1_lm1_pw1_sc1_se1_rps2ns2,1094.0,auto,30.0,sliding_fused_attn_ring_v1,643.8,1,02-R-s1-auto,9.35
39.0,routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2,1499.0,10.0,decode_nvfp4_qkv_gate_h48_r1_v1_lm1_pw1_se1_sd1,368.6,30.0,decode_nvfp4_qkv_gate_h64_r1_v1_lm1_pw1_se1_sd1,1353.8,39.0,routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6,859.9,R,8.201,8.201,DARKBLOOM_STARTUP_MEMORY_PROFILE=<unset> MLX_MAX_OPS_PER_BUFFER=64 MLX_MAX_MB_PER_BUFFER=128 MLX_BFS_MAX_WIDTH=<unset> DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2 DARKBLOOM_OPROJ_SIMDGROUPS=<unset> resolved_rps=2 resolved_ns=2 resolved_suffix=_rps2ns2,366.0,366.0,0,10.0,full_fused_attn_grow_v1,247.5,0.999,10.9,3,0.0,1372.7,10.0,oproj_act_h48_v1_lm1_pw1_sc1_se1_rps2ns2,288.2,30.0,oproj_act_h64_v1_lm1_pw1_sc1_se1_rps2ns2,1084.5,auto,30.0,sliding_fused_attn_ring_v1,640.3,1,03-R-s1-auto,9.199
39.0,routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2,1504.7,10.0,decode_nvfp4_qkv_gate_h48_r1_v1_lm1_pw1_se1_sd1,370.4,30.0,decode_nvfp4_qkv_gate_h64_r1_v1_lm1_pw1_se1_sd1,1363.5,39.0,routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6,861.1,C,8.273,8.273,DARKBLOOM_STARTUP_MEMORY_PROFILE=<unset> MLX_MAX_OPS_PER_BUFFER=64 MLX_MAX_MB_PER_BUFFER=128 MLX_BFS_MAX_WIDTH=<unset> DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=4 DARKBLOOM_OPROJ_SIMDGROUPS=<unset> resolved_rps=4 resolved_ns=2 resolved_suffix=<empty>,366.0,366.0,0,10.0,full_fused_attn_grow_v1,250.2,1.041,11.2,4,0.0,1420.3000000000002,10.0,oproj_act_h48_v1_lm1_pw1_sc1_se1,302.4,30.0,oproj_act_h64_v1_lm1_pw1_sc1_se1,1117.9,auto,30.0,sliding_fused_attn_ring_v1,635.7,1,04-C-s1-auto,9.313
39.0,routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2,1497.8,10.0,decode_nvfp4_qkv_gate_h48_r1_v1_lm1_pw1_se1_sd1,369.0,30.0,decode_nvfp4_qkv_gate_h64_r1_v1_lm1_pw1_se1_sd1,1353.9,39.0,routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6,857.7,R,8.196,8.196,DARKBLOOM_STARTUP_MEMORY_PROFILE=<unset> MLX_MAX_OPS_PER_BUFFER=64 MLX_MAX_MB_PER_BUFFER=128 MLX_BFS_MAX_WIDTH=<unset> DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2 DARKBLOOM_OPROJ_SIMDGROUPS=<unset> resolved_rps=2 resolved_ns=2 resolved_suffix=_rps2ns2,366.0,366.0,0,10.0,full_fused_attn_grow_v1,247.7,0.998,10.9,5,0.0,1373.9,10.0,oproj_act_h48_v1_lm1_pw1_sc1_se1_rps2ns2,287.9,30.0,oproj_act_h64_v1_lm1_pw1_sc1_se1_rps2ns2,1086.0,auto,30.0,sliding_fused_attn_ring_v1,639.4,1,05-R-s1-auto,9.194
39.0,routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2,1500.7,10.0,decode_nvfp4_qkv_gate_h48_r1_v1_lm1_pw1_se1_sd1,369.1,30.0,decode_nvfp4_qkv_gate_h64_r1_v1_lm1_pw1_se1_sd1,1359.7,39.0,routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6,860.2,C,8.254,8.254,DARKBLOOM_STARTUP_MEMORY_PROFILE=<unset> MLX_MAX_OPS_PER_BUFFER=64 MLX_MAX_MB_PER_BUFFER=128 MLX_BFS_MAX_WIDTH=<unset> DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=4 DARKBLOOM_OPROJ_SIMDGROUPS=<unset> resolved_rps=4 resolved_ns=2 resolved_suffix=<empty>,366.0,366.0,0,10.0,full_fused_attn_grow_v1,249.9,1.024,11.0,6,0.0,1416.1,10.0,oproj_act_h48_v1_lm1_pw1_sc1_se1,300.6,30.0,oproj_act_h64_v1_lm1_pw1_sc1_se1,1115.5,auto,30.0,sliding_fused_attn_ring_v1,635.9,1,06-C-s1-auto,9.277
39.0,routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2,1502.8,10.0,decode_nvfp4_qkv_gate_h48_r1_v1_lm1_pw1_se1_sd1,369.1,30.0,decode_nvfp4_qkv_gate_h64_r1_v1_lm1_pw1_se1_sd1,1359.5,39.0,routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6,864.7,C,8.26,8.26,DARKBLOOM_STARTUP_MEMORY_PROFILE=<unset> MLX_MAX_OPS_PER_BUFFER=64 MLX_MAX_MB_PER_BUFFER=128 MLX_BFS_MAX_WIDTH=<unset> DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=4 DARKBLOOM_OPROJ_SIMDGROUPS=<unset> resolved_rps=4 resolved_ns=2 resolved_suffix=<empty>,366.0,366.0,0,10.0,full_fused_attn_grow_v1,249.5,1.007,10.9,7,0.0,1416.1,10.0,oproj_act_h48_v1_lm1_pw1_sc1_se1,301.6,30.0,oproj_act_h64_v1_lm1_pw1_sc1_se1,1114.5,auto,30.0,sliding_fused_attn_ring_v1,636.1,1,07-C-s1-auto,9.266
39.0,routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2,1497.8,10.0,decode_nvfp4_qkv_gate_h48_r1_v1_lm1_pw1_se1_sd1,369.2,30.0,decode_nvfp4_qkv_gate_h64_r1_v1_lm1_pw1_se1_sd1,1353.8,39.0,routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6,859.2,R,8.2,8.2,DARKBLOOM_STARTUP_MEMORY_PROFILE=<unset> MLX_MAX_OPS_PER_BUFFER=64 MLX_MAX_MB_PER_BUFFER=128 MLX_BFS_MAX_WIDTH=<unset> DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2 DARKBLOOM_OPROJ_SIMDGROUPS=<unset> resolved_rps=2 resolved_ns=2 resolved_suffix=_rps2ns2,366.0,366.0,0,10.0,full_fused_attn_grow_v1,247.5,1.001,10.9,8,0.0,1375.0,10.0,oproj_act_h48_v1_lm1_pw1_sc1_se1_rps2ns2,290.1,30.0,oproj_act_h64_v1_lm1_pw1_sc1_se1_rps2ns2,1084.9,auto,30.0,sliding_fused_attn_ring_v1,639.5,1,08-R-s1-auto,9.2
39.0,routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2,1500.0,10.0,decode_nvfp4_qkv_gate_h48_r1_v1_lm1_pw1_se1_sd1,369.2,30.0,decode_nvfp4_qkv_gate_h64_r1_v1_lm1_pw1_se1_sd1,1356.4,39.0,routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6,859.4,C,8.24,8.24,DARKBLOOM_STARTUP_MEMORY_PROFILE=<unset> MLX_MAX_OPS_PER_BUFFER=64 MLX_MAX_MB_PER_BUFFER=128 MLX_BFS_MAX_WIDTH=<unset> DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=4 DARKBLOOM_OPROJ_SIMDGROUPS=<unset> resolved_rps=4 resolved_ns=2 resolved_suffix=<empty>,366.0,366.0,0,10.0,full_fused_attn_grow_v1,249.1,1.016,11.0,9,0.0,1414.5,10.0,oproj_act_h48_v1_lm1_pw1_sc1_se1,301.5,30.0,oproj_act_h64_v1_lm1_pw1_sc1_se1,1113.0,auto,30.0,sliding_fused_attn_ring_v1,632.8,1,09-C-s1-auto,9.256
39.0,routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2,1499.6,10.0,decode_nvfp4_qkv_gate_h48_r1_v1_lm1_pw1_se1_sd1,369.0,30.0,decode_nvfp4_qkv_gate_h64_r1_v1_lm1_pw1_se1_sd1,1355.0,39.0,routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6,860.0,R,8.206,8.206,DARKBLOOM_STARTUP_MEMORY_PROFILE=<unset> MLX_MAX_OPS_PER_BUFFER=64 MLX_MAX_MB_PER_BUFFER=128 MLX_BFS_MAX_WIDTH=<unset> DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2 DARKBLOOM_OPROJ_SIMDGROUPS=<unset> resolved_rps=2 resolved_ns=2 resolved_suffix=_rps2ns2,366.0,366.0,0,10.0,full_fused_attn_grow_v1,247.1,0.999,10.8,10,0.0,1373.6999999999998,10.0,oproj_act_h48_v1_lm1_pw1_sc1_se1_rps2ns2,288.9,30.0,oproj_act_h64_v1_lm1_pw1_sc1_se1_rps2ns2,1084.8,auto,30.0,sliding_fused_attn_ring_v1,641.0,1,10-R-s1-auto,9.204
