K1_routed_swiglu_n,K1_routed_swiglu_names,K1_routed_swiglu_us,K2_qkv_h48_n,K2_qkv_h48_names,K2_qkv_h48_us,K2_qkv_h64_n,K2_qkv_h64_names,K2_qkv_h64_us,K4_shared_down_n,K4_shared_down_names,K4_shared_down_us,arm,busy_sum_ms,busy_union_ms,cb_env,cbs,dispatches,divergences,full_attn_n,full_attn_names,full_attn_us,gap_ms,gap_pct,idx,multi_kernel_us,oproj_family_us,oproj_h48_n,oproj_h48_names,oproj_h48_us,oproj_h64_n,oproj_h64_names,oproj_h64_us,profile,sliding_attn_n,sliding_attn_names,sliding_attn_us,split,tag,wall_ms
39.0,routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2,1507.3,10.0,decode_nvfp4_qkv_gate_h48_r1_v1_lm1_pw1_se1_sd1,370.8,30.0,decode_nvfp4_qkv_gate_h64_r1_v1_lm1_pw1_se1_sd1,1361.7,39.0,routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6,863.7,O,8.262,8.262,DARKBLOOM_STARTUP_MEMORY_PROFILE=<unset> MLX_MAX_OPS_PER_BUFFER=64 MLX_MAX_MB_PER_BUFFER=128 MLX_BFS_MAX_WIDTH=<unset> DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=1 DARKBLOOM_OPROJ_SIMDGROUPS=<unset> resolved_rps=1 resolved_ns=2 resolved_suffix=_rps1ns2,366.0,366.0,0,10.0,full_fused_attn_grow_v1,247.8,1.077,11.5,1,0.0,1408.1,10.0,oproj_act_h48_v1_lm1_pw1_sc1_se1_rps1ns2,292.3,30.0,oproj_act_h64_v1_lm1_pw1_sc1_se1_rps1ns2,1115.8,auto,30.0,sliding_fused_attn_ring_v1,635.9,1,01-O-s1-auto,9.339
39.0,routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2,1498.5,10.0,decode_nvfp4_qkv_gate_h48_r1_v1_lm1_pw1_se1_sd1,368.6,30.0,decode_nvfp4_qkv_gate_h64_r1_v1_lm1_pw1_se1_sd1,1353.7,39.0,routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6,858.7,R,8.201,8.2,DARKBLOOM_STARTUP_MEMORY_PROFILE=<unset> MLX_MAX_OPS_PER_BUFFER=64 MLX_MAX_MB_PER_BUFFER=128 MLX_BFS_MAX_WIDTH=<unset> DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2 DARKBLOOM_OPROJ_SIMDGROUPS=<unset> resolved_rps=2 resolved_ns=2 resolved_suffix=_rps2ns2,366.0,366.0,0,10.0,full_fused_attn_grow_v1,247.5,1.0,10.9,2,0.0,1373.0,10.0,oproj_act_h48_v1_lm1_pw1_sc1_se1_rps2ns2,288.7,30.0,oproj_act_h64_v1_lm1_pw1_sc1_se1_rps2ns2,1084.3,auto,30.0,sliding_fused_attn_ring_v1,640.1,1,02-R-s1-auto,9.201
39.0,routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2,1500.9,10.0,decode_nvfp4_qkv_gate_h48_r1_v1_lm1_pw1_se1_sd1,369.4,30.0,decode_nvfp4_qkv_gate_h64_r1_v1_lm1_pw1_se1_sd1,1360.0,39.0,routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6,860.3,C,8.256,8.256,DARKBLOOM_STARTUP_MEMORY_PROFILE=<unset> MLX_MAX_OPS_PER_BUFFER=64 MLX_MAX_MB_PER_BUFFER=128 MLX_BFS_MAX_WIDTH=<unset> DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=4 DARKBLOOM_OPROJ_SIMDGROUPS=<unset> resolved_rps=4 resolved_ns=2 resolved_suffix=<empty>,366.0,366.0,0,10.0,full_fused_attn_grow_v1,250.6,1.061,11.4,3,0.0,1416.0,10.0,oproj_act_h48_v1_lm1_pw1_sc1_se1,300.9,30.0,oproj_act_h64_v1_lm1_pw1_sc1_se1,1115.1,auto,30.0,sliding_fused_attn_ring_v1,636.4,1,03-C-s1-auto,9.316
39.0,routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2,1499.3,10.0,decode_nvfp4_qkv_gate_h48_r1_v1_lm1_pw1_se1_sd1,369.2,30.0,decode_nvfp4_qkv_gate_h64_r1_v1_lm1_pw1_se1_sd1,1359.6,39.0,routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6,860.0,C,8.256,8.256,DARKBLOOM_STARTUP_MEMORY_PROFILE=<unset> MLX_MAX_OPS_PER_BUFFER=64 MLX_MAX_MB_PER_BUFFER=128 MLX_BFS_MAX_WIDTH=<unset> DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=4 DARKBLOOM_OPROJ_SIMDGROUPS=<unset> resolved_rps=4 resolved_ns=2 resolved_suffix=<empty>,366.0,366.0,0,10.0,full_fused_attn_grow_v1,250.0,1.029,11.1,4,0.0,1417.5,10.0,oproj_act_h48_v1_lm1_pw1_sc1_se1,304.1,30.0,oproj_act_h64_v1_lm1_pw1_sc1_se1,1113.4,auto,30.0,sliding_fused_attn_ring_v1,636.2,1,04-C-s1-auto,9.284
39.0,routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2,1505.2,10.0,decode_nvfp4_qkv_gate_h48_r1_v1_lm1_pw1_se1_sd1,370.3,30.0,decode_nvfp4_qkv_gate_h64_r1_v1_lm1_pw1_se1_sd1,1358.9,39.0,routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6,866.1,R,8.243,8.243,DARKBLOOM_STARTUP_MEMORY_PROFILE=<unset> MLX_MAX_OPS_PER_BUFFER=64 MLX_MAX_MB_PER_BUFFER=128 MLX_BFS_MAX_WIDTH=<unset> DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2 DARKBLOOM_OPROJ_SIMDGROUPS=<unset> resolved_rps=2 resolved_ns=2 resolved_suffix=_rps2ns2,366.0,366.0,0,10.0,full_fused_attn_grow_v1,248.8,1.167,12.4,5,0.0,1385.3,10.0,oproj_act_h48_v1_lm1_pw1_sc1_se1_rps2ns2,291.8,30.0,oproj_act_h64_v1_lm1_pw1_sc1_se1_rps2ns2,1093.5,auto,30.0,sliding_fused_attn_ring_v1,641.0,1,05-R-s1-auto,9.41
39.0,routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2,1498.6,10.0,decode_nvfp4_qkv_gate_h48_r1_v1_lm1_pw1_se1_sd1,368.7,30.0,decode_nvfp4_qkv_gate_h64_r1_v1_lm1_pw1_se1_sd1,1354.5,39.0,routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6,858.8,O,8.22,8.22,DARKBLOOM_STARTUP_MEMORY_PROFILE=<unset> MLX_MAX_OPS_PER_BUFFER=64 MLX_MAX_MB_PER_BUFFER=128 MLX_BFS_MAX_WIDTH=<unset> DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=1 DARKBLOOM_OPROJ_SIMDGROUPS=<unset> resolved_rps=1 resolved_ns=2 resolved_suffix=_rps1ns2,366.0,366.0,0,10.0,full_fused_attn_grow_v1,247.1,1.006,10.9,6,0.0,1401.6,10.0,oproj_act_h48_v1_lm1_pw1_sc1_se1_rps1ns2,291.8,30.0,oproj_act_h64_v1_lm1_pw1_sc1_se1_rps1ns2,1109.8,auto,30.0,sliding_fused_attn_ring_v1,634.1,1,06-O-s1-auto,9.226
39.0,routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2,1498.9,10.0,decode_nvfp4_qkv_gate_h48_r1_v1_lm1_pw1_se1_sd1,368.9,30.0,decode_nvfp4_qkv_gate_h64_r1_v1_lm1_pw1_se1_sd1,1355.1,39.0,routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6,859.3,O,8.218,8.217,DARKBLOOM_STARTUP_MEMORY_PROFILE=<unset> MLX_MAX_OPS_PER_BUFFER=64 MLX_MAX_MB_PER_BUFFER=128 MLX_BFS_MAX_WIDTH=<unset> DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=1 DARKBLOOM_OPROJ_SIMDGROUPS=<unset> resolved_rps=1 resolved_ns=2 resolved_suffix=_rps1ns2,366.0,366.0,0,10.0,full_fused_attn_grow_v1,247.2,1.003,10.9,7,0.0,1399.0,10.0,oproj_act_h48_v1_lm1_pw1_sc1_se1_rps1ns2,289.7,30.0,oproj_act_h64_v1_lm1_pw1_sc1_se1_rps1ns2,1109.3,auto,30.0,sliding_fused_attn_ring_v1,632.7,1,07-O-s1-auto,9.221
39.0,routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2,1498.6,10.0,decode_nvfp4_qkv_gate_h48_r1_v1_lm1_pw1_se1_sd1,369.1,30.0,decode_nvfp4_qkv_gate_h64_r1_v1_lm1_pw1_se1_sd1,1353.0,39.0,routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6,859.4,R,8.204,8.204,DARKBLOOM_STARTUP_MEMORY_PROFILE=<unset> MLX_MAX_OPS_PER_BUFFER=64 MLX_MAX_MB_PER_BUFFER=128 MLX_BFS_MAX_WIDTH=<unset> DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=2 DARKBLOOM_OPROJ_SIMDGROUPS=<unset> resolved_rps=2 resolved_ns=2 resolved_suffix=_rps2ns2,366.0,366.0,0,10.0,full_fused_attn_grow_v1,247.2,0.996,10.8,8,0.0,1376.9,10.0,oproj_act_h48_v1_lm1_pw1_sc1_se1_rps2ns2,291.6,30.0,oproj_act_h64_v1_lm1_pw1_sc1_se1_rps2ns2,1085.3,auto,30.0,sliding_fused_attn_ring_v1,640.4,1,08-R-s1-auto,9.2
39.0,routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2,1498.5,10.0,decode_nvfp4_qkv_gate_h48_r1_v1_lm1_pw1_se1_sd1,368.3,30.0,decode_nvfp4_qkv_gate_h64_r1_v1_lm1_pw1_se1_sd1,1358.0,39.0,routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6,858.5,C,8.242,8.242,DARKBLOOM_STARTUP_MEMORY_PROFILE=<unset> MLX_MAX_OPS_PER_BUFFER=64 MLX_MAX_MB_PER_BUFFER=128 MLX_BFS_MAX_WIDTH=<unset> DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=4 DARKBLOOM_OPROJ_SIMDGROUPS=<unset> resolved_rps=4 resolved_ns=2 resolved_suffix=<empty>,366.0,366.0,0,10.0,full_fused_attn_grow_v1,249.7,0.998,10.8,9,0.0,1415.6000000000001,10.0,oproj_act_h48_v1_lm1_pw1_sc1_se1,302.2,30.0,oproj_act_h64_v1_lm1_pw1_sc1_se1,1113.4,auto,30.0,sliding_fused_attn_ring_v1,634.2,1,09-C-s1-auto,9.24
0.0,,0.0,0.0,,0.0,0.0,,0.0,5.0,routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6,112.9,C,8.019,8.019,DARKBLOOM_STARTUP_MEMORY_PROFILE=full MLX_MAX_OPS_PER_BUFFER=200 MLX_MAX_MB_PER_BUFFER=200 MLX_BFS_MAX_WIDTH=50 DARKBLOOM_OPROJ_ROWS_PER_SIMDGROUP=4 DARKBLOOM_OPROJ_SIMDGROUPS=<unset> resolved_rps=4 resolved_ns=2 resolved_suffix=<empty>,30.0,366.0,0,0.0,,0.0,0.219,2.7,10,7831.099999999999,0.0,0.0,,0.0,0.0,,0.0,full,0.0,,0.0,0,10-C-s0-full,8.238
