session	idx	block	pos	arm	gates	kernels	decode_s_per_token	prefill_s_per_token	passed	golden	wall_s	head	error
20260811T092338Z	1	1	1	Q1	DARKBLOOM_QKV_ROWS_PER_SIMDGROUP=1	none	0.008910319566959922	0.0011148935546875	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	114	73438b31847d	
20260811T092338Z	2	1	2	Q2	DARKBLOOM_QKV_ROWS_PER_SIMDGROUP=2	none	0.008958410517106549	0.001113109130859375	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	180	73438b31847d	
20260811T092338Z	3	1	3	Q4	DARKBLOOM_QKV_ROWS_PER_SIMDGROUP=4	none	0.008959894509286413	0.001121512775390625	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	168	73438b31847d	
20260811T092338Z	4	1	4	Q8	DARKBLOOM_QKV_ROWS_PER_SIMDGROUP=8	none	0.00911543894623656	0.001131242025390625	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	156	73438b31847d	
20260811T092338Z	5	2	1	Q2	DARKBLOOM_QKV_ROWS_PER_SIMDGROUP=2	none	0.008943412471163245	0.001110918701171875	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	150	73438b31847d	
20260811T092338Z	6	2	2	Q4	DARKBLOOM_QKV_ROWS_PER_SIMDGROUP=4	none	0.008975999959921798	0.00114322119140625	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	151	73438b31847d	
20260811T092338Z	7	2	3	Q8	DARKBLOOM_QKV_ROWS_PER_SIMDGROUP=8	none	0.009127823518084065	0.001111240478515625	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	152	73438b31847d	
20260811T092338Z	8	2	4	Q1	DARKBLOOM_QKV_ROWS_PER_SIMDGROUP=1	none	0.008943377647116325	0.001137825845703125	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	155	73438b31847d	
20260811T092338Z	9	3	1	Q4	DARKBLOOM_QKV_ROWS_PER_SIMDGROUP=4	none	0.00899134811827957	0.0011251459140625	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	153	73438b31847d	
20260811T092338Z	10	3	2	Q8	DARKBLOOM_QKV_ROWS_PER_SIMDGROUP=8	none	0.00913124499022483	0.00113796923828125	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	154	73438b31847d	
20260811T092338Z	11	3	3	Q1	DARKBLOOM_QKV_ROWS_PER_SIMDGROUP=1	none	0.008903180840664712	0.001126601318359375	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	153	73438b31847d	
20260811T092338Z	12	3	4	Q2	DARKBLOOM_QKV_ROWS_PER_SIMDGROUP=2	none	0.008949048142717497	0.001123821044921875	true	f49e4c2cbc0d3ceee90195a3a12e1ff082636f8c031587485a9a2c10702b03d2	154	73438b31847d	
