kernel	ablation	g16s	g17s	delta
laguna_sliding_fused_attn_ring_v1	base	7168	7296	128
laguna_sliding_fused_attn_ring_v1	ring_pred_const	7040	7200	160
laguna_sliding_fused_attn_ring_v1	ring_branch_dead	7040	7200	160
laguna_sliding_fused_attn_ring_v1	ring_both	7040	7200	160
laguna_sliding_fused_attn_ring_v1	rope_prologue_dead	5424	5536	112
laguna_sliding_fused_attn_ring_v1	addr_uint32	7184	7280	96
laguna_sliding_fused_attn_ring_v1	rescale_bitcast_dead	7136	7248	112
laguna_sliding_fused_attn_ring_v1	no_simd_sum	7072	7152	80
laguna_sliding_fused_attn_ring_v1	no_simd_sum_loop	7136	7248	112
laguna_sliding_fused_attn_ring_v1	no_simd_sum_epilogue	7120	7200	80
laguna_sliding_fused_attn_ring_v1	no_simd_sum_prologue	7168	7280	112
laguna_sliding_fused_attn_ring_v1	no_simd_max	7152	7264	112
laguna_sliding_fused_attn_ring_v1	simd_sum_ladder	8112	8208	96
laguna_sliding_fused_attn_ring_v1	epilogue_vec_simd_sum	7168	7296	128
laguna_sliding_fused_attn_ring_v1	no_fast_exp	7008	7120	112
laguna_sliding_fused_attn_ring_v1	N_128	7152	7280	128
laguna_sliding_fused_attn_ring_v1	N_256	7152	7280	128
laguna_sliding_fused_attn_ring_v1	N_1024	7168	7296	128
laguna_full_fused_attn_grow_v1	base	8000	8144	144
laguna_full_fused_attn_grow_v1	ring_pred_const	7872	8048	176
laguna_full_fused_attn_grow_v1	ring_branch_dead	7808	8000	192
laguna_full_fused_attn_grow_v1	ring_both	7808	8000	192
laguna_full_fused_attn_grow_v1	rope_prologue_dead	5952	6080	128
laguna_full_fused_attn_grow_v1	addr_uint32	7904	8080	176
laguna_full_fused_attn_grow_v1	rescale_bitcast_dead	7952	8080	128
laguna_full_fused_attn_grow_v1	no_simd_sum	7904	7968	64
laguna_full_fused_attn_grow_v1	no_simd_sum_loop	7952	8080	128
laguna_full_fused_attn_grow_v1	no_simd_sum_epilogue	7952	8048	96
laguna_full_fused_attn_grow_v1	no_simd_sum_prologue	8000	8128	128
laguna_full_fused_attn_grow_v1	no_simd_max	7984	8096	112
laguna_full_fused_attn_grow_v1	simd_sum_ladder	9072	9168	96
laguna_full_fused_attn_grow_v1	epilogue_vec_simd_sum	8000	8144	144
laguna_full_fused_attn_grow_v1	no_fast_exp	7776	7904	128
