decode_steps_sampled=5 steady_dispatches=363
kernel                                                     n   g16s   g17s   raw   w_raw    w_hi
laguna_oproj_act_h64_v1_lm1_pw1_sc1_se1                   30   5216   5408   192    5760    6240
laguna_gate_sp_h64_v1                                     30   5632   5792   160    4800    5280
laguna_sliding_fused_attn_ring_v1                         30   7168   7296   128    3840    4320
laguna_routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6  39   5056   5152    96    3744    4368
laguna_shared_nvfp4_swiglu_qmv_rows1_halved_bf16_v1       39   3488   3568    80    3120    3744
laguna_routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2  39   4944   5008    64    2496    3120
laguna_decode_nvfp4_qkv_h64_r1_v1_lm1_pw1_se1_sd1         30   3584   3664    80    2400    2880
laguna_oproj_act_h48_v1_lm1_pw1_sc1_se1                   10   5216   5392   176    1760    1920
laguna_gate_sp_h48_v1                                     10   5632   5792   160    1600    1760
laguna_full_fused_attn_grow_v1                            10   8000   8144   144    1440    1600
laguna_decode_nvfp4_qkv_h48_r1_v1_lm1_pw1_se1_sd1         10   3584   3664    80     800     960
laguna_lmhead_int5_base_coarse_delta_bf16_v1               1   3888   4224   336     336     352
laguna_lmhead_exact_fused_int5_sparse_refine_v1            1   6528   6576    48      48      64
laguna_residual_rms_bf16_2048_v1                           1   2288   2272   -16     -16       0
laguna_decode_embedding_rope_atlas_bf16_2048_v2            1   2080   2048   -32     -32     -16
laguna_lmhead_exact_winner_bf16_midpoint_threshold_v1      1   3104   2944  -160    -160    -144
laguna_dense_down_residual_bf16_v1                         1   2944   2752  -192    -192    -176
laguna_lmhead_coarse_argmax_stage1_v5                      1   2992   2784  -208    -208    -192
laguna_dense_gate_up_swiglu_bf16_v1                        1   4016   3632  -384    -384    -368
laguna_prefill_router_tournament_ordinal_norm_active64_v2  39   4720   4688   -32   -1248    -624
laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_pf1     39   4128   4016  -112   -4368   -3744
weighted_positive_excess_bytes_per_step=32144 .. 36608
weighted_net_delta_bytes_per_step=25536 .. 31344
