name	occurrences	distinct_variants	gen_bytes
laguna_decode_embedding_rope_atlas_bf16_2048_v2	6	1	1673
laguna_decode_nvfp4_qkv_h48_r1_v1_lm1_pw1_se1_sd1	57	1	4564
laguna_decode_nvfp4_qkv_h64_r1_v1_lm1_pw1_se1_sd1	168	1	4564
laguna_dense_down_residual_bf16_v1	6	1	2169
laguna_dense_gate_up_swiglu_bf16_v1	6	1	2931
laguna_full_fused_attn_grow_v1	29	1	15545
laguna_full_qk_norm_yarn_bf16_128_v4	30	1	2427
laguna_gate_sp_h48_v1	57	1	1841
laguna_gate_sp_h64_v1	168	1	1841
laguna_lmhead_coarse_argmax_stage1_v5	9	1	2237
laguna_lmhead_exact_fused_int5_sparse_refine_v1	5	1	5767
laguna_lmhead_exact_inline_mask_block_delta_bf16_lane0_mask_v1	4	1	3068
laguna_lmhead_exact_winner_bf16_midpoint_threshold_v1	9	1	3111
laguna_lmhead_int5_base_coarse_delta_bf16_v1	5	1	2680
laguna_lmhead_int5_inline_coarse_ratio_bound_delta_bf16_v6	4	1	3571
laguna_oproj_act_h48_v1_lm1_pw1_sc1_se1	57	1	4771
laguna_oproj_act_h64_v1_lm1_pw1_sc1_se1	168	1	4771
laguna_prefill_full_qk_norm_yarn_bf16_128_h1_v2	40	1	2957
laguna_prefill_router_tournament_ordinal_norm_active64_v2	375	1	5514
laguna_prefill_sliding_qk_norm_rope_bf16_128_h1_v2	116	1	2629
laguna_prefill_sorted_moe_tail_bf16_v1	152	1	1458
laguna_residual_rms_bf16_2048_v1	162	1	2082
laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_pf1	223	1	5852
laguna_routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2	222	1	9188
laguna_routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6	222	1	7184
laguna_shared_nvfp4_swiglu_qmv_rows1_halved_bf16_v1	222	1	5515
laguna_sliding_fused_attn_ring_v1	168	1	13368
