name	occurrences	distinct_variants	gen_bytes
laguna_dense_down_residual_bf16_v1	8	1	2169
laguna_full_fused_attn_grow_v1	70	1	15545
laguna_full_qk_norm_yarn_bf16_128_v4	10	1	2427
laguna_fused_norm_qkv_projection_bf16_h48_v3	80	1	8186
laguna_fused_norm_qkv_projection_bf16_h64_v3	240	1	8186
laguna_gated_output_projection_bf16_h48_u2_v3	80	1	3152
laguna_gated_output_projection_bf16_h64_u2_v3	240	1	3152
laguna_prefill_moe_tail_bf16_v1	38	1	1344
laguna_prefill_router_tournament_ordinal_norm_active64_v2	351	1	5514
laguna_residual_rms_bf16_2048_v1	47	1	2082
laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_pf1	313	1	5852
laguna_sliding_fused_attn_ring_v1	240	1	13368
