label	kind	origin	calls_per_step	us_per_step	us_per_call	bytes_touched_est	notes
laguna_routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2	swift_kernel	LagunaRuntimeModel.swift:8309-cluster	39	1497.7	38.40	368050176	bytes-bound; nat_est 1446.3 us/step; 254 GB/s = 93% of M4 Pro peak; routed top-8 gate/up NVFP4 gather-GEMV
laguna_decode_nvfp4_qkv_h64_r1_v1_lm1_pw1_se1_sd1	swift_kernel	LagunaRuntimeModel.swift qkv emitter	30	1340.1	44.67	353894400	bytes-bound; nat_est 1300.6 us/step; 272 GB/s = 100% of M4 Pro peak; sliding-window layers, 64 q heads
laguna_oproj_act_h64_v1_lm1_pw1_sc1_se1	swift_kernel	LagunaRuntimeModel.swift oproj emitter	30	1117.7	37.26	283115520	bytes-bound; nat_est 1078.2 us/step; 263 GB/s = 96% of M4 Pro peak; o_proj + gate application
laguna_routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6	swift_kernel	LagunaRuntimeModel.swift:8309	39	858.9	22.02	207028224	bytes-bound; nat_est 807.5 us/step; 256 GB/s = 94% of M4 Pro peak; routed+shared down proj + residual
laguna_sliding_fused_attn_ring_v1	swift_kernel	LagunaRuntimeModel.swift sliding attn	30	636.0	21.20	62914560	latency-bound; nat_est 596.5 us/step; 105 GB/s = 39% of M4 Pro peak; KV stream only; softmax serialization dominates; ring KV, 512-window
laguna_lmhead_int5_base_coarse_delta_bf16_v1	swift_kernel	LagunaLmHeadPrune.swift	1	420.3	420.30	128450560	bytes-bound; nat_est 419.0 us/step; 307 GB/s = 112% of M4 Pro peak; nominal full int5 plane; implied rate exceeds the platform peak, so the kernel already reads less than the whole plane; int5 screening plane, 134.9 MB
laguna_decode_nvfp4_qkv_h48_r1_v1_lm1_pw1_se1_sd1	swift_kernel	LagunaRuntimeModel.swift qkv emitter	10	362.8	36.28	94371840	bytes-bound; nat_est 349.6 us/step; 270 GB/s = 99% of M4 Pro peak; full-attn layers, 48 q heads
laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_pf1	swift_kernel	LagunaRuntimeModel.swift:1083	39	312.8	8.02	40894464	partly-bytes-bound; nat_est 261.4 us/step; 156 GB/s = 57% of M4 Pro peak; router matrix 256x2048 bf16; post-attn residual add + RMS + router logits
laguna_oproj_act_h48_v1_lm1_pw1_sc1_se1	swift_kernel	LagunaRuntimeModel.swift oproj emitter	10	301.8	30.18	70778880	bytes-bound; nat_est 288.6 us/step; 245 GB/s = 90% of M4 Pro peak
laguna_shared_nvfp4_swiglu_qmv_rows1_halved_bf16_v1	swift_kernel	LagunaRuntimeModel.swift shared-expert	39	287.1	7.36	46006272	partly-bytes-bound; nat_est 235.7 us/step; 195 GB/s = 71% of M4 Pro peak; shared expert gate/up
