benchmark.sh: GPU cool-down gate passed (current 39.7C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 39.8C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 39.9C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 39.8C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 39.8C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 39.8C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 39.9C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 39.8C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 39.8C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 39.8C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 39.8C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 34.3C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 39.9C, target <=40C, waited 0s)
benchmark.sh: GPU cool-down gate passed (current 39.8C, target <=40C, waited 0s)
benchmark.sh: waiting for GPU to cool down before timing (current 40.7C, target <=40C, waited 0s)...
benchmark.sh: GPU cool-down gate passed (current 39.8C, target <=40C, waited 10s)
benchmark.sh: GPU cool-down gate passed (current 39.8C, target <=40C, waited 0s)
