estimate = (FWD - REV) / 2, percent of base kernel time, negative = candidate faster
us_m4 uses the measured 636.0 us/step M4 sliding pool; us_m5 and score use the
projected 290.0 us/step M5 pool with the 0.015280 %/us M5 decode price.

  leg      K   fwd_mean  fwd_sd   rev_mean  rev_sd    est%    sem      t     us_m4   us_m5   score%
  -------------------------------------------------------------------------------------------------

  null      8     -3.52    8.18     -0.79    7.07   -1.365  1.209   -1.13   -8.68   -3.96   +0.061
  null     16     -0.17    0.59     -0.01    0.44   -0.082  0.082   -1.00   -0.52   -0.24   +0.004
  null     20     -0.08    0.25     -0.05    0.10   -0.014  0.029   -0.48   -0.09   -0.04   +0.001
  null     24     -0.03    0.48     +0.07    0.34   -0.049  0.066   -0.74   -0.31   -0.14   +0.002
  null     32     -0.15    0.59     -0.14    0.43   -0.006  0.081   -0.07   -0.03   -0.02   +0.000
  null     40     -0.05    0.49     -0.18    0.59   +0.069  0.086   +0.80   +0.44   +0.20   -0.003
  null     60     -0.02    0.36     +0.05    0.24   -0.035  0.048   -0.74   -0.22   -0.10   +0.002

  d4        8     -4.58    6.68     +0.31   10.34   -2.445  1.376   -1.78  -15.55   -7.09   +0.108
  d4       16     -1.63    0.40     +1.38    0.42   -1.505  0.065  -23.02   -9.57   -4.36   +0.067
  d4       20     -1.48    0.18     +1.51    0.10   -1.490  0.023  -64.94   -9.48   -4.32   +0.066
  d4       24     +0.64    0.50     -0.64    0.52   +0.637  0.081   +7.90   +4.05   +1.85   -0.028
  d4       32     -0.35    0.39     +0.19    0.58   -0.272  0.078   -3.49   -1.73   -0.79   +0.012
  d4       40     -1.11    0.54     +0.47    0.82   -0.789  0.110   -7.18   -5.02   -2.29   +0.035
  d4       60     -0.82    0.31     +0.78    0.29   -0.800  0.047  -17.01   -5.09   -2.32   +0.035

  epi       8     -3.57    6.09     -1.05   10.63   -1.261  1.370   -0.92   -8.02   -3.66   +0.056
  epi      16     -1.64    0.66     +1.60    0.68   -1.619  0.106  -15.24  -10.30   -4.70   +0.072
  epi      20     -1.74    0.19     +1.67    0.09   -1.706  0.024  -71.28  -10.85   -4.95   +0.076
  epi      24     -2.68    0.68     +2.69    0.47   -2.686  0.093  -29.03  -17.08   -7.79   +0.119
  epi      32     -2.55    0.55     +2.60    0.55   -2.575  0.087  -29.67  -16.38   -7.47   +0.114
  epi      40     -1.77    0.52     +1.79    0.84   -1.780  0.110  -16.12  -11.32   -5.16   +0.079
  epi      60     -2.02    0.46     +2.07    0.25   -2.044  0.058  -35.29  -13.00   -5.93   +0.091

  d4epi     8     -7.05    5.07     +5.07    8.95   -6.059  1.150   -5.27  -38.54  -17.57   +0.268
  d4epi    16     -4.47    0.53     +4.83    0.44   -4.650  0.077  -60.67  -29.58  -13.49   +0.206
  d4epi    20     -4.45    0.23     +4.84    0.15   -4.647  0.030 -154.13  -29.55  -13.48   +0.206
  d4epi    24     -1.70    0.43     +1.85    0.93   -1.776  0.115  -15.44  -11.29   -5.15   +0.079
  d4epi    32     -2.70    0.65     +3.00    0.66   -2.848  0.104  -27.37  -18.11   -8.26   +0.126
  d4epi    40     -3.11    0.54     +3.71    0.84   -3.409  0.112  -30.49  -21.68   -9.89   +0.151
  d4epi    60     -3.27    0.35     +3.59    0.27   -3.427  0.050  -69.07  -21.80   -9.94   +0.152

  d8        8     -0.42   11.17     -1.37    7.46   +0.475  1.502   +0.32   +3.02   +1.38   -0.021
  d8       16     -0.05    0.51     +0.01    0.66   -0.030  0.093   -0.33   -0.19   -0.09   +0.001
  d8       20     +0.15    0.18     -0.28    0.10   +0.218  0.023   +9.33   +1.38   +0.63   -0.010
  d8       24     +0.86    0.62     -0.73    0.51   +0.793  0.090   +8.85   +5.05   +2.30   -0.035
  d8       32     +0.56    0.57     -0.19    0.55   +0.371  0.089   +4.20   +2.36   +1.08   -0.016
  d8       40     +0.10    0.58     +0.23    0.65   -0.065  0.097   -0.67   -0.42   -0.19   +0.003
  d8       60     +0.85    0.48     -0.75    0.32   +0.798  0.065  +12.28   +5.08   +2.31   -0.035

  full      8     -3.10    2.10     +2.81    4.26   -2.953  0.531   -5.57  -18.78   -8.56   +0.131
  full     16     -2.80    0.42     +2.58    0.52   -2.691  0.074  -36.13  -17.11   -7.80   +0.119
  full     20     -3.05    0.47     +2.31    0.11   -2.680  0.054  -49.73  -17.05   -7.77   +0.119
  full     24     -1.31    0.77     +0.72    0.57   -1.014  0.108   -9.42   -6.45   -2.94   +0.045
  full     32     -0.73    0.74     -0.08    0.65   -0.327  0.110   -2.97   -2.08   -0.95   +0.015
  full     40     -2.79    0.85     +1.99    0.71   -2.390  0.124  -19.22  -15.20   -6.93   +0.106
  full     60     -2.52    0.40     +1.74    0.30   -2.130  0.056  -38.06  -13.55   -6.18   +0.094

sweeps = 20
